,,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8
Rater_1,Person_1,2.0,4.0,5.0,4.0,4.0,4.0,2.0,2.0
Rater_1,Person_2,2.0,4.0,4.0,3.0,3.0,3.0,0.0,1.0
Rater_1,Person_3,3.0,4.0,4.0,4.0,3.0,5.0,3.0,1.0
Rater_1,Person_4,1.0,3.0,4.0,3.0,2.0,5.0,2.0,1.0
Rater_1,Person_5,1.0,3.0,3.0,3.0,3.0,4.0,2.0,1.0
Rater_1,Person_6,0.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0
Rater_1,Person_7,1.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0
Rater_1,Person_8,2.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0
Rater_1,Person_9,3.0,4.0,4.0,3.0,4.0,5.0,2.0,1.0
Rater_1,Person_10,3.0,5.0,3.0,3.0,3.0,4.0,3.0,2.0
Rater_1,Person_11,3.0,5.0,4.0,3.0,3.0,5.0,2.0,1.0
Rater_1,Person_12,3.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0
Rater_1,Person_13,0.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0
Rater_1,Person_14,2.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0
Rater_1,Person_15,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0
Rater_1,Person_16,2.0,3.0,4.0,4.0,3.0,4.0,2.0,1.0
Rater_1,Person_17,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0
Rater_1,Person_18,3.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0
Rater_1,Person_19,1.0,4.0,3.0,2.0,2.0,3.0,1.0,1.0
Rater_1,Person_20,1.0,3.0,4.0,3.0,3.0,5.0,4.0,1.0
Rater_1,Person_21,2.0,2.0,4.0,3.0,2.0,3.0,1.0,2.0
Rater_1,Person_22,2.0,3.0,2.0,2.0,1.0,4.0,0.0,1.0
Rater_1,Person_23,3.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0
Rater_1,Person_24,2.0,4.0,3.0,1.0,3.0,4.0,1.0,0.0
Rater_1,Person_25,3.0,4.0,4.0,4.0,4.0,5.0,2.0,3.0
Rater_1,Person_26,5.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0
Rater_1,Person_27,3.0,3.0,4.0,2.0,3.0,5.0,1.0,3.0
Rater_1,Person_28,3.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0
Rater_1,Person_29,0.0,1.0,1.0,3.0,2.0,3.0,0.0,0.0
Rater_1,Person_30,2.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0
Rater_1,Person_31,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0
Rater_1,Person_32,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
Rater_1,Person_33,1.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0
Rater_1,Person_34,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0
Rater_1,Person_35,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0
Rater_1,Person_36,3.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0
Rater_1,Person_37,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0
Rater_1,Person_38,2.0,3.0,4.0,3.0,3.0,4.0,1.0,1.0
Rater_1,Person_39,3.0,5.0,4.0,4.0,2.0,5.0,3.0,1.0
Rater_1,Person_40,3.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0
Rater_1,Person_41,1.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0
Rater_1,Person_42,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0
Rater_1,Person_43,1.0,2.0,2.0,3.0,1.0,4.0,2.0,0.0
Rater_1,Person_44,2.0,3.0,3.0,3.0,3.0,4.0,2.0,0.0
Rater_1,Person_45,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0
Rater_1,Person_46,1.0,3.0,3.0,3.0,2.0,4.0,1.0,0.0
Rater_1,Person_47,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0
Rater_1,Person_48,3.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0
Rater_1,Person_49,1.0,3.0,3.0,3.0,3.0,4.0,3.0,0.0
Rater_1,Person_50,3.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0
Rater_1,Person_51,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0
Rater_1,Person_52,3.0,2.0,3.0,1.0,0.0,3.0,1.0,0.0
Rater_1,Person_53,3.0,4.0,5.0,4.0,3.0,4.0,4.0,2.0
Rater_1,Person_54,2.0,3.0,5.0,5.0,3.0,4.0,3.0,1.0
Rater_1,Person_55,2.0,5.0,4.0,4.0,3.0,4.0,2.0,2.0
Rater_1,Person_56,3.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0
Rater_1,Person_57,2.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0
Rater_1,Person_58,1.0,3.0,3.0,2.0,2.0,3.0,0.0,0.0
Rater_1,Person_59,1.0,4.0,3.0,4.0,2.0,4.0,1.0,2.0
Rater_1,Person_60,3.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0
Rater_1,Person_61,3.0,4.0,4.0,4.0,2.0,5.0,2.0,1.0
Rater_1,Person_62,1.0,5.0,1.0,3.0,3.0,4.0,2.0,1.0
Rater_1,Person_63,3.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0
Rater_1,Person_64,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0
Rater_1,Person_65,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0
Rater_1,Person_66,3.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0
Rater_1,Person_67,2.0,3.0,3.0,2.0,3.0,5.0,1.0,1.0
Rater_1,Person_68,0.0,3.0,3.0,2.0,1.0,3.0,1.0,0.0
Rater_1,Person_69,1.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0
Rater_1,Person_70,3.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0
Rater_1,Person_71,0.0,3.0,2.0,2.0,2.0,3.0,1.0,0.0
Rater_1,Person_72,1.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0
Rater_1,Person_73,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0
Rater_1,Person_74,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0
Rater_1,Person_75,2.0,3.0,2.0,2.0,3.0,4.0,3.0,0.0
Rater_1,Person_76,1.0,3.0,2.0,4.0,1.0,3.0,3.0,1.0
Rater_1,Person_77,0.0,3.0,2.0,2.0,0.0,3.0,1.0,0.0
Rater_1,Person_78,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0
Rater_1,Person_79,3.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0
Rater_1,Person_80,3.0,4.0,4.0,4.0,3.0,5.0,1.0,3.0
Rater_1,Person_81,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0
Rater_1,Person_82,1.0,3.0,4.0,3.0,3.0,4.0,0.0,1.0
Rater_1,Person_83,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
Rater_1,Person_84,1.0,3.0,3.0,2.0,2.0,3.0,2.0,0.0
Rater_1,Person_85,1.0,4.0,4.0,2.0,3.0,5.0,3.0,1.0
Rater_1,Person_86,2.0,3.0,3.0,3.0,3.0,5.0,1.0,2.0
Rater_1,Person_87,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0
Rater_1,Person_88,1.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0
Rater_1,Person_89,3.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0
Rater_1,Person_90,1.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0
Rater_1,Person_91,3.0,4.0,4.0,5.0,5.0,4.0,3.0,1.0
Rater_1,Person_92,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0
Rater_1,Person_93,1.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0
Rater_1,Person_94,3.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0
Rater_1,Person_95,1.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0
Rater_1,Person_96,3.0,2.0,4.0,3.0,3.0,3.0,2.0,1.0
Rater_1,Person_97,3.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0
Rater_1,Person_98,3.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0
Rater_1,Person_99,3.0,3.0,5.0,4.0,4.0,4.0,3.0,2.0
Rater_1,Person_100,3.0,4.0,3.0,3.0,2.0,3.0,1.0,0.0
Rater_1,Person_101,2.0,3.0,4.0,3.0,2.0,5.0,2.0,1.0
Rater_1,Person_102,2.0,3.0,3.0,2.0,3.0,4.0,3.0,1.0
Rater_1,Person_103,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0
Rater_1,Person_104,2.0,3.0,3.0,4.0,1.0,3.0,1.0,1.0
Rater_1,Person_105,1.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0
Rater_1,Person_106,1.0,3.0,4.0,1.0,1.0,3.0,3.0,0.0
Rater_1,Person_107,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0
Rater_1,Person_108,2.0,3.0,4.0,3.0,3.0,4.0,3.0,0.0
Rater_1,Person_109,3.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0
Rater_1,Person_110,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0
Rater_1,Person_111,4.0,4.0,3.0,4.0,3.0,5.0,3.0,2.0
Rater_1,Person_112,2.0,3.0,3.0,2.0,3.0,4.0,3.0,1.0
Rater_1,Person_113,4.0,4.0,3.0,3.0,4.0,5.0,3.0,2.0
Rater_1,Person_114,3.0,4.0,4.0,3.0,4.0,5.0,2.0,1.0
Rater_1,Person_115,1.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0
Rater_1,Person_116,3.0,3.0,1.0,4.0,2.0,4.0,4.0,2.0
Rater_1,Person_117,2.0,3.0,3.0,4.0,3.0,5.0,2.0,2.0
Rater_1,Person_118,2.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0
Rater_1,Person_119,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0
Rater_1,Person_120,1.0,4.0,2.0,4.0,1.0,3.0,1.0,0.0
Rater_1,Person_121,2.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0
Rater_1,Person_122,1.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0
Rater_1,Person_123,4.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0
Rater_1,Person_124,1.0,3.0,3.0,2.0,3.0,3.0,0.0,1.0
Rater_1,Person_125,1.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0
Rater_1,Person_126,0.0,2.0,3.0,2.0,1.0,3.0,1.0,0.0
Rater_1,Person_127,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0
Rater_1,Person_128,0.0,2.0,3.0,2.0,1.0,4.0,1.0,0.0
Rater_1,Person_129,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0
Rater_1,Person_130,1.0,3.0,3.0,3.0,3.0,1.0,2.0,0.0
Rater_1,Person_131,2.0,3.0,2.0,2.0,2.0,4.0,0.0,0.0
Rater_1,Person_132,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0
Rater_1,Person_133,1.0,2.0,2.0,3.0,1.0,3.0,2.0,0.0
Rater_1,Person_134,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0
Rater_1,Person_135,1.0,4.0,3.0,2.0,2.0,3.0,0.0,0.0
Rater_1,Person_136,2.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0
Rater_1,Person_137,2.0,3.0,3.0,3.0,3.0,4.0,0.0,2.0
Rater_1,Person_138,1.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0
Rater_1,Person_139,1.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0
Rater_1,Person_140,2.0,3.0,2.0,1.0,3.0,3.0,0.0,0.0
Rater_1,Person_141,2.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0
Rater_1,Person_142,1.0,2.0,3.0,2.0,1.0,3.0,2.0,0.0
Rater_1,Person_143,3.0,4.0,5.0,4.0,4.0,5.0,3.0,2.0
Rater_1,Person_144,3.0,5.0,4.0,2.0,3.0,4.0,2.0,1.0
Rater_1,Person_145,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0
Rater_1,Person_146,3.0,4.0,3.0,3.0,1.0,4.0,3.0,0.0
Rater_1,Person_147,3.0,3.0,3.0,4.0,2.0,4.0,3.0,1.0
Rater_1,Person_148,4.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0
Rater_1,Person_149,3.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0
Rater_1,Person_150,3.0,3.0,3.0,1.0,2.0,4.0,1.0,0.0
Rater_1,Person_151,2.0,5.0,3.0,3.0,2.0,4.0,1.0,2.0
Rater_1,Person_152,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0
Rater_1,Person_153,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0
Rater_1,Person_154,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0
Rater_1,Person_155,2.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0
Rater_1,Person_156,2.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0
Rater_1,Person_157,0.0,3.0,2.0,2.0,3.0,4.0,2.0,1.0
