,Estimate,CSEM,Score,Max score,p,Infit MS,Outfit MS
Person_1,0.45,0.141,190,320,0.594,0.709,0.708
Person_2,-1.202,0.137,101,320,0.316,0.997,0.947
Person_3,0.899,0.146,212,320,0.662,0.682,0.72
Person_4,1.318,0.152,231,320,0.722,0.884,0.851
Person_5,-2.669,0.178,36,320,0.112,0.576,0.581
Person_6,-1.489,0.14,86,320,0.269,0.862,0.908
Person_7,0.352,0.14,185,320,0.578,0.91,0.892
Person_8,-0.397,0.135,145,320,0.453,0.776,0.758
Person_9,-0.103,0.136,161,320,0.503,1.302,1.295
Person_10,-1.183,0.137,102,320,0.319,0.749,0.723
Person_11,1.094,0.148,221,320,0.691,0.702,0.708
Person_12,1.072,0.148,220,320,0.688,0.806,0.803
Person_13,0.141,0.138,174,320,0.544,0.732,0.733
Person_14,1.227,0.15,227,320,0.709,0.732,0.814
Person_15,0.57,0.142,196,320,0.612,0.807,0.806
Person_16,-0.924,0.135,116,320,0.362,0.999,1.007
Person_17,0.691,0.143,202,320,0.631,0.915,0.944
Person_18,-1.09,0.136,107,320,0.334,1.102,1.21
Person_19,1.072,0.148,220,320,0.688,0.764,0.759
Person_20,-0.288,0.135,151,320,0.472,0.994,0.997
Person_21,-0.066,0.136,163,320,0.509,0.727,0.727
Person_22,-0.76,0.135,125,320,0.391,1.172,1.167
Person_23,1.604,0.157,243,320,0.759,0.876,0.901
Person_24,-0.233,0.136,154,320,0.481,0.662,0.672
Person_25,-0.415,0.135,144,320,0.45,0.694,0.679
Person_26,-0.47,0.135,141,320,0.441,0.65,0.66
Person_27,0.671,0.143,201,320,0.628,0.863,0.837
Person_28,0.59,0.142,197,320,0.616,0.937,0.951
Person_29,0.43,0.14,189,320,0.591,0.948,0.935
Person_30,0.55,0.142,195,320,0.609,0.815,0.813
Person_31,2.96,0.205,287,320,0.897,0.991,0.896
Person_32,-0.615,0.135,133,320,0.416,0.957,0.949
Person_33,-0.633,0.135,132,320,0.412,0.761,0.738
Person_34,-1.071,0.136,108,320,0.338,0.871,0.903
Person_35,0.712,0.143,203,320,0.634,0.622,0.629
Person_36,1.58,0.157,242,320,0.756,0.748,0.747
Person_37,-0.14,0.136,159,320,0.497,0.863,0.855
Person_38,-1.22,0.137,100,320,0.312,0.914,0.883
Person_39,-0.833,0.135,121,320,0.378,0.921,0.905
Person_40,0.921,0.146,213,320,0.666,0.777,0.756
Person_41,0.985,0.147,216,320,0.675,0.907,0.884
Person_42,0.65,0.143,200,320,0.625,1.212,1.252
Person_43,-0.942,0.135,115,320,0.359,0.978,0.95
Person_44,0.47,0.141,191,320,0.597,0.826,0.818
Person_45,0.217,0.138,178,320,0.556,0.624,0.61
Person_46,0.352,0.14,185,320,0.578,0.748,0.779
Person_47,1.072,0.148,220,320,0.688,0.804,0.832
Person_48,0.391,0.14,187,320,0.584,0.91,0.936
Person_49,0.753,0.144,205,320,0.641,0.908,0.888
Person_50,0.275,0.139,181,320,0.566,1.184,1.166
Person_51,0.236,0.139,179,320,0.559,1.06,1.049
Person_52,0.963,0.146,215,320,0.672,0.796,0.805
Person_53,-1.669,0.143,77,320,0.241,0.744,0.707
Person_54,-0.542,0.135,137,320,0.428,0.778,0.773
Person_55,-0.651,0.135,131,320,0.409,0.886,0.908
Person_56,-0.742,0.135,126,320,0.394,1.161,1.214
Person_57,-0.324,0.135,149,320,0.466,0.613,0.62
Person_58,2.226,0.174,266,320,0.831,1.108,1.207
Person_59,-1.183,0.137,102,320,0.319,0.774,0.784
Person_60,1.138,0.149,223,320,0.697,0.774,0.799
Person_61,-1.923,0.149,65,320,0.203,0.605,0.689
Person_62,-0.159,0.136,158,320,0.494,1.098,1.095
Person_63,0.275,0.139,181,320,0.566,0.738,0.749
Person_64,0.65,0.143,200,320,0.625,0.997,1.018
Person_65,1.138,0.149,223,320,0.697,0.85,0.834
Person_66,1.138,0.149,223,320,0.697,0.874,0.869
Person_67,-0.579,0.135,135,320,0.422,1.332,1.327
Person_68,-0.379,0.135,146,320,0.456,0.775,0.773
Person_69,1.116,0.149,222,320,0.694,0.722,0.736
Person_70,-0.251,0.136,153,320,0.478,0.671,0.683
Person_71,-1.588,0.142,81,320,0.253,0.91,0.857
Person_72,-1.649,0.143,78,320,0.244,0.717,0.75
Person_73,-1.164,0.137,103,320,0.322,0.767,0.774
Person_74,0.59,0.142,197,320,0.616,0.905,0.899
Person_75,0.179,0.138,176,320,0.55,0.903,0.929
Person_76,1.116,0.149,222,320,0.694,0.782,0.81
Person_77,-0.506,0.135,139,320,0.434,0.82,0.828
Person_78,0.141,0.138,174,320,0.544,0.711,0.717
Person_79,0.836,0.145,209,320,0.653,0.74,0.744
Person_80,-0.342,0.135,148,320,0.462,0.944,0.921
Person_81,0.352,0.14,185,320,0.578,0.939,0.944
Person_82,-0.979,0.136,113,320,0.353,0.719,0.719
Person_83,-0.47,0.135,141,320,0.441,0.736,0.741
Person_84,-0.361,0.135,147,320,0.459,0.82,0.815
Person_85,-1.372,0.139,92,320,0.288,0.911,0.917
Person_86,0.65,0.143,200,320,0.625,0.944,0.919
Person_87,-0.688,0.135,129,320,0.403,0.798,0.81
Person_88,-0.103,0.136,161,320,0.503,1.041,1.02
Person_89,0.732,0.144,204,320,0.638,0.783,0.774
Person_90,0.352,0.14,185,320,0.578,0.907,0.891
Person_91,0.921,0.146,213,320,0.666,0.743,0.742
Person_92,-0.066,0.136,163,320,0.509,0.582,0.589
Person_93,-0.797,0.135,123,320,0.384,0.871,0.847
Person_94,-0.085,0.136,162,320,0.506,0.923,0.928
Person_95,-2.082,0.153,58,320,0.181,0.827,0.798
Person_96,-2.059,0.152,59,320,0.184,0.794,0.847
Person_97,-1.669,0.143,77,320,0.241,0.981,1.107
Person_98,-1.411,0.139,90,320,0.281,0.87,0.833
Person_99,0.774,0.144,206,320,0.644,0.734,0.757
Person_100,-1.183,0.137,102,320,0.319,0.661,0.667
Person_101,-0.688,0.135,129,320,0.403,0.837,0.837
Person_102,1.629,0.158,244,320,0.762,1.332,1.428
Person_103,-0.397,0.135,145,320,0.453,0.907,0.902
Person_104,0.732,0.144,204,320,0.638,0.905,0.873
Person_105,-1.258,0.138,98,320,0.306,0.695,0.7
Person_106,-0.269,0.135,152,320,0.475,0.911,0.962
Person_107,-0.997,0.136,112,320,0.35,1.053,1.068
Person_108,-0.452,0.135,142,320,0.444,0.688,0.681
Person_109,1.25,0.151,228,320,0.712,0.667,0.677
Person_110,-2.106,0.154,57,320,0.178,1.078,0.917
Person_111,0.53,0.141,194,320,0.606,0.705,0.701
Person_112,0.43,0.14,189,320,0.591,1.199,1.204
Person_113,-0.633,0.135,132,320,0.412,0.82,0.806
Person_114,-2.059,0.152,59,320,0.184,0.843,0.781
Person_115,0.046,0.137,169,320,0.528,0.851,0.852
Person_116,-0.688,0.135,129,320,0.403,0.867,0.88
Person_117,0.411,0.14,188,320,0.588,1.071,1.064
Person_118,0.179,0.138,176,320,0.55,1.237,1.225
Person_119,2.138,0.171,263,320,0.822,1.016,1.11
Person_120,-0.214,0.136,155,320,0.484,0.816,0.833
Person_121,-1.145,0.137,104,320,0.325,0.837,0.833
Person_122,0.217,0.138,178,320,0.556,0.678,0.67
Person_123,0.198,0.138,177,320,0.553,0.934,0.927
Person_124,1.807,0.162,251,320,0.784,1.247,1.182
