Person,Estimate,CSEM,Score,Max score,p,Infit MS,Outfit MS
Person_1,3.401,0.199,280,320,0.875,1.043,1.063
Person_10,-2.2,0.16,77,320,0.241,1.217,1.354
Person_100,-1.513,0.156,105,320,0.328,0.951,0.958
Person_101,-2.226,0.161,76,320,0.238,1.155,1.168
Person_102,-1.465,0.156,107,320,0.334,1.122,1.234
Person_103,-0.943,0.16,128,320,0.4,1.034,1.14
Person_104,-1.707,0.156,97,320,0.303,0.924,0.803
Person_105,1.742,0.166,223,320,0.697,1.157,1.083
Person_106,-0.081,0.168,160,320,0.5,1.671,1.716
Person_107,-2.278,0.162,74,320,0.231,0.939,0.893
Person_108,-0.63,0.163,140,320,0.438,1.515,1.426
Person_109,-0.469,0.165,146,320,0.456,1.51,1.495
Person_11,-1.634,0.156,100,320,0.312,1.057,1.0
Person_110,-2.33,0.163,72,320,0.225,1.068,1.107
Person_111,-1.95,0.157,87,320,0.272,0.998,0.94
Person_112,0.62,0.172,184,320,0.575,1.037,1.16
Person_113,0.798,0.172,190,320,0.594,0.578,0.56
Person_114,1.149,0.17,202,320,0.631,1.105,1.123
Person_115,-1.731,0.156,96,320,0.3,0.837,0.802
Person_116,1.378,0.168,210,320,0.656,1.065,1.09
Person_117,-0.278,0.166,153,320,0.478,0.961,0.95
Person_118,-0.709,0.162,137,320,0.428,0.891,0.788
Person_119,-2.87,0.176,53,320,0.166,1.187,1.178
Person_12,-2.383,0.164,70,320,0.219,1.109,0.972
Person_120,-1.707,0.156,97,320,0.303,0.905,0.895
Person_121,2.887,0.173,264,320,0.825,0.93,0.889
Person_122,-2.304,0.162,73,320,0.228,1.258,1.23
Person_123,-2.997,0.181,49,320,0.153,0.709,0.715
Person_124,-0.865,0.161,131,320,0.409,0.829,0.853
Person_125,1.519,0.168,215,320,0.672,1.016,0.962
Person_126,-1.804,0.156,93,320,0.291,0.885,0.85
Person_127,0.354,0.171,175,320,0.547,0.935,0.887
