,,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8
Rater_1,Person_1,3,5,4,3,5,4,3,2
Rater_1,Person_2,3,1,2,2,2,4,2,1
Rater_1,Person_3,4,5,4,3,4,4,4,4
Rater_1,Person_4,5,4,4,4,5,4,3,3
Rater_1,Person_5,3,3,2,1,1,1,1,0
Rater_1,Person_6,3,3,3,2,4,3,2,3
Rater_1,Person_7,4,3,4,3,4,2,2,4
Rater_1,Person_8,4,4,4,2,4,4,3,2
Rater_1,Person_9,5,3,5,2,5,2,2,1
Rater_1,Person_10,2,2,3,1,4,2,2,1
Rater_1,Person_11,5,5,4,4,5,4,4,4
Rater_1,Person_12,5,5,5,4,4,4,2,3
Rater_1,Person_13,4,4,4,2,4,2,3,3
Rater_1,Person_14,5,4,5,3,4,5,4,5
Rater_1,Person_15,4,5,3,4,3,3,3,3
Rater_1,Person_16,2,1,3,2,4,2,2,2
Rater_1,Person_17,4,4,4,2,3,3,3,2
Rater_1,Person_18,4,3,4,1,3,1,1,2
Rater_1,Person_19,4,4,5,4,5,5,4,3
Rater_1,Person_20,4,4,3,2,3,2,3,3
Rater_1,Person_21,2,3,2,3,3,3,3,2
Rater_1,Person_22,3,5,3,1,3,2,2,3
Rater_1,Person_23,4,4,5,2,4,5,3,5
Rater_1,Person_24,1,3,3,4,3,4,3,4
Rater_1,Person_25,3,4,2,2,5,5,3,2
Rater_1,Person_26,3,4,3,4,3,2,2,2
Rater_1,Person_27,4,5,5,4,4,3,3,3
Rater_1,Person_28,5,3,5,3,4,2,3,4
Rater_1,Person_29,4,5,3,3,5,4,4,2
Rater_1,Person_30,4,3,4,3,5,2,3,3
Rater_1,Person_31,5,5,4,5,5,5,5,5
Rater_1,Person_32,4,4,4,2,3,2,2,3
Rater_1,Person_33,4,3,4,4,3,3,3,2
Rater_1,Person_34,3,2,3,1,3,2,2,2
Rater_1,Person_35,4,4,4,3,3,3,3,3
Rater_1,Person_36,4,5,4,4,5,5,3,5
Rater_1,Person_37,4,4,4,3,3,5,2,2
Rater_1,Person_38,3,3,3,3,3,1,0,1
