,Estimate,CSEM,Score,Max score,p,Infit MS,Outfit MS
Person_1,0.529,0.152,188,320,0.588,1.151,1.143
Person_2,-1.331,0.149,104,320,0.325,1.242,1.353
Person_3,1.372,0.159,223,320,0.697,0.992,1.02
Person_4,1.372,0.159,223,320,0.697,1.219,1.213
Person_5,-2.729,0.175,48,320,0.15,1.196,1.088
Person_6,-1.833,0.154,82,320,0.256,0.946,0.892
Person_7,0.164,0.15,172,320,0.538,0.788,0.799
Person_8,-0.543,0.148,140,320,0.438,0.737,0.731
Person_9,0.097,0.15,169,320,0.528,1.275,1.292
Person_10,-1.286,0.149,106,320,0.331,1.005,0.972
Person_11,1.372,0.159,223,320,0.697,1.063,1.04
Person_12,1.098,0.156,212,320,0.662,0.789,0.807
Person_13,0.391,0.151,182,320,0.569,0.971,0.966
Person_14,1.901,0.167,243,320,0.759,0.965,0.995
Person_15,0.762,0.154,198,320,0.619,0.806,0.809
Person_16,-1.353,0.149,103,320,0.322,1.393,1.512
Person_17,0.529,0.152,188,320,0.588,0.879,0.897
Person_18,-1.465,0.15,98,320,0.306,0.914,0.973
Person_19,1.448,0.16,226,320,0.706,0.852,0.891
Person_20,0.075,0.15,168,320,0.525,0.788,0.786
Person_21,-0.39,0.148,147,320,0.459,0.874,0.883
Person_22,-1.023,0.148,118,320,0.369,0.98,0.979
Person_23,1.929,0.167,244,320,0.762,1.297,1.268
Person_24,0.03,0.149,166,320,0.519,1.014,1.048
Person_25,-0.302,0.148,151,320,0.472,1.096,1.109
Person_26,-0.434,0.148,145,320,0.453,1.1,1.074
Person_27,0.668,0.153,194,320,0.606,1.27,1.247
Person_28,0.809,0.154,200,320,0.625,0.865,0.864
Person_29,0.762,0.154,198,320,0.619,1.392,1.385
Person_30,0.575,0.152,190,320,0.594,0.937,0.917
Person_31,3.182,0.203,282,320,0.881,0.891,0.918
Person_32,-0.434,0.148,145,320,0.453,0.94,0.932
Person_33,-0.783,0.148,129,320,0.403,0.926,0.92
Person_34,-1.198,0.149,110,320,0.344,0.749,0.766
Person_35,0.929,0.155,205,320,0.641,1.001,0.993
Person_36,1.737,0.164,237,320,0.741,0.929,0.961
