,Estimate,SE,2.5%,97.5%,Count,Facility,Infit MS,Infit Z,Outfit MS,Outfit Z,PM corr,Exp PM corr
Item_1,0.005,0.044,-0.07,0.092,1600,0.496,0.958,-1.182,0.915,-2.433,0.765,0.762
Item_2,0.453,0.046,0.368,0.546,1600,0.42,1.097,2.647,1.036,1.002,0.744,0.751
Item_3,0.427,0.044,0.345,0.517,1600,0.43,1.158,4.209,1.122,3.292,0.744,0.752
Item_4,0.281,0.041,0.205,0.365,1600,0.442,0.991,-0.229,0.995,-0.13,0.75,0.757
Item_5,0.443,0.041,0.361,0.524,1600,0.425,1.002,0.071,0.98,-0.557,0.751,0.752
Item_6,0.052,0.038,-0.023,0.128,1600,0.48,1.083,2.262,1.047,1.306,0.752,0.762
Item_7,-0.727,0.042,-0.812,-0.648,1600,0.618,0.964,-1.016,0.948,-1.47,0.758,0.757
Item_8,-1.175,0.056,-1.29,-1.075,1600,0.687,0.953,-1.311,0.918,-2.332,0.751,0.74
Item_9,0.732,0.042,0.643,0.809,1600,0.366,0.969,-0.855,0.961,-1.088,0.736,0.738
Item_10,-0.33,0.041,-0.409,-0.252,1600,0.549,1.017,0.488,1.011,0.311,0.76,0.763
Item_11,0.487,0.037,0.417,0.559,1600,0.424,1.004,0.133,0.999,-0.013,0.752,0.75
Item_12,-0.648,0.043,-0.729,-0.57,1600,0.605,1.043,1.196,0.965,-0.966,0.752,0.759
