,Estimate,CSEM,RSEM,Score,Max score,p,Infit MS,Outfit MS,Infit Z,Outfit Z
Person_1,-2.808,0.192,0.183,41,480,0.085,0.908,0.724,-0.401,-0.839
Person_2,-0.067,0.094,0.095,218,480,0.454,1.011,0.987,0.126,-0.041
Person_3,1.009,0.101,0.113,338,480,0.704,1.242,1.264,1.535,1.526
Person_4,0.117,0.093,0.094,239,480,0.498,1.021,0.988,0.2,-0.034
Person_5,1.146,0.104,0.107,351,480,0.731,1.057,1.047,0.411,0.328
Person_6,4.209,0.351,0.322,472,480,0.983,0.84,0.436,-0.326,-0.045
Person_7,-2.023,0.153,0.159,68,480,0.142,1.08,1.233,0.463,1.153
Person_8,1.328,0.109,0.113,367,480,0.765,1.08,1.166,0.536,0.935
Person_9,-2.6,0.181,0.157,47,480,0.098,0.755,0.704,-1.246,-1.406
Person_10,0.409,0.093,0.094,273,480,0.569,1.025,1.023,0.228,0.206
Person_11,-0.854,0.109,0.114,140,480,0.292,1.093,1.196,0.616,1.161
Person_12,1.906,0.128,0.123,409,480,0.852,0.922,0.897,-0.385,-0.436
Person_13,-1.438,0.128,0.115,98,480,0.204,0.808,0.786,-1.081,-1.191
Person_14,0.619,0.095,0.102,297,480,0.619,1.16,1.092,1.157,0.641
Person_15,-1.705,0.139,0.145,83,480,0.173,1.093,1.193,0.539,1.013
Person_16,-3.692,0.246,0.227,22,480,0.046,0.851,0.824,-0.68,-0.355
Person_17,0.71,0.096,0.111,307,480,0.64,1.328,1.244,2.174,1.518
Person_18,2.417,0.155,0.159,435,480,0.906,1.048,1.097,0.292,0.462
Person_19,0.701,0.096,0.096,306,480,0.638,1.0,0.972,0.049,-0.131
Person_20,-1.523,0.132,0.124,93,480,0.194,0.884,0.858,-0.598,-0.738
Person_21,0.332,0.093,0.097,264,480,0.55,1.099,1.092,0.77,0.66
Person_22,0.939,0.1,0.11,331,480,0.69,1.217,1.049,1.415,0.348
Person_23,1.735,0.122,0.125,398,480,0.829,1.054,0.989,0.362,0.012
Person_24,-1.805,0.143,0.152,78,480,0.162,1.126,0.895,0.694,-0.496
Person_25,1.019,0.101,0.104,339,480,0.706,1.046,1.07,0.35,0.467
Person_26,0.4,0.093,0.094,272,480,0.567,1.018,1.061,0.176,0.457
Person_27,-0.166,0.096,0.093,207,480,0.431,0.958,0.949,-0.262,-0.303
Person_28,0.004,0.094,0.093,226,480,0.471,0.985,0.931,-0.067,-0.439
Person_29,-1.029,0.114,0.117,126,480,0.262,1.051,1.154,0.357,0.908
Person_30,-0.977,0.113,0.108,130,480,0.271,0.922,0.898,-0.431,-0.559
Person_31,1.78,0.123,0.124,401,480,0.835,1.011,0.951,0.119,-0.177
Person_32,0.254,0.093,0.085,255,480,0.531,0.849,0.848,-1.157,-1.057
Person_33,-1.016,0.114,0.101,127,480,0.265,0.779,0.803,-1.392,-1.168
Person_34,-4.179,0.286,0.296,15,480,0.031,1.072,0.922,0.38,0.113
Person_35,-1.311,0.124,0.108,106,480,0.221,0.767,0.766,-1.379,-1.348
Person_36,-1.042,0.115,0.127,125,480,0.26,1.215,1.305,1.262,1.666
Person_37,-2.169,0.159,0.142,62,480,0.129,0.797,0.92,-1.03,-0.337
Person_38,-2.22,0.162,0.171,60,480,0.125,1.112,1.068,0.605,0.393
Person_39,1.071,0.103,0.108,344,480,0.717,1.11,1.059,0.742,0.397
Person_40,-0.315,0.098,0.097,191,480,0.398,0.983,0.971,-0.071,-0.147
Person_41,-2.385,0.17,0.149,54,480,0.112,0.771,0.751,-1.162,-1.026
Person_42,-1.999,0.152,0.176,69,480,0.144,1.348,1.271,1.668,1.32
Person_43,-0.522,0.102,0.1,170,480,0.354,0.97,0.966,-0.15,-0.168
Person_44,1.339,0.109,0.108,368,480,0.767,0.985,1.009,-0.036,0.109
Person_45,-2.414,0.171,0.165,53,480,0.11,0.933,1.062,-0.272,0.355
Person_46,2.346,0.151,0.149,432,480,0.9,0.971,0.822,-0.07,-0.7
Person_47,-0.866,0.11,0.12,139,480,0.29,1.186,1.093,1.144,0.593
Person_48,-2.667,0.184,0.184,45,480,0.094,0.999,1.058,0.061,0.302
Person_49,0.822,0.098,0.09,319,480,0.665,0.849,0.798,-1.06,-1.323
Person_50,1.796,0.124,0.141,402,480,0.838,1.294,1.671,1.593,2.801
Person_51,-0.574,0.103,0.093,165,480,0.344,0.815,0.805,-1.254,-1.276
Person_52,0.775,0.097,0.109,314,480,0.654,1.257,1.266,1.715,1.618
Person_53,-0.854,0.109,0.098,140,480,0.292,0.808,0.825,-1.233,-1.06
Person_54,-0.315,0.098,0.095,191,480,0.398,0.941,0.906,-0.376,-0.597
Person_55,2.544,0.164,0.161,440,480,0.917,0.966,0.721,-0.079,-1.106
Person_56,1.124,0.104,0.095,349,480,0.727,0.836,0.881,-1.063,-0.668
Person_57,-2.169,0.159,0.154,62,480,0.129,0.938,0.94,-0.249,-0.182
Person_58,3.276,0.228,0.226,460,480,0.958,0.979,0.915,0.018,-0.035
Person_59,-1.888,0.147,0.146,74,480,0.154,0.991,0.943,0.019,-0.234
