,,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12
Rater_1,Person_1,0,0,0,0,0,1,1,1,0,1,0,0
Rater_1,Person_2,0,0,1,1,0,1,3,1,1,1,1,1
Rater_1,Person_3,4,0,1,1,4,2,2,4,1,1,2,1
Rater_1,Person_4,2,0,2,1,0,1,1,1,0,1,1,2
Rater_1,Person_5,4,2,1,1,1,2,2,4,1,3,1,2
Rater_1,Person_6,5,4,4,4,5,5,5,5,4,5,3,5
Rater_1,Person_7,1,0,0,1,0,1,0,1,1,1,0,1
Rater_1,Person_8,1,2,1,2,2,3,2,5,2,5,1,2
Rater_1,Person_9,0,0,0,1,0,0,1,1,0,0,0,1
Rater_1,Person_10,1,1,1,0,1,0,4,3,1,1,2,1
Rater_1,Person_11,0,1,0,1,0,1,3,2,0,1,0,1
Rater_1,Person_12,2,2,4,4,1,2,5,3,1,2,4,4
Rater_1,Person_13,0,1,1,0,1,1,1,1,0,0,0,1
Rater_1,Person_14,0,2,2,2,2,1,1,5,0,1,1,4
Rater_1,Person_15,0,0,1,1,0,0,0,3,0,0,0,1
Rater_1,Person_16,0,0,0,0,0,0,0,1,0,0,0,0
Rater_1,Person_17,1,3,1,2,1,1,1,4,0,5,1,1
Rater_1,Person_18,5,4,3,2,2,3,4,5,3,5,1,5
Rater_1,Person_19,1,1,0,2,2,1,3,3,4,3,0,2
Rater_1,Person_20,1,1,1,0,0,0,1,1,0,1,0,1
Rater_1,Person_21,1,1,3,1,1,1,2,3,0,0,1,1
Rater_1,Person_22,2,1,1,2,1,1,1,5,2,4,4,5
Rater_1,Person_23,3,3,2,1,1,2,3,5,3,4,2,2
Rater_1,Person_24,1,0,0,0,1,0,1,1,0,1,0,1
Rater_1,Person_25,1,0,2,1,1,2,4,4,3,2,2,4
Rater_1,Person_26,1,1,1,1,0,1,2,1,0,2,1,4
Rater_1,Person_27,1,1,1,0,2,0,3,2,2,1,0,3
Rater_1,Person_28,0,1,1,1,1,1,3,3,1,1,1,2
Rater_1,Person_29,1,0,1,1,0,1,1,2,0,1,0,1
Rater_1,Person_30,0,1,1,0,0,1,1,4,1,1,1,2
Rater_1,Person_31,1,2,2,2,1,1,4,4,1,3,3,4
Rater_1,Person_32,2,1,0,1,2,0,2,5,1,1,2,2
Rater_1,Person_33,0,1,0,0,0,1,1,1,0,1,0,1
Rater_1,Person_34,0,0,0,0,0,0,0,0,0,0,0,0
Rater_1,Person_35,0,0,0,0,0,1,1,1,0,1,1,1
Rater_1,Person_36,1,0,1,1,0,1,1,2,1,1,1,1
Rater_1,Person_37,0,0,0,1,0,0,1,1,0,0,0,1
Rater_1,Person_38,0,0,0,1,0,0,1,2,1,0,0,0
Rater_1,Person_39,2,1,1,3,1,1,5,3,1,1,0,2
Rater_1,Person_40,1,1,2,1,1,2,1,2,0,1,1,1
Rater_1,Person_41,0,0,1,1,1,0,0,0,0,0,0,1
Rater_1,Person_42,1,0,0,1,0,0,1,0,0,1,0,0
Rater_1,Person_43,1,0,0,1,1,1,1,4,0,1,0,1
Rater_1,Person_44,1,1,1,2,4,1,4,3,2,4,1,4
Rater_1,Person_45,1,0,0,0,1,0,1,1,0,0,1,1
Rater_1,Person_46,4,1,2,2,2,3,3,5,2,4,4,4
Rater_1,Person_47,1,0,1,0,0,1,1,3,1,0,0,1
Rater_1,Person_48,0,0,1,0,0,0,0,1,1,0,0,1
Rater_1,Person_49,2,0,2,1,1,1,4,4,2,4,1,4
Rater_1,Person_50,2,3,1,1,3,4,5,5,1,1,1,5
Rater_1,Person_51,0,0,1,1,1,0,2,2,1,2,0,1
Rater_1,Person_52,1,1,4,1,3,2,4,4,1,1,0,5
Rater_1,Person_53,1,1,0,1,0,1,1,1,1,1,0,1
Rater_1,Person_54,2,1,1,0,1,2,2,4,1,2,1,2
Rater_1,Person_55,3,4,4,5,3,3,5,5,1,5,5,5
Rater_1,Person_56,2,2,1,2,1,1,4,4,0,3,1,3
Rater_1,Person_57,0,0,2,0,0,0,0,1,0,0,0,0
Rater_1,Person_58,3,3,4,4,5,5,5,4,4,5,4,5
Rater_1,Person_59,1,0,0,1,0,0,1,1,0,0,1,1
Rater_1,Person_60,2,1,2,2,1,1,2,5,1,4,2,5
Rater_1,Person_61,1,1,0,1,2,1,4,4,1,1,1,2
Rater_1,Person_62,0,2,1,0,0,1,2,4,1,1,1,1
Rater_1,Person_63,1,0,0,0,1,1,3,5,1,1,1,4
Rater_1,Person_64,0,2,1,1,0,1,2,1,0,1,0,0
Rater_1,Person_65,2,1,1,3,1,3,3,4,1,2,1,2
Rater_1,Person_66,1,0,1,0,1,0,3,3,1,1,0,0
Rater_1,Person_67,0,0,1,1,0,0,0,2,1,1,0,1
Rater_1,Person_68,1,2,1,1,1,1,2,4,1,3,2,4
Rater_1,Person_69,5,5,1,4,1,2,4,3,1,4,2,5
Rater_1,Person_70,1,0,1,2,1,1,0,2,0,3,1,1
Rater_1,Person_71,4,2,4,4,2,5,5,5,4,5,3,5
Rater_1,Person_72,1,0,1,1,1,2,0,2,1,1,1,1
Rater_1,Person_73,2,2,3,4,3,3,5,5,2,5,3,4
Rater_1,Person_74,1,4,1,1,1,2,2,5,1,2,1,3
Rater_1,Person_75,3,3,1,1,1,2,4,4,1,1,1,1
Rater_1,Person_76,1,3,1,1,1,1,4,4,1,3,1,3
Rater_1,Person_77,1,0,1,0,0,0,0,3,0,0,1,0
Rater_1,Person_78,1,1,1,1,0,1,4,1,2,1,0,1
Rater_1,Person_79,0,1,0,0,0,1,0,0,0,0,0,0
Rater_1,Person_80,0,0,0,0,0,0,0,1,0,1,0,0
Rater_1,Person_81,3,1,0,2,1,1,4,5,1,3,1,1
Rater_1,Person_82,0,1,1,0,0,2,0,3,1,0,0,1
Rater_1,Person_83,2,0,2,2,2,3,5,5,1,3,1,3
Rater_1,Person_84,1,1,0,1,0,1,2,1,2,0,1,4
Rater_1,Person_85,1,0,0,0,1,1,2,0,0,1,1,0
Rater_1,Person_86,5,4,4,5,4,5,5,5,4,4,5,5
Rater_1,Person_87,4,1,2,2,3,4,5,5,1,4,2,3
Rater_1,Person_88,1,1,0,3,1,0,2,2,1,0,0,3
Rater_1,Person_89,1,1,1,1,1,2,2,4,1,1,1,1
Rater_1,Person_90,1,1,3,4,2,3,4,5,2,3,2,5
Rater_1,Person_91,0,0,0,1,1,0,1,2,0,0,0,1
Rater_1,Person_92,2,1,3,1,3,4,4,5,2,4,1,5
Rater_1,Person_93,2,1,0,0,1,2,2,4,1,2,0,3
Rater_1,Person_94,0,0,0,0,0,0,2,1,1,1,0,1
Rater_1,Person_95,2,1,3,0,2,1,2,4,1,1,2,3
Rater_1,Person_96,3,1,2,2,1,3,3,5,1,4,3,1
Rater_1,Person_97,1,0,1,1,1,1,4,4,1,1,0,3
Rater_1,Person_98,5,2,1,2,3,1,3,3,1,2,3,4
Rater_1,Person_99,5,2,2,3,2,3,5,4,1,4,1,3
Rater_1,Person_100,0,1,0,1,0,1,2,1,0,2,1,1
Rater_1,Person_101,4,2,3,2,4,3,5,5,4,3,1,4
Rater_1,Person_102,1,3,1,1,1,1,1,3,1,1,1,1
Rater_1,Person_103,1,2,3,3,1,1,4,5,1,4,1,3
Rater_1,Person_104,0,1,0,0,0,0,0,2,0,0,0,0
Rater_1,Person_105,4,1,1,2,2,3,2,5,1,2,1,4
Rater_1,Person_106,2,1,2,1,2,1,5,4,1,3,3,4
Rater_1,Person_107,0,1,1,0,0,0,1,3,0,1,1,2
Rater_1,Person_108,2,0,1,1,1,2,5,5,2,3,2,3
Rater_1,Person_109,2,0,1,2,1,1,1,3,1,2,1,1
Rater_1,Person_110,3,1,1,3,1,3,2,4,2,1,2,5
Rater_1,Person_111,0,1,2,1,1,1,5,4,0,1,4,1
Rater_1,Person_112,1,1,0,0,0,1,1,2,1,1,0,1
Rater_1,Person_113,1,0,2,1,1,0,1,3,2,1,0,2
Rater_1,Person_114,0,0,0,0,0,0,1,2,0,0,0,1
Rater_1,Person_115,1,1,1,1,1,0,1,4,1,0,0,1
Rater_1,Person_116,0,0,0,0,0,1,1,4,0,2,1,1
Rater_1,Person_117,2,1,2,2,2,3,5,5,0,2,1,3
Rater_1,Person_118,4,1,2,2,1,2,4,4,2,4,1,5
Rater_1,Person_119,2,0,1,2,0,1,5,2,2,2,1,2
Rater_1,Person_120,0,0,0,0,0,0,0,1,0,0,0,0
Rater_1,Person_121,1,1,1,1,1,1,1,3,1,2,1,4
Rater_1,Person_122,2,1,0,0,0,1,0,1,0,0,0,0
Rater_1,Person_123,1,1,1,3,1,1,4,4,1,1,2,5
Rater_1,Person_124,1,0,1,1,1,1,2,2,0,1,1,1
Rater_1,Person_125,2,0,1,1,0,0,0,1,0,1,0,1
Rater_1,Person_126,0,1,0,1,1,1,1,2,0,0,0,1
Rater_1,Person_127,2,1,1,2,1,1,2,4,0,4,2,4
Rater_1,Person_128,4,2,4,4,5,2,5,5,2,5,5,5
Rater_1,Person_129,0,0,2,0,1,1,1,2,0,1,1,1
Rater_1,Person_130,1,1,2,1,0,1,3,2,1,1,2,3
Rater_1,Person_131,0,1,1,1,0,0,3,0,0,1,0,1
Rater_1,Person_132,1,1,1,1,1,1,2,3,0,2,0,2
Rater_1,Person_133,0,0,0,0,0,0,1,2,0,0,0,1
Rater_1,Person_134,1,0,1,1,0,1,2,2,1,1,1,1
Rater_1,Person_135,1,1,1,1,1,2,2,3,1,2,1,3
Rater_1,Person_136,0,1,0,0,0,0,2,1,0,1,1,2
Rater_1,Person_137,0,1,1,1,1,1,2,4,1,2,1,1
Rater_1,Person_138,1,1,0,0,2,1,1,1,0,1,1,1
Rater_1,Person_139,4,3,3,2,3,5,4,4,1,2,3,5
Rater_1,Person_140,2,0,1,1,1,1,1,1,0,1,1,0
Rater_1,Person_141,1,1,0,1,1,1,4,3,0,1,1,5
Rater_1,Person_142,3,1,1,1,2,1,5,5,1,5,5,4
Rater_1,Person_143,1,0,0,1,1,1,3,4,0,1,1,1
