,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12
Item_1,1.0,-0.02229325172779058,-0.02381612621198384,-0.013314889617841767,0.028711666378310033,-0.010589892824181215,8.260320310816674e-05,0.02132956201537034,-0.002197893974564656,-0.0070927281313472885,-0.035077829477864704,-0.027830129127565276
Item_2,-0.02229325172779058,1.0,-9.200496109603054e-05,-0.03331576832294352,-0.01376927931571178,-0.037275582566058375,-0.013862351525910125,-0.008621652500485938,-0.010921448478386291,-0.026091556576059938,-0.0008994356723195762,0.03462305079171268
Item_3,-0.02381612621198384,-9.200496109603054e-05,1.0,-0.021921919256456653,-0.017855014693790024,0.00915942628040056,-0.049248506013086474,0.012331100840572132,-0.0351889179387932,-0.01116100800156506,-0.0029964700079812604,0.05859548957580794
Item_4,-0.013314889617841767,-0.03331576832294352,-0.021921919256456653,1.0,-0.012396073983470994,-0.025628173308863064,-0.02265192592504324,0.0024644592088056442,0.008216798298673235,-0.0479517835889918,0.024180533903548535,-0.0042785863962292465
Item_5,0.028711666378310033,-0.01376927931571178,-0.017855014693790024,-0.012396073983470994,1.0,-0.060485186675778575,-0.02433325094834323,-0.009933742917661532,-0.02594276578200117,0.009570787695155956,-0.03742900788755923,-0.02042690608062319
Item_6,-0.010589892824181215,-0.037275582566058375,0.00915942628040056,-0.025628173308863064,-0.060485186675778575,1.0,0.013182572235414804,-0.001804072531685564,-0.0145513004735554,-0.01379373607414318,-0.03707282013157352,-0.009958420211045593
Item_7,8.260320310816674e-05,-0.013862351525910125,-0.049248506013086474,-0.02265192592504324,-0.02433325094834323,0.013182572235414804,1.0,-0.020852399936727533,-0.014579043457973215,-0.007378290891562318,-0.0389934971127525,-0.0011615668551230452
Item_8,0.02132956201537034,-0.008621652500485938,0.012331100840572132,0.0024644592088056442,-0.009933742917661532,-0.001804072531685564,-0.020852399936727533,1.0,-0.03313507124232649,0.012702979817355742,-0.016315420967801066,-0.06656119314227738
Item_9,-0.002197893974564656,-0.010921448478386291,-0.0351889179387932,0.008216798298673235,-0.02594276578200117,-0.0145513004735554,-0.014579043457973215,-0.03313507124232649,1.0,-0.003091861987941745,0.005183259972650102,-0.04430618563839745
Item_10,-0.0070927281313472885,-0.026091556576059938,-0.01116100800156506,-0.0479517835889918,0.009570787695155956,-0.01379373607414318,-0.007378290891562318,0.012702979817355742,-0.003091861987941745,1.0,-0.01678892840526237,-0.017897831499190085
Item_11,-0.035077829477864704,-0.0008994356723195762,-0.0029964700079812604,0.024180533903548535,-0.03742900788755923,-0.03707282013157352,-0.0389934971127525,-0.016315420967801066,0.005183259972650102,-0.01678892840526237,1.0,-0.03767910990470485
Item_12,-0.027830129127565276,0.03462305079171268,0.05859548957580794,-0.0042785863962292465,-0.02042690608062319,-0.009958420211045593,-0.0011615668551230452,-0.06656119314227738,-0.04430618563839745,-0.017897831499190085,-0.03767910990470485,1.0
