,Estimate,SE,2.5%,97.5%,Count,Facility,Infit MS,Infit Z,Outfit MS,Outfit Z,PM corr,Exp PM corr
Item_1,1.033,0.043,0.95,1.118,1600,0.43,0.917,-2.417,0.912,-2.561,0.69,0.677
Item_2,0.261,0.042,0.182,0.342,1600,0.503,0.954,-1.323,0.933,-1.939,0.666,0.661
Item_3,-0.499,0.046,-0.584,-0.406,1600,0.572,0.967,-0.933,0.952,-1.381,0.651,0.649
Item_4,0.753,0.052,0.658,0.865,1600,0.451,0.989,-0.309,0.971,-0.815,0.677,0.675
Item_5,0.867,0.045,0.79,0.965,1600,0.438,0.98,-0.563,0.978,-0.627,0.687,0.683
Item_6,-0.071,0.038,-0.15,-0.001,1600,0.536,0.955,-1.266,0.939,-1.75,0.664,0.65
Item_7,-0.211,0.04,-0.296,-0.133,1600,0.541,1.036,1.008,1.035,0.995,0.665,0.652
Item_8,-1.039,0.041,-1.111,-0.957,1600,0.613,1.025,0.707,1.023,0.67,0.636,0.631
Item_9,-0.806,0.046,-0.891,-0.722,1600,0.596,0.981,-0.521,0.96,-1.144,0.641,0.638
Item_10,-0.225,0.044,-0.317,-0.145,1600,0.547,0.975,-0.703,0.979,-0.577,0.655,0.65
Item_11,-0.914,0.043,-0.995,-0.815,1600,0.607,1.002,0.065,0.994,-0.165,0.632,0.632
Item_12,0.85,0.043,0.765,0.928,1600,0.442,0.956,-1.248,0.953,-1.339,0.694,0.677
