,Estimate,CSEM,RSEM,Score,Max score,p,Infit MS,Outfit MS,Infit Z,Outfit Z
Person_1,0.92,0.17,0.157,294,480,0.612,0.86,0.849,-0.761,-0.805
Person_2,-0.713,0.136,0.142,223,480,0.465,1.09,1.082,0.691,0.578
Person_3,-3.053,0.153,0.144,96,480,0.2,0.882,0.896,-0.738,-0.652
Person_4,-0.182,0.146,0.151,250,480,0.521,1.072,1.051,0.519,0.35
Person_5,0.777,0.168,0.167,289,480,0.602,0.995,0.999,0.033,0.058
Person_6,-0.657,0.137,0.132,226,480,0.471,0.93,0.994,-0.481,0.012
Person_7,-0.466,0.14,0.148,236,480,0.492,1.115,1.107,0.832,0.7
Person_8,-0.982,0.133,0.136,208,480,0.433,1.05,1.014,0.418,0.148
Person_9,0.374,0.159,0.151,274,480,0.571,0.905,0.937,-0.52,-0.291
Person_10,-1.841,0.132,0.133,158,480,0.329,1.012,1.042,0.135,0.346
Person_11,2.098,0.168,0.159,334,480,0.696,0.891,0.869,-0.706,-0.832
Person_12,0.693,0.166,0.154,286,480,0.596,0.863,0.884,-0.747,-0.597
Person_13,0.299,0.157,0.145,271,480,0.565,0.845,0.781,-0.922,-1.251
Person_14,-0.387,0.141,0.118,240,480,0.5,0.694,0.707,-2.356,-1.961
Person_15,2.541,0.165,0.157,350,480,0.729,0.91,0.889,-0.629,-0.77
Person_16,0.666,0.166,0.155,285,480,0.594,0.879,0.92,-0.649,-0.385
Person_17,-0.804,0.135,0.123,218,480,0.454,0.837,0.847,-1.242,-1.043
Person_18,0.374,0.159,0.139,274,480,0.571,0.762,0.744,-1.468,-1.484
Person_19,0.978,0.17,0.177,296,480,0.617,1.082,1.137,0.507,0.779
Person_20,-1.362,0.131,0.121,186,480,0.388,0.861,0.832,-1.085,-1.269
Person_21,1.484,0.173,0.166,313,480,0.652,0.929,0.901,-0.375,-0.527
Person_22,-0.245,0.144,0.133,247,480,0.515,0.844,0.829,-1.071,-1.027
Person_23,0.25,0.156,0.161,269,480,0.56,1.067,1.045,0.453,0.304
Person_24,0.202,0.155,0.152,267,480,0.556,0.965,0.956,-0.158,-0.187
Person_25,-2.42,0.139,0.152,126,480,0.262,1.198,1.224,1.382,1.464
Person_26,-0.912,0.134,0.125,212,480,0.442,0.877,0.902,-0.922,-0.656
Person_27,1.037,0.171,0.207,298,480,0.621,1.465,1.391,2.335,1.974
Person_28,-2.938,0.15,0.157,101,480,0.21,1.095,1.068,0.652,0.488
Person_29,-1.945,0.133,0.128,152,480,0.317,0.926,0.952,-0.541,-0.305
Person_30,0.666,0.166,0.137,285,480,0.594,0.689,0.7,-1.91,-1.764
Person_31,-0.619,0.137,0.141,228,480,0.475,1.059,1.087,0.463,0.599
Person_32,0.038,0.151,0.142,260,480,0.542,0.887,0.937,-0.691,-0.309
Person_33,-2.051,0.134,0.139,146,480,0.304,1.083,1.095,0.658,0.698
Person_34,-0.676,0.136,0.15,225,480,0.469,1.2,1.191,1.425,1.236
