,,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8
Rater_1,Person_1,2,2,3,1,4,0,0,3
Rater_1,Person_2,3,5,3,4,3,3,1,3
Rater_1,Person_3,1,1,1,0,3,0,1,1
Rater_1,Person_4,3,3,2,2,4,0,0,3
Rater_1,Person_5,1,0,3,2,4,0,0,1
Rater_1,Person_6,2,3,1,1,4,1,1,3
Rater_1,Person_7,5,3,4,3,4,2,1,3
Rater_1,Person_8,1,1,0,0,0,0,0,0
Rater_1,Person_9,4,3,3,4,4,1,3,3
Rater_1,Person_10,3,4,2,2,5,0,1,3
Rater_1,Person_11,1,3,0,1,3,1,0,4
Rater_1,Person_12,2,2,0,1,1,0,1,3
Rater_1,Person_13,4,3,2,3,3,3,1,2
Rater_1,Person_14,2,2,1,3,4,1,1,2
Rater_1,Person_15,3,3,4,2,5,2,1,1
Rater_1,Person_16,3,5,3,3,3,0,2,4
Rater_1,Person_17,5,3,5,3,5,3,4,3
Rater_1,Person_18,3,3,2,1,2,2,1,3
Rater_1,Person_19,2,3,2,1,3,0,0,1
Rater_1,Person_20,3,4,4,2,4,3,2,3
Rater_1,Person_21,4,3,3,2,4,1,2,2
Rater_1,Person_22,4,5,4,4,5,2,2,3
Rater_1,Person_23,4,4,3,3,4,2,4,5
Rater_1,Person_24,2,5,4,3,5,2,1,5
Rater_1,Person_25,4,4,5,5,5,4,4,3
Rater_1,Person_26,0,1,2,0,2,0,0,3
Rater_1,Person_27,3,2,3,2,2,0,0,1
Rater_1,Person_28,0,3,2,1,4,0,0,2
Rater_1,Person_29,3,3,1,3,4,1,1,2
Rater_1,Person_30,1,3,1,0,2,0,0,0
Rater_1,Person_31,5,4,3,3,4,2,2,3
Rater_1,Person_32,3,2,2,0,4,1,1,4
Rater_1,Person_33,1,0,0,1,2,0,1,0
Rater_1,Person_34,2,2,1,3,3,0,0,0
Rater_1,Person_35,3,4,2,1,4,0,1,2
Rater_1,Person_36,5,4,4,3,4,0,1,4
Rater_1,Person_37,4,5,5,5,5,3,4,3
Rater_1,Person_38,5,4,5,4,5,4,4,4
Rater_1,Person_39,3,5,3,4,5,1,2,3
Rater_1,Person_40,0,1,0,2,3,0,0,4
Rater_1,Person_41,0,0,2,0,0,0,0,0
Rater_1,Person_42,3,3,3,2,4,2,1,4
Rater_1,Person_43,3,3,1,0,0,0,1,3
Rater_1,Person_44,2,0,2,1,4,0,1,3
Rater_1,Person_45,2,4,3,3,3,0,1,2
Rater_1,Person_46,1,2,2,2,3,1,2,1
Rater_1,Person_47,4,4,4,3,5,3,3,5
Rater_1,Person_48,2,4,3,1,3,1,2,1
Rater_1,Person_49,2,2,1,1,4,1,3,2
Rater_1,Person_50,0,2,1,2,1,1,2,2
Rater_1,Person_51,2,1,0,0,3,0,0,2
Rater_1,Person_52,2,3,3,1,3,3,2,1
Rater_1,Person_53,5,3,3,2,4,0,0,3
Rater_1,Person_54,5,5,5,4,5,4,3,5
Rater_1,Person_55,3,3,4,3,5,0,4,4
Rater_1,Person_56,5,5,4,4,5,2,2,5
Rater_1,Person_57,1,2,3,0,2,1,0,2
Rater_1,Person_58,1,0,1,0,3,0,0,2
Rater_1,Person_59,2,2,3,2,3,2,1,1
Rater_1,Person_60,1,2,2,0,3,1,2,1
Rater_1,Person_61,5,5,3,5,5,2,4,5
Rater_1,Person_62,1,1,2,0,3,1,0,2
Rater_1,Person_63,3,3,5,3,5,1,3,3
Rater_1,Person_64,2,2,1,0,3,0,0,2
Rater_1,Person_65,4,5,3,3,5,3,2,4
Rater_1,Person_66,3,4,2,3,5,0,1,4
Rater_1,Person_67,3,2,1,2,4,0,1,2
Rater_1,Person_68,3,4,1,1,3,2,2,2
Rater_1,Person_69,4,0,2,0,2,0,1,2
Rater_1,Person_70,3,4,3,1,4,2,2,3
Rater_1,Person_71,3,3,2,2,2,1,2,2
Rater_1,Person_72,0,2,2,1,2,0,1,3
Rater_1,Person_73,1,0,0,0,3,0,0,0
Rater_1,Person_74,2,2,1,0,3,3,3,3
Rater_1,Person_75,4,5,4,4,5,4,4,5
Rater_1,Person_76,2,3,2,3,4,1,1,2
Rater_1,Person_77,3,2,3,0,5,1,0,3
Rater_1,Person_78,3,4,4,2,3,0,2,3
Rater_1,Person_79,5,5,5,2,4,2,3,4
Rater_1,Person_80,3,3,3,3,5,0,2,2
Rater_1,Person_81,3,3,3,2,5,2,0,3
