,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11
Item_1,0.14813644504512824,-0.09128972880112089,-0.008920582864465313,0.1669798736086926,0.008078980055407477,-0.08242715270240253,-0.046745854251987774,0.061067419244916606,-0.11521994343598903,0.028817144257878742,0.057355456343887834
Item_2,0.16133484880933188,0.06412044281459815,0.08524029764607748,-0.06808344348176809,-0.07168368916241671,-0.04220400035164104,0.014291631729001391,-0.03993904883767934,0.08294956659866995,0.15172410943134684,-0.07056818190391487
Item_3,-0.12247783923458554,0.044684111673045125,-0.08398328906744039,0.0409680523312245,-0.08865939564814798,0.05726448760983984,-0.06358865534092374,0.1905226507221976,0.061041537646632074,0.0619321749339985,-0.03016683324105664
Item_4,-0.0759747243589295,-0.16881846926120664,-0.06201339311371338,-0.05212250304131164,0.027156587772703845,-0.12969447909545603,-0.007637260184732526,-0.04726257251556035,0.1472900885368045,-0.0003910786772143688,0.06952732078120166
Item_5,-0.016867442710700106,0.023248447981830157,-0.038845499846185204,-0.1047916857373683,0.2368398393144441,-0.012831716538062034,-0.05196566430889634,0.033596263781356446,-0.06598095786403797,0.03091029363016418,-0.08405582978365908
Item_6,-0.14653061041803045,0.0863307251150704,0.09828308072547005,0.005334898852695557,0.0171033994526904,-0.037114379814794714,0.16048465382695992,-0.000594939258683113,-0.07521624816477823,0.07461460899729286,0.09314438818855196
Item_7,-0.08941255290983598,-0.087256178234323,0.04544467499850653,-0.08761960276158412,-0.15070127582226805,-0.05087141248053618,-0.04275631639603123,-0.04570995273734497,-0.13389911336290983,-0.05383661459004251,-0.09719716791453421
Item_8,-0.0104106658402617,-0.10318047239495999,-0.07237368258569052,0.06039893442567791,0.008163111754753708,0.21550080906078814,0.042800089091908695,-0.12212141545141907,-0.01058262162450469,0.058124792347197266,-0.01539117046754583
Item_9,-0.04909230997188248,0.06227947926461581,0.19175088307531257,0.1215646171956603,0.04905551901660539,0.027786876563100745,-0.09361816382413066,-0.04616871736828195,0.08208088902201535,-0.09383023594332074,-0.02410433197868335
Item_10,0.03910124807351354,0.1786910647423038,-0.12447492437004627,-0.06801344506642322,-0.04793793559571162,0.008712911722564824,-0.09638473899065657,-0.08548261030014381,-0.028537631703046552,-0.04697976134862685,0.10776502516311985
Item_11,0.03678009992121048,0.07531092559772219,-0.1258521313308,0.08468710096512336,-0.004471341418606002,-0.07036345891750069,0.1583522599937092,-0.008565065215778586,0.034025646301361206,-0.10629904443645334,-0.10470885115392572
Item_12,0.11537945290415273,-0.058138013183807444,0.07399311457713148,-0.13323628506394788,-0.007529254914492188,0.10254091057416143,0.076800665384067,0.11833442160850004,0.017587714336314945,-0.11098323115310267,0.05469049708861751
