,Estimate,SE,2.5%,97.5%,Count,Facility,Infit MS,Infit Z,Outfit MS,Outfit Z,PM corr,Exp PM corr
Item_1,0.988,0.05,0.895,1.084,1600,0.431,0.985,-0.409,0.987,-0.347,0.666,0.675
Item_2,0.304,0.041,0.228,0.386,1600,0.495,0.937,-1.82,0.926,-2.142,0.695,0.67
Item_3,-0.464,0.043,-0.547,-0.383,1600,0.572,0.967,-0.923,0.956,-1.258,0.633,0.647
Item_4,0.653,0.047,0.569,0.75,1600,0.463,0.931,-1.977,0.925,-2.152,0.696,0.676
Item_5,0.991,0.04,0.911,1.07,1600,0.434,0.912,-2.564,0.909,-2.633,0.704,0.683
Item_6,-0.155,0.043,-0.236,-0.076,1600,0.543,0.932,-1.952,0.932,-1.949,0.673,0.656
Item_7,-0.219,0.042,-0.303,-0.141,1600,0.546,0.976,-0.681,0.981,-0.525,0.648,0.653
Item_8,-0.99,0.047,-1.082,-0.896,1600,0.609,0.984,-0.442,0.986,-0.383,0.634,0.63
Item_9,-0.813,0.045,-0.903,-0.726,1600,0.598,0.947,-1.514,0.969,-0.866,0.647,0.636
Item_10,-0.233,0.042,-0.315,-0.157,1600,0.548,0.921,-2.295,0.906,-2.732,0.665,0.655
Item_11,-0.861,0.043,-0.943,-0.779,1600,0.597,0.958,-1.199,0.945,-1.569,0.655,0.633
Item_12,0.799,0.046,0.713,0.888,1600,0.445,0.977,-0.644,0.963,-1.044,0.703,0.68
