,Estimate,CSEM,RSEM,Score,Max score,p,Infit MS,Outfit MS,Infit Z,Outfit Z
Person_1,1.205,0.17,0.167,303,480,0.631,0.96,0.969,-0.169,-0.118
Person_2,-0.433,0.14,0.148,236,480,0.492,1.126,1.166,0.911,1.067
Person_3,-2.827,0.149,0.153,105,480,0.219,1.053,1.013,0.393,0.133
Person_4,0.115,0.152,0.156,262,480,0.546,1.063,0.974,0.439,-0.095
Person_5,0.776,0.166,0.17,288,480,0.6,1.05,1.071,0.337,0.443
Person_6,-0.567,0.137,0.133,229,480,0.477,0.933,0.956,-0.457,-0.248
Person_7,-0.805,0.134,0.134,216,480,0.45,0.998,1.036,0.026,0.297
Person_8,-1.155,0.131,0.144,196,480,0.408,1.208,1.183,1.564,1.332
Person_9,0.721,0.165,0.167,286,480,0.596,1.027,1.037,0.208,0.263
Person_10,-1.581,0.131,0.135,171,480,0.356,1.071,1.063,0.587,0.505
Person_11,1.955,0.167,0.157,329,480,0.685,0.887,0.89,-0.718,-0.671
Person_12,1.002,0.169,0.191,296,480,0.617,1.276,1.296,1.477,1.561
Person_13,0.092,0.151,0.159,261,480,0.544,1.107,1.247,0.706,1.384
Person_14,0.024,0.149,0.146,258,480,0.538,0.959,0.973,-0.214,-0.102
Person_15,2.202,0.164,0.154,338,480,0.704,0.882,0.885,-0.799,-0.747
Person_16,0.666,0.164,0.15,284,480,0.592,0.83,0.829,-0.958,-0.945
Person_17,-0.805,0.134,0.136,216,480,0.45,1.036,1.007,0.312,0.097
Person_18,0.404,0.159,0.154,274,480,0.571,0.942,0.955,-0.289,-0.196
Person_19,1.089,0.17,0.134,299,480,0.623,0.627,0.618,-2.368,-2.416
Person_20,-1.445,0.131,0.124,179,480,0.373,0.898,0.88,-0.787,-0.902
Person_21,1.351,0.171,0.17,308,480,0.642,0.992,0.987,0.012,-0.015
Person_22,-0.212,0.144,0.162,247,480,0.515,1.259,1.286,1.677,1.661
Person_23,0.533,0.162,0.147,279,480,0.581,0.825,0.811,-1.01,-1.059
Person_24,0.455,0.16,0.157,276,480,0.575,0.968,1.012,-0.128,0.124
Person_25,-2.633,0.145,0.139,114,480,0.238,0.921,0.948,-0.505,-0.303
Person_26,-0.586,0.137,0.132,228,480,0.475,0.927,0.924,-0.502,-0.47
Person_27,0.748,0.166,0.145,287,480,0.598,0.764,0.752,-1.384,-1.438
Person_28,-2.612,0.144,0.14,115,480,0.24,0.941,0.931,-0.361,-0.417
Person_29,-1.91,0.133,0.133,152,480,0.317,0.996,1.004,0.015,0.074
Person_30,0.748,0.166,0.187,287,480,0.598,1.271,1.268,1.459,1.421
Person_31,-0.567,0.137,0.119,229,480,0.477,0.755,0.746,-1.917,-1.801
Person_32,-0.064,0.147,0.137,254,480,0.529,0.863,0.922,-0.891,-0.418
Person_33,-2.2,0.137,0.121,136,480,0.283,0.781,0.783,-1.704,-1.586
Person_34,-0.212,0.144,0.142,247,480,0.515,0.972,1.036,-0.144,0.27
Person_35,0.404,0.159,0.145,274,480,0.571,0.836,0.808,-0.964,-1.091
Person_36,0.138,0.152,0.151,263,480,0.548,0.989,0.98,-0.017,-0.058
Person_37,-1.788,0.132,0.144,159,480,0.331,1.193,1.249,1.453,1.737
Person_38,1.899,0.167,0.164,327,480,0.681,0.955,0.947,-0.244,-0.287
Person_39,-1.445,0.131,0.115,179,480,0.373,0.779,0.761,-1.841,-1.926
Person_40,-1.069,0.132,0.116,201,480,0.419,0.781,0.813,-1.796,-1.432
Person_41,2.147,0.165,0.158,336,480,0.7,0.921,0.899,-0.51,-0.641
Person_42,-2.071,0.135,0.135,143,480,0.298,1.0,0.965,0.043,-0.205
Person_43,1.147,0.17,0.189,301,480,0.627,1.236,1.259,1.298,1.399
Person_44,-0.212,0.144,0.143,247,480,0.515,0.987,1.084,-0.037,0.555
Person_45,-1.701,0.131,0.129,164,480,0.342,0.961,0.96,-0.268,-0.254
Person_46,1.031,0.169,0.148,297,480,0.619,0.762,0.772,-1.392,-1.32
Person_47,1.814,0.168,0.166,324,480,0.675,0.978,0.969,-0.092,-0.135
Person_48,1.381,0.171,0.175,309,480,0.644,1.054,1.067,0.368,0.432
Person_49,0.748,0.166,0.147,287,480,0.598,0.787,0.814,-1.231,-1.034
Person_50,-0.192,0.145,0.138,248,480,0.517,0.912,0.835,-0.562,-1.01
Person_51,0.776,0.166,0.164,288,480,0.6,0.97,0.964,-0.108,-0.142
Person_52,-2.804,0.149,0.133,106,480,0.221,0.8,0.78,-1.366,-1.507
Person_53,0.232,0.155,0.129,267,480,0.556,0.701,0.645,-1.984,-2.259
Person_54,-2.696,0.146,0.145,111,480,0.231,0.982,0.978,-0.07,-0.097
Person_55,-0.751,0.135,0.136,219,480,0.456,1.023,1.025,0.218,0.218
Person_56,1.322,0.171,0.186,307,480,0.64,1.194,1.22,1.11,1.226
Person_57,1.351,0.171,0.152,308,480,0.642,0.795,0.787,-1.224,-1.255
Person_58,0.185,0.153,0.152,265,480,0.552,0.983,1.033,-0.048,0.244
Person_59,1.351,0.171,0.148,308,480,0.642,0.755,0.745,-1.5,-1.541
Person_60,-0.604,0.137,0.136,227,480,0.473,0.991,0.958,-0.021,-0.237
Person_61,-1.086,0.132,0.129,200,480,0.417,0.966,0.972,-0.22,-0.161
Person_62,0.115,0.152,0.16,262,480,0.546,1.114,1.07,0.745,0.455
Person_63,1.786,0.168,0.16,323,480,0.673,0.906,0.872,-0.561,-0.762
Person_64,-0.788,0.134,0.138,217,480,0.452,1.052,0.956,0.434,-0.267
