,Estimate,SE,2.5%,97.5%,Count,Facility,Infit MS,Infit Z,Outfit MS,Outfit Z,PM corr,Exp PM corr
Item_1,1.088,0.048,0.991,1.179,1600,0.428,0.922,-2.249,0.933,-1.941,0.711,0.695
Item_2,0.17,0.043,0.083,0.247,1600,0.507,1.032,0.912,0.998,-0.042,0.691,0.678
Item_3,-0.492,0.039,-0.574,-0.42,1600,0.57,1.044,1.247,1.032,0.911,0.653,0.659
Item_4,0.788,0.045,0.705,0.88,1600,0.45,1.031,0.87,1.018,0.518,0.687,0.692
Item_5,0.935,0.046,0.851,1.019,1600,0.439,1.038,1.077,1.044,1.247,0.697,0.694
Item_6,-0.048,0.037,-0.124,0.023,1600,0.534,0.962,-1.086,0.951,-1.408,0.67,0.672
Item_7,-0.181,0.044,-0.274,-0.099,1600,0.543,0.995,-0.143,0.996,-0.088,0.672,0.668
Item_8,-1.014,0.047,-1.111,-0.932,1600,0.615,1.049,1.384,1.039,1.11,0.627,0.645
Item_9,-0.864,0.048,-0.961,-0.767,1600,0.598,0.992,-0.221,0.965,-0.99,0.628,0.649
Item_10,-0.312,0.044,-0.398,-0.231,1600,0.551,0.984,-0.447,0.975,-0.707,0.653,0.664
Item_11,-0.954,0.045,-1.039,-0.871,1600,0.606,1.064,1.781,1.053,1.49,0.639,0.646
Item_12,0.884,0.048,0.788,0.977,1600,0.446,0.938,-1.766,0.94,-1.727,0.711,0.693
