,Estimate,CSEM,RSEM,Score,Max score,p,Infit MS,Outfit MS,Infit Z,Outfit Z
Person_1,1.204,0.176,0.159,302,480,0.629,0.816,0.919,-1.051,-0.394
Person_2,-0.749,0.139,0.152,223,480,0.465,1.185,1.107,1.317,0.736
Person_3,-3.095,0.155,0.156,101,480,0.21,1.015,1.007,0.149,0.097
Person_4,-0.214,0.149,0.146,249,480,0.519,0.969,0.966,-0.161,-0.146
Person_5,0.664,0.169,0.165,284,480,0.592,0.952,0.96,-0.215,-0.158
Person_6,-0.531,0.143,0.141,234,480,0.488,0.975,0.93,-0.132,-0.402
Person_7,-0.386,0.145,0.16,241,480,0.502,1.217,1.411,1.451,2.29
Person_8,-0.845,0.138,0.144,218,480,0.454,1.09,1.112,0.684,0.781
Person_9,0.496,0.165,0.157,278,480,0.579,0.906,0.92,-0.501,-0.388
Person_10,-1.807,0.134,0.133,165,480,0.344,0.973,0.954,-0.169,-0.291
Person_11,2.288,0.173,0.16,337,480,0.702,0.855,0.825,-0.961,-1.121
Person_12,0.496,0.165,0.176,278,480,0.579,1.143,1.068,0.847,0.426
Person_13,0.158,0.157,0.159,265,480,0.552,1.025,1.03,0.207,0.226
Person_14,0.085,0.155,0.151,262,480,0.546,0.95,0.938,-0.269,-0.3
Person_15,2.64,0.17,0.187,349,480,0.727,1.214,1.204,1.447,1.33
Person_16,0.809,0.171,0.188,289,480,0.602,1.199,1.19,1.11,1.033
Person_17,-1.069,0.136,0.155,206,480,0.429,1.3,1.314,2.097,2.074
Person_18,-0.01,0.153,0.161,258,480,0.538,1.111,1.086,0.74,0.536
Person_19,1.05,0.175,0.177,297,480,0.619,1.027,1.071,0.208,0.439
Person_20,-1.467,0.134,0.13,184,480,0.383,0.945,0.944,-0.388,-0.374
Person_21,1.643,0.177,0.155,316,480,0.658,0.763,0.757,-1.485,-1.461
Person_22,-0.258,0.148,0.141,247,480,0.515,0.917,0.842,-0.524,-0.941
Person_23,0.75,0.17,0.155,287,480,0.598,0.83,0.815,-0.957,-1.008
Person_24,0.208,0.158,0.147,267,480,0.556,0.862,0.842,-0.83,-0.873
Person_25,-2.733,0.147,0.148,117,480,0.244,1.014,1.047,0.142,0.354
Person_26,-0.631,0.141,0.147,229,480,0.477,1.083,1.179,0.628,1.144
Person_27,1.05,0.175,0.179,297,480,0.619,1.051,1.044,0.341,0.295
Person_28,-3.167,0.157,0.147,98,480,0.204,0.884,0.885,-0.719,-0.711
Person_29,-1.952,0.135,0.141,157,480,0.327,1.094,1.102,0.74,0.751
Person_30,0.692,0.169,0.153,285,480,0.594,0.823,0.776,-1.008,-1.255
Person_31,-0.69,0.14,0.142,226,480,0.471,1.025,1.011,0.227,0.122
Person_32,0.109,0.156,0.156,263,480,0.548,0.998,0.913,0.044,-0.445
Person_33,-2.081,0.136,0.143,150,480,0.312,1.097,1.118,0.757,0.845
Person_34,-0.365,0.146,0.144,242,480,0.504,0.978,1.022,-0.107,0.188
Person_35,0.496,0.165,0.19,278,480,0.579,1.319,1.318,1.736,1.636
Person_36,0.109,0.156,0.162,263,480,0.548,1.084,1.067,0.566,0.429
Person_37,-1.645,0.134,0.129,174,480,0.362,0.932,0.971,-0.492,-0.171
Person_38,1.893,0.176,0.156,324,480,0.675,0.789,0.779,-1.359,-1.358
Person_39,-1.681,0.134,0.134,172,480,0.358,1.002,0.968,0.056,-0.189
Person_40,-1.305,0.134,0.137,193,480,0.402,1.038,1.079,0.331,0.608
Person_41,2.727,0.169,0.173,352,480,0.733,1.042,1.07,0.338,0.51
Person_42,-2.346,0.14,0.159,136,480,0.283,1.296,1.32,2.031,2.028
Person_43,0.838,0.172,0.166,290,480,0.604,0.934,0.902,-0.317,-0.487
Person_44,-0.147,0.15,0.132,252,480,0.525,0.772,0.707,-1.583,-1.855
Person_45,-1.915,0.135,0.136,159,480,0.331,1.021,1.041,0.203,0.335
Person_46,0.779,0.171,0.159,288,480,0.6,0.871,0.984,-0.698,-0.024
Person_47,2.168,0.174,0.173,333,480,0.694,0.995,1.01,0.02,0.117
Person_48,1.643,0.177,0.193,316,480,0.658,1.191,1.236,1.13,1.314
Person_49,0.75,0.17,0.199,287,480,0.598,1.361,1.327,1.886,1.671
Person_50,-0.386,0.145,0.139,241,480,0.502,0.922,0.82,-0.508,-1.118
Person_51,0.721,0.17,0.15,286,480,0.596,0.786,0.703,-1.244,-1.742
Person_52,-2.931,0.151,0.167,108,480,0.225,1.226,1.201,1.443,1.268
Person_53,0.496,0.165,0.161,278,480,0.579,0.95,0.81,-0.235,-1.045
Person_54,-2.954,0.151,0.144,107,480,0.223,0.905,0.883,-0.594,-0.735
Person_55,-0.511,0.143,0.135,235,480,0.49,0.897,0.959,-0.707,-0.21
Person_56,1.392,0.177,0.202,308,480,0.642,1.307,1.278,1.671,1.484
Person_57,1.581,0.177,0.149,314,480,0.654,0.707,0.718,-1.883,-1.721
Person_58,0.109,0.156,0.144,263,480,0.548,0.849,0.77,-0.94,-1.346
Person_59,1.612,0.177,0.162,315,480,0.656,0.842,0.827,-0.939,-0.993
Person_60,-0.729,0.14,0.147,224,480,0.467,1.11,1.149,0.818,0.993
Person_61,-1.124,0.135,0.145,203,480,0.423,1.145,1.208,1.083,1.437
Person_62,-0.079,0.152,0.144,255,480,0.531,0.905,0.937,-0.587,-0.316
Person_63,1.955,0.175,0.183,326,480,0.679,1.092,1.056,0.616,0.382
Person_64,-0.787,0.139,0.137,221,480,0.46,0.979,0.929,-0.111,-0.435
Person_65,-0.995,0.136,0.138,210,480,0.438,1.02,1.045,0.194,0.361
Person_66,0.958,0.174,0.18,294,480,0.612,1.078,1.145,0.485,0.814
Person_67,1.111,0.175,0.184,299,480,0.623,1.107,1.114,0.641,0.659
Person_68,-1.431,0.134,0.143,186,480,0.388,1.146,1.17,1.113,1.226
Person_69,-0.147,0.15,0.15,252,480,0.525,0.999,1.002,0.041,0.066
Person_70,-1.215,0.135,0.15,198,480,0.412,1.239,1.218,1.723,1.518
Person_71,0.868,0.172,0.146,291,480,0.606,0.721,0.733,-1.675,-1.536
Person_72,-0.958,0.137,0.143,212,480,0.442,1.089,1.027,0.689,0.233
Person_73,3.481,0.166,0.169,379,480,0.79,1.033,1.008,0.289,0.107
Person_74,1.737,0.177,0.17,319,480,0.665,0.932,0.87,-0.369,-0.733
Person_75,-0.787,0.139,0.125,221,480,0.46,0.806,0.814,-1.472,-1.28
Person_76,-0.236,0.148,0.152,248,480,0.517,1.051,1.006,0.384,0.091
Person_77,1.581,0.177,0.18,314,480,0.654,1.031,0.956,0.24,-0.193
Person_78,-1.359,0.134,0.143,190,480,0.396,1.141,1.118,1.076,0.878
Person_79,0.496,0.165,0.164,278,480,0.579,0.982,0.969,-0.049,-0.108
Person_80,-1.663,0.134,0.13,173,480,0.36,0.946,0.941,-0.379,-0.395
Person_81,1.769,0.176,0.169,320,480,0.667,0.917,0.87,-0.464,-0.735
Person_82,-0.323,0.146,0.155,244,480,0.508,1.125,1.193,0.868,1.151
Person_83,1.142,0.176,0.174,300,480,0.625,0.978,0.988,-0.064,-0.005
Person_84,-0.571,0.142,0.135,232,480,0.483,0.908,0.853,-0.625,-0.937
Person_85,1.643,0.177,0.196,316,480,0.658,1.234,1.242,1.357,1.344
Person_86,1.581,0.177,0.173,314,480,0.654,0.953,0.981,-0.223,-0.048
Person_87,-0.47,0.144,0.131,237,480,0.494,0.83,0.817,-1.221,-1.165
Person_88,0.607,0.167,0.166,282,480,0.588,0.987,0.999,-0.018,0.057
Person_89,1.518,0.177,0.163,312,480,0.65,0.843,0.829,-0.914,-0.965
Person_90,-0.033,0.153,0.169,257,480,0.535,1.227,1.209,1.414,1.183
Person_91,-1.574,0.134,0.139,178,480,0.371,1.086,1.085,0.684,0.653
Person_92,-0.147,0.15,0.141,252,480,0.525,0.889,0.843,-0.711,-0.911
