,,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8
Rater_1,Person_1,5,5,4,3,3,3,3,1
Rater_1,Person_2,3,2,3,2,4,2,1,2
Rater_1,Person_3,4,4,4,3,4,2,2,4
Rater_1,Person_4,5,5,5,3,4,5,3,3
Rater_1,Person_5,2,0,2,0,2,0,0,0
Rater_1,Person_6,1,1,1,0,3,1,1,0
Rater_1,Person_7,4,4,3,3,4,3,2,3
Rater_1,Person_8,4,3,3,2,2,2,0,1
Rater_1,Person_9,4,3,3,1,3,1,2,2
Rater_1,Person_10,3,1,3,1,1,2,1,2
Rater_1,Person_11,4,5,3,4,3,3,3,3
Rater_1,Person_12,4,3,5,3,5,3,4,3
Rater_1,Person_13,4,3,3,1,3,2,2,1
Rater_1,Person_14,5,5,5,3,4,3,3,4
Rater_1,Person_15,3,3,4,3,4,4,3,1
Rater_1,Person_16,3,2,1,1,1,1,1,1
Rater_1,Person_17,2,3,2,3,3,2,3,2
Rater_1,Person_18,2,4,2,0,2,1,1,1
Rater_1,Person_19,3,3,5,1,3,4,2,4
Rater_1,Person_20,1,3,3,3,2,4,2,3
Rater_1,Person_21,3,4,2,1,4,4,3,2
Rater_1,Person_22,2,3,1,2,2,0,1,1
Rater_1,Person_23,4,5,5,4,4,3,3,3
Rater_1,Person_24,4,2,4,2,3,0,1,3
Rater_1,Person_25,3,4,2,1,4,3,2,0
Rater_1,Person_26,3,2,3,1,4,1,2,1
Rater_1,Person_27,4,3,3,4,4,3,3,4
Rater_1,Person_28,5,4,4,2,4,2,2,3
Rater_1,Person_29,4,3,4,4,4,3,3,2
Rater_1,Person_30,4,3,4,2,4,2,2,3
Rater_1,Person_31,5,5,5,4,4,4,4,4
Rater_1,Person_32,2,3,2,1,4,3,1,3
Rater_1,Person_33,4,3,4,2,2,4,1,1
Rater_1,Person_34,3,3,2,2,3,0,0,1
Rater_1,Person_35,4,3,4,3,4,5,3,3
Rater_1,Person_36,5,5,4,1,4,3,1,4
Rater_1,Person_37,4,3,4,1,3,2,3,3
Rater_1,Person_38,1,4,3,1,2,1,1,2
Rater_1,Person_39,3,1,2,1,2,1,2,1
Rater_1,Person_40,4,4,3,3,4,2,3,2
Rater_1,Person_41,4,3,4,3,4,4,3,2
Rater_1,Person_42,4,4,4,3,5,2,3,3
Rater_1,Person_43,2,4,3,1,2,0,1,1
Rater_1,Person_44,3,2,3,1,3,2,3,2
Rater_1,Person_45,4,3,3,0,1,3,1,2
Rater_1,Person_46,4,4,5,1,4,1,2,1
Rater_1,Person_47,4,3,5,3,4,2,2,5
Rater_1,Person_48,4,5,4,2,3,2,1,2
Rater_1,Person_49,4,5,4,2,3,5,3,3
Rater_1,Person_50,5,3,2,1,4,1,2,1
Rater_1,Person_51,4,3,4,3,3,4,4,3
Rater_1,Person_52,4,3,1,3,4,4,2,1
Rater_1,Person_53,1,1,2,0,1,1,1,2
Rater_1,Person_54,4,4,3,1,3,2,0,1
Rater_1,Person_55,3,3,1,2,3,1,1,1
Rater_1,Person_56,3,2,3,2,3,2,0,2
Rater_1,Person_57,3,2,2,2,3,0,1,1
Rater_1,Person_58,4,4,5,4,5,4,2,4
Rater_1,Person_59,3,4,1,2,4,2,2,1
Rater_1,Person_60,4,4,5,4,4,5,3,4
Rater_1,Person_61,2,1,1,2,2,0,2,0
Rater_1,Person_62,3,3,3,1,2,2,2,2
Rater_1,Person_63,4,3,4,2,2,4,2,2
Rater_1,Person_64,5,5,5,1,5,4,4,4
Rater_1,Person_65,4,4,4,3,3,5,2,3
Rater_1,Person_66,5,3,3,4,3,4,3,1
Rater_1,Person_67,4,2,3,1,3,3,1,2
Rater_1,Person_68,4,4,3,3,4,1,1,1
Rater_1,Person_69,5,3,4,4,5,3,4,3
Rater_1,Person_70,1,5,5,0,3,3,1,1
