,Estimate,SE,2.5%,97.5%,Count,Facility,Infit MS,Infit Z,Outfit MS,Outfit Z,PM corr,Exp PM corr
Item_1,-0.591,0.036,-0.657,-0.528,2000,0.551,0.933,-2.154,0.936,-2.052,0.694,0.69
Item_2,-0.639,0.037,-0.709,-0.568,2000,0.56,1.017,0.559,1.02,0.637,0.681,0.69
Item_3,0.392,0.035,0.324,0.462,2000,0.462,0.993,-0.198,0.994,-0.184,0.704,0.695
Item_4,-0.757,0.036,-0.826,-0.688,2000,0.568,0.929,-2.302,0.922,-2.538,0.717,0.689
Item_5,0.432,0.037,0.365,0.506,2000,0.457,1.002,0.066,1.013,0.433,0.698,0.695
Item_6,0.802,0.038,0.725,0.871,2000,0.424,0.961,-1.246,0.968,-1.003,0.699,0.694
Item_7,-0.59,0.034,-0.657,-0.528,2000,0.551,0.93,-2.244,0.924,-2.451,0.705,0.69
Item_8,-0.233,0.039,-0.309,-0.158,2000,0.521,0.978,-0.703,0.988,-0.386,0.706,0.693
Item_9,0.746,0.039,0.67,0.817,2000,0.43,0.942,-1.852,0.939,-1.966,0.713,0.694
Item_10,-0.183,0.035,-0.249,-0.114,2000,0.516,0.988,-0.375,1.001,0.031,0.714,0.693
Item_11,0.496,0.035,0.434,0.567,2000,0.455,1.033,1.038,1.03,0.964,0.685,0.695
Item_12,-0.367,0.04,-0.445,-0.295,2000,0.533,0.997,-0.096,0.996,-0.121,0.688,0.692
Item_13,-0.617,0.038,-0.692,-0.543,2000,0.556,0.935,-2.08,0.943,-1.841,0.69,0.69
Item_14,0.601,0.038,0.53,0.681,2000,0.446,0.997,-0.088,1.009,0.288,0.704,0.694
Item_15,0.507,0.037,0.436,0.58,2000,0.453,1.011,0.363,1.008,0.267,0.689,0.695
