,Estimate,CSEM,RSEM,Score,Max score,p,Infit MS,Outfit MS,Infit Z,Outfit Z
Person_1,-2.802,0.188,0.173,42,480,0.088,0.851,0.769,-0.734,-0.941
Person_2,0.021,0.095,0.091,233,480,0.485,0.917,0.894,-0.584,-0.699
Person_3,1.033,0.104,0.119,341,480,0.71,1.311,1.279,1.895,1.601
Person_4,0.092,0.094,0.094,241,480,0.502,0.992,0.994,-0.014,0.007
Person_5,1.099,0.106,0.107,347,480,0.723,1.018,0.932,0.167,-0.359
Person_6,4.327,0.345,0.333,471,480,0.981,0.931,0.796,-0.073,0.049
Person_7,-2.0,0.148,0.151,71,480,0.148,1.041,1.102,0.274,0.601
Person_8,1.361,0.113,0.118,369,480,0.769,1.098,1.197,0.633,1.09
Person_9,-2.634,0.179,0.165,47,480,0.098,0.855,0.809,-0.71,-0.941
Person_10,0.394,0.095,0.097,275,480,0.573,1.051,1.068,0.414,0.501
Person_11,-0.924,0.11,0.113,139,480,0.29,1.051,1.205,0.368,1.218
Person_12,1.801,0.127,0.129,400,480,0.833,1.03,0.894,0.228,-0.474
Person_13,-1.558,0.13,0.119,94,480,0.196,0.837,0.828,-0.909,-0.975
Person_14,0.566,0.096,0.099,294,480,0.612,1.068,1.016,0.526,0.157
Person_15,-1.873,0.143,0.159,77,480,0.16,1.242,1.275,1.261,1.456
Person_16,-3.956,0.264,0.241,18,480,0.038,0.836,0.686,-0.711,-0.634
Person_17,0.766,0.099,0.117,315,480,0.656,1.391,1.391,2.473,2.277
Person_18,2.559,0.165,0.164,437,480,0.91,0.987,1.335,0.014,1.253
Person_19,0.766,0.099,0.105,315,480,0.656,1.117,1.26,0.833,1.585
Person_20,-1.508,0.128,0.134,97,480,0.202,1.095,0.937,0.58,-0.307
Person_21,0.296,0.094,0.099,264,480,0.55,1.108,1.092,0.825,0.656
Person_22,0.927,0.102,0.115,331,480,0.69,1.265,1.168,1.681,1.037
Person_23,1.692,0.123,0.13,393,480,0.819,1.115,1.058,0.699,0.355
Person_24,-1.873,0.143,0.151,77,480,0.16,1.119,0.934,0.674,-0.312
Person_25,1.022,0.104,0.108,340,480,0.708,1.069,1.228,0.492,1.34
Person_26,0.448,0.095,0.097,281,480,0.585,1.041,1.055,0.343,0.411
Person_27,-0.16,0.096,0.096,213,480,0.444,0.991,1.027,-0.02,0.231
Person_28,-0.033,0.095,0.093,227,480,0.473,0.951,0.94,-0.315,-0.367
Person_29,-1.061,0.113,0.12,128,480,0.267,1.109,1.203,0.702,1.19
Person_30,-1.036,0.113,0.102,130,480,0.271,0.825,0.857,-1.096,-0.843
Person_31,1.785,0.126,0.125,399,480,0.831,0.973,0.945,-0.094,-0.211
Person_32,0.278,0.094,0.095,262,480,0.546,1.021,1.006,0.198,0.093
Person_33,-1.048,0.113,0.107,129,480,0.269,0.899,0.905,-0.585,-0.526
Person_34,-4.541,0.323,0.316,11,480,0.023,0.96,1.022,-0.061,0.271
Person_35,-1.397,0.124,0.125,104,480,0.217,1.014,1.006,0.14,0.092
Person_36,-1.048,0.113,0.12,129,480,0.269,1.129,1.111,0.815,0.695
Person_37,-2.161,0.156,0.149,64,480,0.133,0.917,0.942,-0.375,-0.252
Person_38,-2.186,0.157,0.174,63,480,0.131,1.226,1.027,1.152,0.206
Person_39,1.055,0.105,0.107,343,480,0.715,1.039,1.051,0.301,0.355
Person_40,-0.387,0.099,0.097,189,480,0.394,0.969,0.944,-0.164,-0.325
Person_41,-2.666,0.181,0.184,46,480,0.096,1.038,0.899,0.255,-0.362
Person_42,-1.914,0.144,0.155,75,480,0.156,1.158,1.251,0.862,1.339
Person_43,-0.558,0.102,0.103,172,480,0.358,1.028,1.024,0.233,0.205
Person_44,1.298,0.111,0.11,364,480,0.758,0.982,1.074,-0.055,0.464
Person_45,-2.423,0.168,0.152,54,480,0.112,0.813,0.92,-0.956,-0.357
Person_46,2.334,0.152,0.132,428,480,0.892,0.753,0.829,-1.263,-0.675
Person_47,-0.865,0.108,0.114,144,480,0.3,1.107,0.979,0.71,-0.075
Person_48,-2.699,0.182,0.181,45,480,0.094,0.992,0.967,0.023,-0.062
Person_49,0.775,0.099,0.091,316,480,0.658,0.835,0.819,-1.164,-1.177
Person_50,1.738,0.125,0.128,396,480,0.825,1.058,1.298,0.382,1.432
Person_51,-0.61,0.103,0.089,167,480,0.348,0.746,0.73,-1.804,-1.845
Person_52,0.766,0.099,0.117,315,480,0.656,1.388,1.452,2.455,2.584
Person_53,-0.888,0.109,0.103,142,480,0.296,0.886,0.885,-0.697,-0.67
Person_54,-0.387,0.099,0.099,189,480,0.394,0.995,0.951,0.011,-0.275
Person_55,2.868,0.187,0.202,447,480,0.931,1.16,0.86,0.707,-0.242
Person_56,1.099,0.106,0.102,347,480,0.723,0.932,0.98,-0.393,-0.062
Person_57,-2.186,0.157,0.169,63,480,0.131,1.161,1.124,0.854,0.619
Person_58,3.561,0.251,0.24,462,480,0.962,0.915,1.11,-0.193,0.378
Person_59,-1.793,0.139,0.147,81,480,0.169,1.116,1.01,0.664,0.115
Person_60,1.286,0.111,0.101,363,480,0.756,0.837,0.993,-1.011,0.021
Person_61,0.52,0.096,0.086,289,480,0.602,0.809,0.77,-1.447,-1.608
Person_62,-0.024,0.095,0.087,228,480,0.475,0.846,0.826,-1.139,-1.206
Person_63,0.234,0.094,0.094,257,480,0.535,0.999,0.947,0.035,-0.316
Person_64,-0.272,0.097,0.103,201,480,0.419,1.121,1.239,0.865,1.528
Person_65,1.274,0.11,0.099,362,480,0.754,0.805,0.865,-1.24,-0.745
Person_66,-1.236,0.119,0.134,115,480,0.24,1.272,1.263,1.543,1.473
Person_67,-1.956,0.146,0.154,73,480,0.152,1.104,1.216,0.596,1.166
Person_68,0.727,0.098,0.094,311,480,0.648,0.918,0.91,-0.546,-0.547
Person_69,2.289,0.149,0.143,426,480,0.888,0.914,0.748,-0.372,-1.093
Person_70,-0.339,0.098,0.085,194,480,0.404,0.756,0.758,-1.806,-1.696
Person_71,2.559,0.165,0.164,437,480,0.91,0.988,0.975,0.019,-0.012
Person_72,-0.319,0.098,0.112,196,480,0.408,1.314,1.232,2.041,1.478
Person_73,2.48,0.16,0.166,434,480,0.904,1.077,0.873,0.422,-0.443
Person_74,1.179,0.108,0.103,354,480,0.738,0.907,0.934,-0.549,-0.334
Person_75,0.766,0.099,0.102,315,480,0.656,1.069,1.066,0.514,0.462
Person_76,1.274,0.11,0.125,362,480,0.754,1.28,1.104,1.644,0.629
Person_77,-1.153,0.116,0.126,121,480,0.252,1.174,1.272,1.051,1.527
Person_78,0.066,0.094,0.097,238,480,0.496,1.062,1.095,0.493,0.678
Person_79,-2.34,0.164,0.157,57,480,0.119,0.911,0.886,-0.404,-0.556
Person_80,-2.802,0.188,0.185,42,480,0.088,0.97,1.062,-0.09,0.357
Person_81,1.336,0.112,0.116,367,480,0.765,1.073,1.042,0.492,0.289
Person_82,-0.225,0.097,0.098,206,480,0.429,1.018,1.075,0.173,0.537
Person_83,1.465,0.116,0.101,377,480,0.785,0.763,0.816,-1.489,-1.002
Person_84,0.057,0.094,0.099,237,480,0.494,1.103,1.112,0.78,0.787
Person_85,-1.293,0.121,0.11,111,480,0.231,0.837,0.869,-0.959,-0.739
Person_86,4.327,0.345,0.281,471,480,0.981,0.662,0.445,-0.94,-0.266
Person_87,2.102,0.14,0.126,417,480,0.869,0.816,0.767,-0.968,-1.065
Person_88,0.137,0.094,0.09,246,480,0.512,0.91,0.968,-0.642,-0.171
Person_89,-0.105,0.096,0.09,219,480,0.456,0.896,0.9,-0.734,-0.652
Person_90,2.182,0.144,0.142,421,480,0.877,0.979,0.975,-0.044,-0.036
Person_91,-0.652,0.104,0.11,163,480,0.34,1.124,1.086,0.834,0.58
Person_92,2.182,0.144,0.113,421,480,0.877,0.621,0.639,-2.2,-1.747
Person_93,1.001,0.104,0.099,338,480,0.704,0.916,0.873,-0.519,-0.748
Person_94,-1.914,0.144,0.15,75,480,0.156,1.082,0.988,0.485,-0.004
Person_95,0.958,0.103,0.102,334,480,0.696,0.98,0.915,-0.08,-0.484
