,Rater_1,Rater_2,Rater_3,Rater_4,Rater_5,Rater_6,Rater_7,Rater_8,Rater_9,Rater_10
Rater_1,1.0,0.008471551738494973,0.026282918854310996,-0.003090801092371036,-0.013298705984233581,-0.014954645563618446,0.0005515819271825619,0.008927912390890986,-0.00427257550955852,-0.044135178195725065
Rater_2,0.008471551738494973,1.0,0.021526264943212855,-0.013129776910859377,0.005603159803788065,0.0023303861883903084,-0.039608428758138546,0.010535051297774234,-0.002808314352989527,-0.009669426740231
Rater_3,0.026282918854310996,0.021526264943212855,1.0,-0.02470427853517402,0.0028615315704199986,0.02743469745261662,0.02393420616715433,-0.025101145081554796,-0.021983121872581078,-0.03342051059711541
Rater_4,-0.003090801092371036,-0.013129776910859377,-0.02470427853517402,1.0,-0.003940565355599864,0.0010864449497964498,0.04927393763994533,0.025126646380278714,-0.004457841055098705,-0.013592101180479267
Rater_5,-0.013298705984233581,0.005603159803788065,0.0028615315704199986,-0.003940565355599864,1.0,-0.005187475141327591,-0.0032313202680088787,-0.019885767694308054,-0.002844455234930472,-0.005261508038581131
Rater_6,-0.014954645563618446,0.0023303861883903084,0.02743469745261662,0.0010864449497964498,-0.005187475141327591,1.0,-0.008742949441253126,-0.00135241553753288,0.008714011460969442,-0.009161824389662029
Rater_7,0.0005515819271825619,-0.039608428758138546,0.02393420616715433,0.04927393763994533,-0.0032313202680088787,-0.008742949441253126,1.0,0.0021667293201603453,0.0023327460003805295,-0.029177336901182845
Rater_8,0.008927912390890986,0.010535051297774234,-0.025101145081554796,0.025126646380278714,-0.019885767694308054,-0.00135241553753288,0.0021667293201603453,1.0,-0.024462204932424566,-0.010464835396655499
Rater_9,-0.00427257550955852,-0.002808314352989527,-0.021983121872581078,-0.004457841055098705,-0.002844455234930472,0.008714011460969442,0.0023327460003805295,-0.024462204932424566,1.0,-0.024060516155015383
Rater_10,-0.044135178195725065,-0.009669426740231,-0.03342051059711541,-0.013592101180479267,-0.005261508038581131,-0.009161824389662029,-0.029177336901182845,-0.010464835396655499,-0.024060516155015383,1.0
