,lambda,lambda,omega,omega,Overall statistics,Overall statistics,Overall statistics
,Estimate,SE,Estimate,SE,Count,Infit MS,Outfit MS
Rater_1,0.438,0.053,1.025,0.022,3000.0,0.975,0.976
Rater_2,0.392,0.056,0.982,0.024,3000.0,1.025,1.025
Rater_3,-0.602,0.064,0.955,0.028,3000.0,1.006,1.015
Rater_4,0.416,0.05,0.85,0.022,3000.0,0.966,0.97
Rater_5,-0.709,0.079,1.215,0.038,3000.0,0.969,0.97
Rater_6,0.044,0.049,0.969,0.023,3000.0,1.019,1.02
Rater_7,0.023,0.1,1.312,0.043,3000.0,0.969,0.973
Rater_8,0.55,0.045,0.866,0.02,3000.0,0.979,0.977
Rater_9,-0.991,0.048,0.759,0.024,3000.0,0.903,0.909
Rater_10,0.439,0.057,1.068,0.023,3000.0,0.962,0.959
