,Threshold 1,Threshold 1,Threshold 2,Threshold 2,Threshold 3,Threshold 3,Threshold 4,Threshold 4,Threshold 5,Threshold 5,Overall statistics,Overall statistics,Overall statistics
,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Count,Infit MS,Outfit MS
Rater_1,0.331,0.098,0.381,0.065,0.447,0.055,0.48,0.071,0.549,0.121,3000.0,0.975,0.976
Rater_2,0.468,0.087,0.433,0.054,0.386,0.06,0.362,0.083,0.313,0.141,3000.0,1.025,1.025
Rater_3,-0.409,0.167,-0.5,0.115,-0.618,0.058,-0.679,0.048,-0.804,0.095,3000.0,1.006,1.015
Rater_4,1.058,0.086,0.756,0.055,0.361,0.054,0.16,0.073,-0.257,0.122,3000.0,0.966,0.97
Rater_5,-1.63,0.217,-1.196,0.15,-0.63,0.07,-0.342,0.06,0.255,0.129,3000.0,0.969,0.97
Rater_6,0.175,0.113,0.114,0.074,0.033,0.049,-0.008,0.061,-0.093,0.112,3000.0,1.019,1.02
Rater_7,-1.317,0.234,-0.686,0.156,0.137,0.097,0.556,0.108,1.425,0.193,3000.0,0.969,0.973
Rater_8,1.125,0.093,0.854,0.061,0.501,0.046,0.321,0.057,-0.051,0.101,3000.0,0.979,0.977
Rater_9,0.041,0.131,-0.445,0.091,-1.079,0.044,-1.402,0.042,-2.071,0.087,3000.0,0.903,0.909
Rater_10,0.147,0.092,0.285,0.061,0.463,0.06,0.554,0.08,0.743,0.134,3000.0,0.962,0.959
