,,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15
Rater_1,Person_1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
Rater_1,Person_2,2,2,2,3,2,3,3,2,2,4,2,2,2,2,2
Rater_1,Person_3,2,2,2,3,1,2,4,1,3,3,3,3,1,2,2
Rater_1,Person_4,2,1,3,3,3,2,3,4,1,4,3,3,4,3,2
Rater_1,Person_5,5,4,4,4,3,3,4,4,4,4,4,4,4,3,2
Rater_1,Person_6,2,2,1,2,1,2,2,2,2,3,2,2,2,2,1
Rater_1,Person_7,1,2,2,2,1,0,2,1,2,2,1,3,2,2,1
Rater_1,Person_8,2,3,1,1,2,2,2,2,0,1,1,2,2,1,1
Rater_1,Person_9,4,3,3,3,4,3,4,4,2,5,4,4,4,3,2
Rater_1,Person_10,2,3,3,3,3,2,2,2,2,4,2,2,2,2,2
Rater_1,Person_11,2,2,1,2,1,1,2,1,1,2,0,1,0,1,0
Rater_1,Person_12,3,2,2,3,1,3,3,3,2,4,2,2,2,1,2
Rater_1,Person_13,3,3,3,3,2,3,4,1,2,3,3,4,3,2,2
Rater_1,Person_14,3,4,4,4,4,1,4,4,2,3,4,4,3,4,2
Rater_1,Person_15,2,4,3,2,3,2,4,4,2,2,2,3,4,2,3
Rater_1,Person_16,0,2,0,1,1,0,1,1,1,0,1,1,1,1,0
Rater_1,Person_17,2,2,3,2,1,2,2,3,2,2,1,1,3,2,1
Rater_1,Person_18,2,3,2,3,2,2,3,2,2,3,2,3,3,2,2
Rater_1,Person_19,3,2,2,2,1,2,2,2,3,2,3,2,3,2,3
Rater_1,Person_20,3,3,3,3,3,2,4,2,3,3,3,2,4,3,3
Rater_1,Person_21,1,2,2,2,2,3,3,2,0,2,3,2,2,2,2
Rater_1,Person_22,4,4,3,4,4,3,4,3,3,3,4,3,4,4,4
Rater_1,Person_23,4,2,2,3,2,2,2,2,2,2,2,2,3,2,2
Rater_1,Person_24,4,4,4,4,3,3,4,4,3,3,3,4,3,2,3
Rater_1,Person_25,2,2,2,2,2,1,3,4,2,2,1,1,3,2,2
Rater_1,Person_26,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2
