,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11
Item_1,-0.1342846119606069,-0.1307057067518253,-0.04961130827235231,0.05682916365467947,0.1414636300860865,-0.03983620074508956,0.07901019984753108,-0.07906473454020933,0.009362934862782824,-0.11217997339197422,0.004140811444019175
Item_2,0.10478936942778054,0.021484605041047603,-0.12838013969727793,-0.043722451433232036,-0.14006022140318922,-0.09544367511934418,0.0007822511692586601,-0.06630860886802577,0.09212468743416674,-0.07434281832120011,0.09186023478178891
Item_3,0.011751321906379428,-0.045081954046661966,0.17562400715229526,0.07490538966982488,-0.006469433143159966,0.03973119389605729,-0.0353391205639052,-0.03831818743151588,0.1952676137572485,0.06036589925627302,0.005438349315254448
Item_4,0.15798587537632897,-0.05564172905574218,-0.10047372204740117,-0.04316442123839711,0.08219593971832351,0.07738613146955713,-0.07753978549531321,-0.1058785341771567,-0.031053172638863057,0.07128078409730869,-0.10121622242611902
Item_5,-0.036316773635038234,0.15214695164512587,-0.04763147361905393,0.026808682663623046,0.13164587907222947,0.0674679593767815,-0.10757678092327433,0.03491023543296554,-0.005669446047667006,0.015825014478320912,0.147173817551521
Item_6,-0.08340064294456562,0.13798769079318815,0.07304533190685802,-0.08878175174127108,0.02315993781356658,-0.17838536905724936,-0.06012771477996936,-0.037470646638599274,-0.017207815224638334,0.021008076075912586,-0.09493324078914053
Item_7,0.10729531516770412,-0.06844068575236398,0.15788852379821547,-0.03575736600543984,0.004976764294300244,-0.044926005124874824,0.06300177153783848,-0.031090573294601697,-0.14685146481155012,0.03330904765027991,0.11292348672667207
Item_8,-0.018294938825607888,-0.14471656443540093,-0.0057590453668446675,-0.121764977275759,-0.010275102707379472,-0.002480864813202703,-0.09391548127755715,0.1996396517100815,0.01458442395721971,-0.03172675624075424,-0.008187440801938797
Item_9,-0.08944969969525472,0.07726672256366053,0.03559574531881857,-0.13314424998158644,-0.08681033835504605,0.1828039155325406,0.09087630352133588,-0.04063828244183139,-0.014140627453645431,-0.04801059230402776,-0.02362511481471909
Item_10,-0.028011000016147498,0.0014567464446163681,0.011774082235779335,0.19724283993121017,-0.13411549204768156,0.026790675100567655,-0.10540310376925427,0.0040936926070163256,-0.10565174178789818,-0.0582504405408805,-0.04409249902325594
Item_11,-0.11798373027477202,-0.038674908326869116,-0.11116550848717319,0.03658687952407626,-0.06781015738139429,-0.026137890480929297,0.07918592466273515,0.024597466844799642,-0.010660291051132545,0.20387182743809273,0.02282963172524164
Item_12,0.13164770593299385,0.10358000006483216,-0.012801511597797374,0.08554679340177582,0.05493157793923038,-0.012720663175182606,0.1542975052294546,0.13689238696220773,0.023662774833751374,-0.022367378719923444,-0.06560294600811925
