,Estimate,SE,2.5%,97.5%,Count,Facility,Infit MS,Infit Z,Outfit MS,Outfit Z,PM corr,Exp PM corr
Item_1,0.954,0.047,0.862,1.04,1600,0.432,0.956,-1.262,0.957,-1.227,0.68,0.671
Item_2,0.325,0.042,0.243,0.41,1600,0.494,0.902,-2.853,0.886,-3.355,0.689,0.668
Item_3,-0.507,0.043,-0.588,-0.422,1600,0.572,0.968,-0.902,0.996,-0.103,0.649,0.643
Item_4,0.745,0.046,0.661,0.836,1600,0.459,0.96,-1.14,0.937,-1.822,0.69,0.674
Item_5,0.974,0.043,0.892,1.054,1600,0.431,0.948,-1.482,0.936,-1.843,0.696,0.668
Item_6,-0.21,0.039,-0.288,-0.139,1600,0.546,0.9,-2.925,0.905,-2.764,0.668,0.654
Item_7,-0.219,0.042,-0.298,-0.135,1600,0.546,0.948,-1.473,0.922,-2.248,0.662,0.655
Item_8,-0.931,0.043,-1.018,-0.843,1600,0.607,0.951,-1.391,0.949,-1.465,0.628,0.632
Item_9,-0.892,0.045,-0.979,-0.807,1600,0.6,0.937,-1.809,0.918,-2.375,0.644,0.625
Item_10,-0.194,0.037,-0.26,-0.119,1600,0.544,0.924,-2.207,0.92,-2.311,0.673,0.656
Item_11,-0.857,0.037,-0.928,-0.786,1600,0.6,0.949,-1.444,0.952,-1.358,0.642,0.638
Item_12,0.814,0.044,0.728,0.902,1600,0.446,0.946,-1.546,0.938,-1.765,0.683,0.67
