,Estimate,CSEM,RSEM,Score,Max score,p,Infit MS,Outfit MS,Infit Z,Outfit Z
Person_1,0.994,0.168,0.141,296,480,0.617,0.703,0.696,-1.788,-1.776
Person_2,-0.618,0.137,0.125,226,480,0.471,0.837,0.905,-1.197,-0.578
Person_3,-2.803,0.148,0.134,105,480,0.219,0.821,0.87,-1.201,-0.796
Person_4,0.096,0.151,0.152,261,480,0.544,1.013,0.938,0.137,-0.297
Person_5,0.637,0.162,0.168,283,480,0.59,1.071,1.126,0.452,0.713
Person_6,-0.71,0.135,0.141,221,480,0.46,1.083,1.104,0.632,0.71
Person_7,-0.408,0.14,0.114,237,480,0.494,0.658,0.651,-2.671,-2.402
Person_8,-0.995,0.132,0.114,205,480,0.427,0.737,0.747,-2.125,-1.892
Person_9,0.38,0.157,0.156,273,480,0.569,0.986,0.925,-0.024,-0.359
Person_10,-1.782,0.131,0.123,159,480,0.331,0.87,0.82,-0.994,-1.313
Person_11,2.044,0.165,0.162,333,480,0.694,0.957,0.928,-0.239,-0.413
Person_12,0.798,0.165,0.161,289,480,0.602,0.95,0.927,-0.223,-0.342
Person_13,0.211,0.153,0.159,266,480,0.554,1.072,1.132,0.482,0.759
Person_14,-0.329,0.141,0.127,241,480,0.502,0.81,0.823,-1.351,-1.085
Person_15,2.392,0.162,0.164,346,480,0.721,1.022,1.031,0.204,0.256
Person_16,0.798,0.165,0.152,289,480,0.602,0.847,0.8,-0.84,-1.093
Person_17,-0.764,0.135,0.13,218,480,0.454,0.937,0.952,-0.427,-0.276
Person_18,0.235,0.154,0.148,267,480,0.556,0.928,0.834,-0.393,-0.909
Person_19,1.107,0.169,0.165,300,480,0.625,0.961,0.952,-0.163,-0.206
Person_20,-1.424,0.13,0.119,180,480,0.375,0.834,0.845,-1.295,-1.137
Person_21,1.193,0.169,0.142,303,480,0.631,0.707,0.695,-1.781,-1.81
Person_22,-0.349,0.141,0.148,240,480,0.5,1.096,1.085,0.691,0.555
Person_23,0.506,0.16,0.161,278,480,0.579,1.02,0.939,0.173,-0.274
Person_24,0.051,0.15,0.171,259,480,0.54,1.309,1.4,1.831,2.064
Person_25,-2.717,0.146,0.149,109,480,0.227,1.04,0.956,0.31,-0.227
Person_26,-0.71,0.135,0.126,221,480,0.46,0.864,0.851,-0.993,-0.984
Person_27,0.937,0.167,0.158,294,480,0.612,0.897,0.887,-0.536,-0.569
Person_28,-2.96,0.152,0.133,98,480,0.204,0.769,0.832,-1.54,-1.038
Person_29,-1.904,0.132,0.126,152,480,0.317,0.91,0.929,-0.656,-0.457
Person_30,0.937,0.167,0.163,294,480,0.612,0.956,0.947,-0.188,-0.229
Person_31,-0.523,0.138,0.131,231,480,0.481,0.899,0.932,-0.693,-0.389
Person_32,-0.08,0.147,0.15,253,480,0.527,1.046,0.946,0.348,-0.26
