,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12
Item_1,1.0,-0.028060639816352814,-0.01721129228771467,-0.010933341940236983,0.0032592557079054465,0.03649569527866999,-0.04290363540632357,-0.027494583299624353,0.024056269541556385,-0.015030587541977846,-0.03157440969130984,-0.03908521674171255
Item_2,-0.028060639816352814,1.0,-0.034899315275483546,-0.05954364859071264,-0.001763319063504305,-0.0028939128112425118,-0.022780776036463356,-0.0260316728370787,0.0048954760931415875,-0.04743730222926111,0.04399349321216746,0.0019420163595261879
Item_3,-0.01721129228771467,-0.034899315275483546,1.0,0.004518118840383568,-0.03872755702390602,0.006086744352258608,-0.02133353902003416,-0.04599444287169522,-0.004513377918787885,-0.011221031301383346,-0.007063149885818571,-0.05747292467744815
Item_4,-0.010933341940236983,-0.05954364859071264,0.004518118840383568,1.0,-0.0722180022219257,-0.04395304294313372,-0.010426183594582528,0.006961560275781325,-0.028817095952186653,0.004600895047545307,-0.00633441561669848,-0.006598673045278002
Item_5,0.0032592557079054465,-0.001763319063504305,-0.03872755702390602,-0.0722180022219257,1.0,-0.02720031857711581,-0.018958088679682187,0.033601260509008066,0.0297165035890429,0.004194877073677049,-0.026166063211370053,0.028524000371681412
Item_6,0.03649569527866999,-0.0028939128112425118,0.006086744352258608,-0.04395304294313372,-0.02720031857711581,1.0,-0.006478647894255869,-0.06114643154782336,0.009282982775503887,0.003786444529864897,-0.05465020545028318,-0.07076796838661553
Item_7,-0.04290363540632357,-0.022780776036463356,-0.02133353902003416,-0.010426183594582528,-0.018958088679682187,-0.006478647894255869,1.0,0.04530961702695342,-0.04758556557544304,-0.0001579948736496023,-0.015328689777076965,-0.025403553660257195
Item_8,-0.027494583299624353,-0.0260316728370787,-0.04599444287169522,0.006961560275781325,0.033601260509008066,-0.06114643154782336,0.04530961702695342,1.0,0.018149930302234947,-0.006475604618340674,0.025524837820232963,-0.02202928663849229
Item_9,0.024056269541556385,0.0048954760931415875,-0.004513377918787885,-0.028817095952186653,0.0297165035890429,0.009282982775503887,-0.04758556557544304,0.018149930302234947,1.0,-0.001977469875083575,0.00740743993815279,-0.0034860577755968813
Item_10,-0.015030587541977846,-0.04743730222926111,-0.011221031301383346,0.004600895047545307,0.004194877073677049,0.003786444529864897,-0.0001579948736496023,-0.006475604618340674,-0.001977469875083575,1.0,-0.00838443317997801,-0.022176075155142444
Item_11,-0.03157440969130984,0.04399349321216746,-0.007063149885818571,-0.00633441561669848,-0.026166063211370053,-0.05465020545028318,-0.015328689777076965,0.025524837820232963,0.00740743993815279,-0.00838443317997801,1.0,-0.03155001917937426
Item_12,-0.03908521674171255,0.0019420163595261879,-0.05747292467744815,-0.006598673045278002,0.028524000371681412,-0.07076796838661553,-0.025403553660257195,-0.02202928663849229,-0.0034860577755968813,-0.022176075155142444,-0.03155001917937426,1.0
