,Estimate,SE,2.5%,97.5%,Count,Facility,Infit MS,Infit Z,Outfit MS,Outfit Z,PM corr,Exp PM corr
Item_1,0.038,0.04,-0.032,0.121,1600,0.497,0.934,-1.887,0.924,-2.161,0.766,0.755
Item_2,0.453,0.043,0.368,0.535,1600,0.424,1.029,0.825,1.041,1.157,0.745,0.748
Item_3,0.391,0.042,0.309,0.473,1600,0.433,1.133,3.576,1.116,3.133,0.742,0.75
Item_4,0.288,0.042,0.207,0.369,1600,0.444,0.967,-0.931,0.964,-1.016,0.75,0.752
Item_5,0.449,0.041,0.361,0.53,1600,0.424,0.965,-0.977,0.975,-0.686,0.752,0.748
Item_6,0.055,0.04,-0.019,0.13,1600,0.482,1.046,1.29,1.035,0.978,0.75,0.755
Item_7,-0.724,0.043,-0.81,-0.644,1600,0.618,0.965,-0.982,0.945,-1.552,0.752,0.746
Item_8,-1.185,0.056,-1.298,-1.073,1600,0.691,0.932,-1.944,0.921,-2.258,0.748,0.726
Item_9,0.742,0.044,0.65,0.828,1600,0.366,0.933,-1.901,0.943,-1.614,0.74,0.738
Item_10,-0.336,0.041,-0.417,-0.26,1600,0.551,1.022,0.632,1.031,0.873,0.758,0.754
Item_11,0.474,0.041,0.394,0.554,1600,0.426,0.971,-0.796,0.968,-0.902,0.749,0.747
Item_12,-0.646,0.043,-0.736,-0.565,1600,0.608,1.0,0.016,0.935,-1.863,0.751,0.748
