,Estimate,CSEM,RSEM,Score,Max score,p,Infit MS,Outfit MS,Infit Z,Outfit Z
Person_1,0.961,0.164,0.165,296,480,0.617,1.008,0.972,0.105,-0.107
Person_2,-0.716,0.14,0.138,223,480,0.465,0.98,0.981,-0.094,-0.07
Person_3,-3.134,0.151,0.148,95,480,0.198,0.961,0.957,-0.21,-0.244
Person_4,0.041,0.151,0.152,259,480,0.54,1.018,0.996,0.168,0.031
Person_5,0.62,0.16,0.155,283,480,0.59,0.945,0.854,-0.292,-0.831
Person_6,-0.908,0.138,0.134,213,480,0.444,0.952,0.988,-0.298,-0.028
Person_7,-0.289,0.146,0.134,244,480,0.508,0.848,0.823,-1.0,-1.08
Person_8,-0.983,0.137,0.136,209,480,0.435,0.982,1.073,-0.081,0.518
Person_9,0.801,0.162,0.171,290,480,0.604,1.115,1.062,0.734,0.41
Person_10,-1.953,0.134,0.132,155,480,0.323,0.963,0.968,-0.236,-0.188
Person_11,2.113,0.168,0.153,337,480,0.702,0.828,0.843,-1.17,-1.031
Person_12,0.907,0.163,0.151,294,480,0.612,0.856,0.891,-0.868,-0.602
Person_13,0.322,0.155,0.153,271,480,0.565,0.966,0.997,-0.165,0.039
Person_14,-0.247,0.146,0.139,246,480,0.512,0.907,0.933,-0.578,-0.352
Person_15,2.339,0.168,0.17,345,480,0.719,1.026,1.036,0.227,0.285
Person_16,0.519,0.158,0.141,279,480,0.581,0.794,0.758,-1.323,-1.47
Person_17,-0.965,0.137,0.151,210,480,0.438,1.212,1.212,1.468,1.346
Person_18,0.133,0.152,0.135,263,480,0.548,0.789,0.781,-1.388,-1.322
Person_19,1.015,0.165,0.168,298,480,0.621,1.037,1.053,0.278,0.364
Person_20,-1.276,0.134,0.128,193,480,0.402,0.903,0.865,-0.7,-0.918
Person_21,1.042,0.165,0.153,299,480,0.623,0.863,0.871,-0.823,-0.738
Person_22,-0.353,0.145,0.131,241,480,0.502,0.819,0.878,-1.222,-0.712
Person_23,0.395,0.156,0.171,274,480,0.571,1.199,1.308,1.22,1.678
Person_24,0.156,0.153,0.133,264,480,0.55,0.758,0.748,-1.622,-1.553
Person_25,-2.509,0.139,0.148,125,480,0.26,1.134,1.077,0.973,0.58
Person_26,-0.87,0.138,0.15,215,480,0.448,1.184,1.215,1.275,1.347
Person_27,0.828,0.162,0.165,291,480,0.606,1.037,0.956,0.28,-0.202
Person_28,-2.432,0.138,0.125,129,480,0.269,0.819,0.784,-1.358,-1.609
Person_29,-1.863,0.134,0.135,160,480,0.333,1.022,1.056,0.211,0.44
Person_30,0.723,0.161,0.163,287,480,0.598,1.02,1.054,0.177,0.364
Person_31,-0.775,0.139,0.13,220,480,0.458,0.874,0.897,-0.868,-0.627
Person_32,0.041,0.151,0.129,259,480,0.54,0.73,0.784,-1.846,-1.31
Person_33,-2.337,0.137,0.141,134,480,0.279,1.052,1.016,0.417,0.163
Person_34,-0.477,0.143,0.16,235,480,0.49,1.251,1.187,1.607,1.138
Person_35,0.469,0.157,0.154,277,480,0.577,0.962,1.011,-0.187,0.119
