,Estimate,SE,2.5%,97.5%,Count,Facility,Infit MS,Infit Z,Outfit MS,Outfit Z,PM corr,Exp PM corr
Item_1,0.911,0.043,0.83,0.994,1600,0.438,0.984,-0.442,0.958,-1.202,0.652,0.655
Item_2,0.341,0.04,0.261,0.419,1600,0.495,0.976,-0.664,0.983,-0.484,0.654,0.645
Item_3,-0.458,0.042,-0.545,-0.379,1600,0.567,1.004,0.134,1.0,0.024,0.633,0.628
Item_4,0.726,0.044,0.642,0.812,1600,0.459,0.963,-1.06,0.963,-1.033,0.665,0.652
Item_5,1.028,0.048,0.93,1.126,1600,0.428,0.977,-0.652,0.993,-0.177,0.658,0.656
Item_6,-0.091,0.044,-0.171,-0.001,1600,0.537,0.976,-0.682,0.981,-0.531,0.639,0.636
Item_7,-0.245,0.044,-0.326,-0.159,1600,0.546,1.057,1.606,1.054,1.512,0.641,0.632
Item_8,-1.087,0.05,-1.192,-0.984,1600,0.614,0.936,-1.846,0.942,-1.667,0.646,0.616
Item_9,-0.819,0.045,-0.914,-0.744,1600,0.596,0.947,-1.502,0.955,-1.266,0.622,0.621
Item_10,-0.304,0.044,-0.387,-0.219,1600,0.552,0.939,-1.746,0.93,-2.017,0.641,0.631
Item_11,-0.896,0.045,-0.98,-0.807,1600,0.599,0.963,-1.056,0.944,-1.617,0.617,0.619
Item_12,0.895,0.044,0.807,0.978,1600,0.438,1.021,0.588,1.024,0.684,0.649,0.655
