,Estimate,CSEM,RSEM,Score,Max score,p,Infit MS,Outfit MS,Infit Z,Outfit Z
Person_1,1.388,0.171,0.178,309,480,0.644,1.082,1.024,0.543,0.196
Person_2,-0.687,0.14,0.142,225,480,0.469,1.026,0.999,0.231,0.048
Person_3,-2.957,0.149,0.138,105,480,0.219,0.859,0.858,-0.962,-0.958
Person_4,-0.03,0.152,0.156,256,480,0.533,1.048,1.098,0.356,0.617
Person_5,0.758,0.166,0.155,287,480,0.598,0.875,0.881,-0.712,-0.648
Person_6,-0.607,0.141,0.151,229,480,0.477,1.133,1.118,0.952,0.774
Person_7,-0.627,0.141,0.144,228,480,0.475,1.041,1.02,0.332,0.181
Person_8,-1.159,0.136,0.138,200,480,0.417,1.031,1.009,0.277,0.111
Person_9,0.954,0.168,0.182,294,480,0.612,1.163,1.209,0.97,1.178
Person_10,-1.772,0.134,0.147,166,480,0.346,1.205,1.217,1.505,1.524
Person_11,2.342,0.168,0.161,342,480,0.712,0.924,0.936,-0.494,-0.392
Person_12,0.568,0.163,0.185,280,480,0.583,1.29,1.359,1.627,1.894
Person_13,0.233,0.157,0.149,267,480,0.556,0.894,0.841,-0.617,-0.914
Person_14,-0.254,0.148,0.151,246,480,0.512,1.053,1.118,0.395,0.743
Person_15,2.342,0.168,0.167,342,480,0.712,0.986,0.962,-0.051,-0.213
Person_16,0.594,0.164,0.174,281,480,0.585,1.129,1.125,0.785,0.742
Person_17,-0.918,0.138,0.139,213,480,0.444,1.015,1.042,0.157,0.326
Person_18,0.111,0.155,0.151,262,480,0.546,0.948,1.013,-0.276,0.133
Person_19,1.069,0.169,0.17,298,480,0.621,1.005,0.973,0.085,-0.098
Person_20,-1.503,0.134,0.144,181,480,0.377,1.148,1.115,1.115,0.846
Person_21,1.069,0.169,0.168,298,480,0.621,0.985,1.001,-0.034,0.066
Person_22,-0.465,0.144,0.16,236,480,0.492,1.235,1.321,1.562,1.867
Person_23,0.436,0.161,0.152,275,480,0.573,0.893,0.934,-0.606,-0.326
Person_24,0.184,0.156,0.136,265,480,0.552,0.754,0.717,-1.604,-1.761
Person_25,-2.579,0.142,0.125,123,480,0.256,0.773,0.752,-1.727,-1.84
Person_26,-0.567,0.142,0.137,231,480,0.481,0.924,0.869,-0.5,-0.817
Person_27,1.011,0.169,0.154,296,480,0.617,0.834,0.837,-0.98,-0.93
Person_28,-3.002,0.15,0.152,103,480,0.215,1.027,1.073,0.227,0.532
Person_29,-1.935,0.135,0.146,157,480,0.327,1.162,1.113,1.211,0.834
Person_30,0.786,0.166,0.161,288,480,0.6,0.933,0.895,-0.343,-0.564
Person_31,-0.587,0.142,0.154,230,480,0.479,1.18,1.196,1.249,1.223
Person_32,0.184,0.156,0.151,265,480,0.552,0.94,0.924,-0.324,-0.394
Person_33,-2.118,0.136,0.123,147,480,0.306,0.811,0.788,-1.477,-1.6
Person_34,-0.547,0.142,0.131,232,480,0.483,0.841,0.852,-1.133,-0.928
Person_35,0.648,0.165,0.171,283,480,0.59,1.075,1.095,0.486,0.583
Person_36,-0.03,0.152,0.164,256,480,0.533,1.161,1.179,1.029,1.054
Person_37,-1.413,0.134,0.144,186,480,0.388,1.156,1.253,1.169,1.734
Person_38,1.971,0.17,0.169,329,480,0.685,0.989,0.973,-0.025,-0.124
Person_39,-1.593,0.134,0.133,176,480,0.367,0.984,0.995,-0.08,0.007
Person_40,-1.214,0.135,0.13,197,480,0.41,0.924,0.974,-0.544,-0.139
Person_41,2.454,0.167,0.142,346,480,0.721,0.717,0.725,-2.175,-2.056
Person_42,-1.917,0.135,0.127,158,480,0.329,0.884,0.924,-0.873,-0.517
Person_43,0.786,0.166,0.168,288,480,0.6,1.019,1.037,0.165,0.264
Person_44,-0.382,0.145,0.136,240,480,0.5,0.872,0.871,-0.866,-0.773
Person_45,-1.808,0.134,0.157,164,480,0.342,1.367,1.381,2.546,2.528
Person_46,0.814,0.167,0.154,289,480,0.602,0.85,0.848,-0.872,-0.857
Person_47,1.943,0.17,0.139,328,480,0.683,0.669,0.647,-2.405,-2.532
Person_48,1.098,0.17,0.164,299,480,0.623,0.937,0.891,-0.323,-0.593
Person_49,0.541,0.163,0.16,279,480,0.581,0.964,0.981,-0.16,-0.049
Person_50,-0.232,0.148,0.139,247,480,0.515,0.882,0.793,-0.768,-1.286
Person_51,0.87,0.167,0.176,291,480,0.606,1.102,1.115,0.635,0.692
Person_52,-3.024,0.15,0.171,102,480,0.212,1.297,1.314,1.885,1.976
Person_53,0.258,0.158,0.139,268,480,0.558,0.78,0.823,-1.396,-1.025
Person_54,-2.849,0.147,0.143,110,480,0.229,0.947,0.98,-0.326,-0.086
Person_55,-0.803,0.139,0.148,219,480,0.456,1.14,1.14,1.022,0.934
Person_56,1.856,0.17,0.153,325,480,0.677,0.811,0.813,-1.253,-1.203
Person_57,1.535,0.171,0.177,314,480,0.654,1.067,1.024,0.461,0.197
Person_58,0.308,0.159,0.154,270,480,0.562,0.944,0.966,-0.287,-0.138
Person_59,1.011,0.169,0.158,296,480,0.617,0.873,0.82,-0.728,-1.04
Person_60,-0.706,0.14,0.138,224,480,0.467,0.965,0.994,-0.208,0.013
Person_61,-1.232,0.135,0.124,196,480,0.408,0.838,0.829,-1.25,-1.232
Person_62,0.184,0.156,0.154,265,480,0.552,0.978,1.036,-0.081,0.265
Person_63,1.71,0.171,0.18,320,480,0.667,1.117,1.146,0.766,0.914
Person_64,-0.784,0.139,0.135,220,480,0.458,0.947,0.869,-0.342,-0.85
Person_65,-0.88,0.138,0.148,215,480,0.448,1.145,1.203,1.063,1.324
Person_66,0.983,0.169,0.142,295,480,0.615,0.711,0.668,-1.844,-2.104
Person_67,0.898,0.168,0.177,292,480,0.608,1.115,1.066,0.707,0.425
Person_68,-1.359,0.134,0.132,189,480,0.394,0.967,0.984,-0.206,-0.07
Person_69,-0.166,0.149,0.154,250,480,0.521,1.061,1.011,0.443,0.123
Person_70,-1.159,0.136,0.137,200,480,0.417,1.018,1.006,0.177,0.088
Person_71,0.515,0.162,0.182,278,480,0.579,1.26,1.305,1.483,1.643
Person_72,-0.974,0.137,0.148,210,480,0.438,1.167,1.175,1.215,1.174
Person_73,3.524,0.166,0.156,385,480,0.802,0.882,0.89,-0.91,-0.841
Person_74,1.535,0.171,0.159,314,480,0.654,0.868,0.86,-0.798,-0.829
Person_75,-0.403,0.145,0.137,239,480,0.498,0.893,0.886,-0.71,-0.68
Person_76,-0.361,0.146,0.141,241,480,0.502,0.939,0.967,-0.372,-0.152
Person_77,1.856,0.17,0.151,325,480,0.677,0.788,0.766,-1.431,-1.554
Person_78,-1.557,0.134,0.121,178,480,0.371,0.819,0.82,-1.418,-1.347
Person_79,0.676,0.165,0.163,284,480,0.592,0.975,1.029,-0.095,0.224
Person_80,-1.196,0.135,0.157,198,480,0.412,1.339,1.395,2.347,2.519
Person_81,1.564,0.171,0.161,315,480,0.656,0.887,0.883,-0.673,-0.682
Person_82,-0.424,0.144,0.15,238,480,0.496,1.077,1.005,0.566,0.083
Person_83,1.126,0.17,0.151,300,480,0.625,0.787,0.761,-1.312,-1.45
Person_84,-0.726,0.14,0.118,223,480,0.465,0.707,0.705,-2.314,-2.09
Person_85,1.681,0.171,0.186,319,480,0.665,1.185,1.235,1.153,1.394
Person_86,1.535,0.171,0.157,314,480,0.654,0.84,0.853,-0.995,-0.877
