,Estimate,SE,2.5%,97.5%,Count,Facility,Infit MS,Infit Z,Outfit MS,Outfit Z,PM corr,Exp PM corr
Item_1,0.62,0.044,0.538,0.713,1000,0.438,0.844,-3.355,0.787,-3.654,0.879,0.862
Item_2,-0.927,0.073,-1.08,-0.8,1000,0.581,0.881,-2.762,0.881,-2.779,0.838,0.822
Item_3,0.684,0.045,0.6,0.776,1000,0.433,0.844,-3.262,0.815,-2.547,0.876,0.86
Item_4,1.394,0.062,1.291,1.535,1000,0.374,0.862,-3.158,0.863,-2.864,0.848,0.83
Item_5,-1.578,0.062,-1.7,-1.45,1000,0.681,0.9,-2.146,0.857,-1.769,0.795,0.776
Item_6,0.439,0.047,0.347,0.525,1000,0.44,0.871,-2.586,0.778,-2.415,0.832,0.813
Item_7,-1.213,0.062,-1.337,-1.105,1000,0.64,0.888,-2.335,0.823,-1.776,0.813,0.794
Item_8,0.246,0.048,0.159,0.345,1000,0.461,0.856,-3.061,0.817,-2.534,0.833,0.814
Item_9,-0.666,0.054,-0.774,-0.57,1000,0.584,0.873,-2.847,0.845,-2.812,0.821,0.796
Item_10,-0.18,0.052,-0.276,-0.082,1000,0.528,0.962,-0.805,0.96,-0.626,0.815,0.81
