,Estimate,CSEM,RSEM,Score,Max score,p,Infit MS,Infit Z,Outfit MS,Outfit Z
Person_1,2.391,0.567,0.364,31,38,0.816,0.41,-1.281,0.469,-0.881
Person_2,-1.393,0.425,0.53,11,38,0.289,1.556,1.226,1.215,0.602
Person_3,-5.015,1.031,0.402,1,38,0.026,0.152,-1.305,0.083,-0.282
Person_4,0.16,0.409,0.495,21,38,0.553,1.463,1.048,1.311,0.784
Person_5,1.805,0.516,0.533,29,38,0.763,1.065,0.294,0.916,0.003
Person_6,-0.608,0.391,0.261,16,38,0.421,0.443,-1.646,0.459,-1.54
Person_7,-0.311,0.394,0.219,18,38,0.474,0.31,-2.181,0.315,-2.141
Person_8,-1.775,0.459,0.375,9,38,0.237,0.668,-0.632,0.612,-0.753
Person_9,1.314,0.478,0.429,27,38,0.711,0.805,-0.278,0.768,-0.377
Person_10,-2.51,0.542,0.574,6,38,0.158,1.122,0.397,1.085,0.341
Person_11,3.538,0.672,0.428,34,38,0.895,0.407,-1.144,0.264,-0.767
Person_12,1.805,0.516,0.533,29,38,0.763,1.065,0.294,0.916,0.003
Person_13,-0.46,0.392,0.38,17,38,0.447,0.942,-0.01,0.964,0.05
Person_14,-0.46,0.392,0.49,17,38,0.447,1.569,1.327,1.932,1.918
Person_15,4.534,0.799,0.523,36,38,0.947,0.428,-0.949,0.27,-0.15
Person_16,1.314,0.478,0.517,27,38,0.711,1.168,0.493,1.176,0.51
Person_17,-1.576,0.44,0.272,10,38,0.263,0.383,-1.632,0.38,-1.626
Person_18,-0.159,0.397,0.308,19,38,0.5,0.601,-0.947,0.584,-1.008
Person_19,1.805,0.516,0.61,29,38,0.763,1.396,0.883,2.351,2.096
Person_20,-2.51,0.542,0.606,6,38,0.158,1.252,0.617,0.968,0.159
Person_21,1.314,0.478,0.442,27,38,0.711,0.853,-0.165,0.739,-0.452
Person_22,-0.756,0.393,0.353,15,38,0.395,0.808,-0.385,0.755,-0.523
Person_23,1.094,0.463,0.4,26,38,0.684,0.745,-0.43,0.749,-0.437
Person_24,-0.46,0.392,0.36,17,38,0.447,0.844,-0.269,0.752,-0.52
Person_25,-3.192,0.638,0.564,4,38,0.105,0.782,-0.21,0.743,-0.072
Person_26,-1.393,0.425,0.359,11,38,0.289,0.714,-0.575,0.635,-0.806
Person_27,1.314,0.478,0.277,27,38,0.711,0.336,-1.754,0.388,-1.559
Person_28,-4.215,0.827,0.684,2,38,0.053,0.682,-0.258,0.642,0.106
Person_29,-2.824,0.584,0.659,5,38,0.132,1.274,0.64,2.177,1.49
Person_30,1.805,0.516,0.451,29,38,0.763,0.764,-0.36,0.937,0.046
Person_31,-1.993,0.481,0.475,8,38,0.211,0.976,0.115,1.089,0.34
Person_32,-0.46,0.392,0.559,17,38,0.447,2.04,2.11,2.092,2.161
Person_33,-5.015,1.031,1.179,1,38,0.026,1.308,0.612,0.561,0.342
Person_34,-0.906,0.397,0.375,14,38,0.368,0.892,-0.145,0.822,-0.326
Person_35,0.506,0.427,0.339,23,38,0.605,0.631,-0.757,0.656,-0.708
Person_36,-0.159,0.397,0.347,19,38,0.5,0.765,-0.453,0.749,-0.5
Person_37,-2.236,0.508,0.42,7,38,0.184,0.682,-0.531,1.079,0.326
Person_38,3.115,0.633,0.207,33,38,0.868,0.107,-2.564,0.122,-1.578
Person_39,-3.192,0.638,0.507,4,38,0.105,0.632,-0.534,0.462,-0.558
Person_40,-1.775,0.459,0.556,9,38,0.237,1.469,1.019,1.361,0.823
Person_41,4.005,0.721,0.605,35,38,0.921,0.703,-0.366,0.372,-0.286
Person_42,-3.192,0.638,0.441,4,38,0.105,0.477,-0.927,0.372,-0.754
Person_43,0.887,0.449,0.614,25,38,0.658,1.868,1.621,1.768,1.511
Person_44,-0.46,0.392,0.442,17,38,0.447,1.273,0.752,1.273,0.745
Person_45,-2.236,0.508,0.379,7,38,0.184,0.556,-0.871,0.476,-0.956
Person_46,1.094,0.463,0.446,26,38,0.684,0.926,-0.001,0.86,-0.159
Person_47,4.005,0.721,0.483,35,38,0.921,0.449,-0.993,0.283,-0.44
Person_48,1.805,0.516,0.511,29,38,0.763,0.979,0.12,1.018,0.206
Person_49,1.805,0.516,0.623,29,38,0.763,1.456,0.979,2.364,2.11
Person_50,-0.906,0.397,0.427,14,38,0.368,1.154,0.5,1.123,0.426
Person_51,1.094,0.463,0.369,26,38,0.684,0.635,-0.728,0.775,-0.369
Person_52,-4.215,0.827,0.731,2,38,0.053,0.78,-0.09,0.338,-0.283
Person_53,0.16,0.409,0.418,21,38,0.553,1.042,0.242,1.316,0.795
Person_54,-5.015,1.031,1.179,1,38,0.026,1.308,0.612,0.561,0.342
Person_55,-1.393,0.425,0.33,11,38,0.289,0.603,-0.907,0.567,-1.022
Person_56,3.115,0.633,0.601,33,38,0.868,0.903,0.016,0.619,-0.269
Person_57,2.733,0.598,0.569,32,38,0.842,0.904,0.005,1.519,0.874
Person_58,0.506,0.427,0.344,23,38,0.605,0.65,-0.701,0.548,-1.039
Person_59,2.391,0.567,0.587,31,38,0.816,1.07,0.306,1.536,0.955
Person_60,-1.061,0.404,0.37,13,38,0.342,0.84,-0.276,0.943,-0.002
Person_61,-1.775,0.459,0.347,9,38,0.237,0.574,-0.903,0.678,-0.575
Person_62,0.692,0.438,0.559,24,38,0.632,1.631,1.283,1.885,1.686
Person_63,4.534,0.799,0.875,36,38,0.947,1.198,0.505,0.538,0.169
Person_64,-1.576,0.44,0.313,10,38,0.263,0.506,-1.173,0.583,-0.908
Person_65,-2.236,0.508,0.555,7,38,0.184,1.192,0.524,1.257,0.605
Person_66,1.55,0.496,0.348,28,38,0.737,0.494,-1.145,0.496,-1.121
Person_67,1.094,0.463,0.456,26,38,0.684,0.97,0.096,0.921,-0.019
Person_68,-1.775,0.459,0.493,9,38,0.237,1.158,0.473,1.088,0.338
Person_69,0.16,0.409,0.359,21,38,0.553,0.77,-0.403,0.704,-0.595
Person_70,-1.775,0.459,0.364,9,38,0.237,0.629,-0.74,0.665,-0.609
Person_71,0.506,0.427,0.233,23,38,0.605,0.298,-1.974,0.277,-2.133
Person_72,-0.906,0.397,0.342,14,38,0.368,0.742,-0.574,0.609,-0.98
Person_73,4.005,0.721,0.466,35,38,0.921,0.418,-1.086,0.264,-0.476
Person_74,2.083,0.54,0.424,30,38,0.789,0.617,-0.711,0.579,-0.714
Person_75,-0.608,0.391,0.384,16,38,0.421,0.961,0.034,1.006,0.15
Person_76,-0.159,0.397,0.422,19,38,0.5,1.127,0.427,1.26,0.703
Person_77,2.083,0.54,0.593,30,38,0.789,1.206,0.55,1.307,0.69
Person_78,-1.393,0.425,0.254,11,38,0.289,0.359,-1.82,0.352,-1.846
Person_79,1.55,0.496,0.507,28,38,0.737,1.045,0.253,1.055,0.273
Person_80,-2.824,0.584,0.477,5,38,0.132,0.668,-0.498,0.777,-0.106
Person_81,3.115,0.633,0.505,33,38,0.868,0.637,-0.54,0.63,-0.252
Person_82,-0.002,0.403,0.28,20,38,0.526,0.483,-1.317,0.397,-1.675
Person_83,1.805,0.516,0.684,29,38,0.763,1.758,1.428,1.892,1.554
Person_84,-1.222,0.413,0.592,12,38,0.316,2.054,2.057,2.576,2.752
Person_85,2.391,0.567,0.593,31,38,0.816,1.092,0.345,0.921,0.074
Person_86,1.805,0.516,0.589,29,38,0.763,1.302,0.725,1.241,0.607
Person_87,-0.608,0.391,0.403,16,38,0.421,1.058,0.276,0.933,-0.032
Person_88,0.329,0.418,0.41,22,38,0.579,0.964,0.075,0.956,0.051
Person_89,4.005,0.721,0.591,35,38,0.921,0.672,-0.434,0.353,-0.316
Person_90,-0.159,0.397,0.201,19,38,0.5,0.256,-2.404,0.259,-2.398
Person_91,-3.192,0.638,0.501,4,38,0.105,0.618,-0.567,0.616,-0.274
Person_92,-0.756,0.393,0.449,15,38,0.395,1.306,0.833,1.135,0.453
Person_93,-1.393,0.425,0.268,11,38,0.289,0.398,-1.648,0.407,-1.606
Person_94,-2.824,0.584,0.32,5,38,0.132,0.3,-1.604,0.27,-1.264
Person_95,0.506,0.427,0.38,23,38,0.605,0.793,-0.321,0.683,-0.631
Person_96,0.329,0.418,0.474,22,38,0.579,1.287,0.724,1.156,0.48
Person_97,-1.222,0.413,0.419,12,38,0.316,1.027,0.206,1.2,0.583
Person_98,1.805,0.516,0.549,29,38,0.763,1.13,0.418,0.939,0.051
Person_99,2.733,0.598,0.597,32,38,0.842,0.995,0.175,0.844,-0.002
Person_100,2.733,0.598,0.315,32,38,0.842,0.277,-1.702,0.358,-1.008
Person_101,-0.608,0.391,0.336,16,38,0.421,0.736,-0.593,0.732,-0.589
Person_102,2.733,0.598,0.525,32,38,0.842,0.768,-0.271,0.768,-0.126
Person_103,2.733,0.598,0.791,32,38,0.842,1.746,1.291,1.302,0.627
Person_104,2.083,0.54,0.406,30,38,0.789,0.566,-0.854,0.548,-0.797
Person_105,1.314,0.478,0.299,27,38,0.711,0.39,-1.535,0.377,-1.603
Person_106,1.805,0.516,0.548,29,38,0.763,1.125,0.408,1.281,0.674
Person_107,0.329,0.418,0.424,22,38,0.579,1.033,0.225,1.117,0.401
Person_108,1.55,0.496,0.368,28,38,0.737,0.551,-0.961,0.547,-0.96
Person_109,1.805,0.516,0.389,29,38,0.763,0.569,-0.885,0.541,-0.91
Person_110,-0.608,0.391,0.416,16,38,0.421,1.13,0.446,1.038,0.229
Person_111,3.115,0.633,0.511,33,38,0.868,0.653,-0.503,0.691,-0.153
Person_112,4.534,0.799,0.541,36,38,0.947,0.458,-0.867,0.294,-0.115
Person_113,-1.061,0.404,0.408,13,38,0.342,1.022,0.189,0.996,0.128
Person_114,-1.775,0.459,0.385,9,38,0.237,0.703,-0.537,0.702,-0.513
Person_115,-0.159,0.397,0.458,19,38,0.5,1.33,0.839,1.001,0.145
Person_116,-2.236,0.508,0.486,7,38,0.184,0.915,-0.001,0.945,0.093
Person_117,2.733,0.598,0.85,32,38,0.842,2.019,1.615,2.164,1.49
Person_118,2.391,0.567,0.408,31,38,0.816,0.517,-0.945,0.499,-0.801
Person_119,-3.64,0.713,0.602,3,38,0.079,0.714,-0.294,0.54,-0.232
Person_120,1.094,0.463,0.251,26,38,0.684,0.295,-1.951,0.318,-1.889
Person_121,0.16,0.409,0.361,21,38,0.553,0.776,-0.386,0.78,-0.388
Person_122,-1.775,0.459,0.53,9,38,0.237,1.335,0.794,1.372,0.841
Person_123,-3.64,0.713,0.563,3,38,0.079,0.625,-0.479,0.389,-0.488
Person_124,0.16,0.409,0.184,21,38,0.553,0.201,-2.596,0.162,-2.916
Person_125,0.887,0.449,0.265,25,38,0.658,0.347,-1.721,0.359,-1.722
Person_126,-1.393,0.425,0.278,11,38,0.289,0.429,-1.524,0.442,-1.469
Person_127,-0.002,0.403,0.319,20,38,0.526,0.627,-0.832,0.697,-0.632
Person_128,-0.906,0.397,0.262,14,38,0.368,0.433,-1.684,0.462,-1.528
Person_129,2.733,0.598,0.539,32,38,0.842,0.81,-0.183,0.788,-0.093
Person_130,2.083,0.54,0.565,30,38,0.789,1.095,0.351,1.023,0.226
Person_131,-0.159,0.397,0.357,19,38,0.5,0.808,-0.335,0.982,0.101
