,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10
Item_1,1.0,-0.08546598200371777,-0.19548860969909695,-0.08324612813133589,-0.15270106649600942,-0.1569495861998075,-0.13221245368655693,-0.14254695737695564,-0.12433386672632145,-0.09620961639606988
Item_2,-0.08546598200371777,1.0,-0.13232458854190915,-0.09273300836322636,-0.11600629162320221,-0.09041474372949325,-0.13812220259865954,-0.10555941428757586,-0.10139145424087934,-0.11500309445336042
Item_3,-0.19548860969909695,-0.13232458854190915,1.0,-0.18997714009627753,-0.11425535209029127,-0.0961053360964732,-0.06198325092999439,-0.1443912881496479,-0.1121233560779235,-0.12232185465200648
Item_4,-0.08324612813133589,-0.09273300836322636,-0.18997714009627753,1.0,-0.09632103770295498,-0.13974526185656963,-0.10403899841415289,-0.05522175327099894,-0.10502889229845312,-0.12857360710416468
Item_5,-0.15270106649600942,-0.11600629162320221,-0.11425535209029127,-0.09632103770295498,1.0,-0.0972775317129314,-0.09527517012129894,-0.004265461685773765,-0.09524602436149192,-0.07794461459137117
Item_6,-0.1569495861998075,-0.09041474372949325,-0.0961053360964732,-0.13974526185656963,-0.0972775317129314,1.0,-0.09176610948531479,-0.13179874406002498,-0.06069814371518301,-0.09634909788562468
Item_7,-0.13221245368655693,-0.13812220259865954,-0.06198325092999439,-0.10403899841415289,-0.09527517012129894,-0.09176610948531479,1.0,-0.09367173577459761,-0.08261121202204366,-0.10824117869202962
Item_8,-0.14254695737695564,-0.10555941428757586,-0.1443912881496479,-0.05522175327099894,-0.004265461685773765,-0.13179874406002498,-0.09367173577459761,1.0,-0.09743739726932284,-0.1490883851404468
Item_9,-0.12433386672632145,-0.10139145424087934,-0.1121233560779235,-0.10502889229845312,-0.09524602436149192,-0.06069814371518301,-0.08261121202204366,-0.09743739726932284,1.0,-0.09429087620162142
Item_10,-0.09620961639606988,-0.11500309445336042,-0.12232185465200648,-0.12857360710416468,-0.07794461459137117,-0.09634909788562468,-0.10824117869202962,-0.1490883851404468,-0.09429087620162142,1.0
