,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10
Person_1,4,4,4,3,3,3,3,2,2,3
Person_2,0,2,3,2,1,0,1,1,0,1
Person_3,0,1,0,0,0,0,0,0,0,0
Person_4,1,4,3,2,3,3,1,1,2,1
Person_5,3,4,4,2,3,3,3,1,3,3
Person_6,1,3,2,2,2,1,2,1,2,0
Person_7,3,3,2,2,2,1,2,1,1,1
Person_8,1,2,0,2,1,0,1,0,2,0
Person_9,2,3,4,3,3,2,3,2,3,2
Person_10,0,2,0,2,1,0,0,1,0,0
Person_11,5,4,4,3,3,3,3,3,3,3
Person_12,3,4,4,2,3,3,3,1,3,3
Person_13,1,2,3,2,3,0,1,2,2,1
Person_14,3,5,1,1,2,0,1,0,2,2
Person_15,5,5,4,4,3,3,3,3,3,3
Person_16,4,3,4,3,2,3,2,1,3,2
Person_17,1,2,0,2,2,0,1,0,1,1
Person_18,3,3,1,1,3,1,2,1,2,2
Person_19,3,4,4,3,3,3,1,3,3,2
Person_20,0,1,0,0,2,0,1,0,2,0
Person_21,2,4,4,2,3,2,3,3,2,2
Person_22,3,2,1,2,2,0,1,0,2,2
Person_23,4,4,3,2,2,2,3,1,2,3
Person_24,1,3,3,2,2,0,3,0,2,1
Person_25,0,1,0,0,1,0,0,0,1,1
Person_26,2,2,0,2,2,0,1,1,1,0
Person_27,3,4,3,2,3,2,3,2,2,3
Person_28,0,1,0,0,0,0,0,0,1,0
Person_29,1,1,0,0,1,1,0,1,0,0
Person_30,4,3,3,3,3,2,2,3,3,3
Person_31,0,1,1,1,1,1,1,0,2,0
Person_32,0,2,3,3,1,2,2,0,1,3
Person_33,0,0,0,0,1,0,0,0,0,0
Person_34,3,2,1,2,1,0,1,1,1,2
Person_35,4,3,3,1,2,2,2,2,2,2
Person_36,2,4,1,2,2,2,1,1,2,2
Person_37,0,2,0,1,1,1,0,1,1,0
Person_38,4,4,4,3,3,3,3,3,3,3
Person_39,0,2,0,0,0,0,1,0,1,0
Person_40,0,2,2,2,2,0,0,1,0,0
Person_41,4,5,5,3,3,3,3,3,3,3
Person_42,0,1,0,1,1,0,1,0,0,0
Person_43,3,3,1,1,3,3,3,3,3,2
Person_44,1,2,2,2,2,3,2,1,2,0
Person_45,0,2,0,1,1,0,1,0,2,0
Person_46,3,3,4,3,3,1,3,1,3,2
Person_47,4,5,4,4,3,3,3,3,3,3
Person_48,4,4,3,3,3,2,3,3,3,1
Person_49,4,3,4,3,1,3,3,3,2,3
Person_50,1,2,3,1,1,2,1,0,2,1
Person_51,3,3,4,2,2,2,2,2,3,3
Person_52,0,2,0,0,0,0,0,0,0,0
Person_53,2,2,2,3,3,2,1,1,3,2
Person_54,0,0,0,0,1,0,0,0,0,0
Person_55,0,2,0,1,2,0,2,1,2,1
Person_56,3,5,4,3,3,3,3,3,3,3
Person_57,5,4,4,3,2,3,3,3,3,2
Person_58,3,3,2,2,3,1,2,3,2,2
Person_59,5,4,4,3,3,3,2,2,3,2
Person_60,0,3,1,2,1,0,2,2,1,1
Person_61,1,2,0,1,1,1,1,1,0,1
Person_62,2,5,3,2,2,2,3,3,1,1
Person_63,5,4,4,5,3,3,3,3,3,3
Person_64,1,2,1,1,1,1,1,0,2,0
Person_65,0,2,0,0,1,0,0,1,1,2
Person_66,3,4,3,2,3,3,3,2,2,3
Person_67,4,3,2,3,3,2,3,1,3,2
Person_68,2,1,0,1,1,0,1,1,2,0
Person_69,4,3,2,1,2,1,3,1,2,2
Person_70,0,3,1,1,1,0,2,0,1,0
Person_71,3,3,2,2,2,2,3,2,2,2
Person_72,1,3,3,1,2,0,1,0,2,1
Person_73,5,4,4,4,3,3,3,3,3,3
Person_74,4,3,3,3,3,3,3,3,3,2
Person_75,1,2,3,1,1,1,1,2,2,2
Person_76,3,2,2,2,1,0,3,1,2,3
Person_77,4,4,5,2,2,2,3,3,3,2
Person_78,1,2,0,1,2,0,1,1,2,1
Person_79,3,3,4,3,3,3,3,3,2,1
Person_80,0,1,0,1,1,0,1,1,0,0
Person_81,4,4,5,3,3,3,3,3,3,2
Person_82,2,3,3,2,2,0,3,1,2,2
Person_83,3,3,4,4,2,3,3,3,3,1
Person_84,1,2,2,0,1,3,1,0,2,0
Person_85,4,4,5,2,3,3,3,2,2,3
Person_86,4,2,3,2,3,3,3,3,3,3
Person_87,0,3,2,2,2,1,3,1,2,0
Person_88,2,3,3,3,3,0,3,2,2,1
Person_89,5,4,5,3,3,3,3,3,3,3
Person_90,2,3,2,2,2,1,3,1,2,1
Person_91,0,1,0,0,1,0,1,0,0,1
