,,Estimate,SE,2.5%,97.5%,Infit MS,Infit Z,Outfit MS,Outfit Z,Discrim,PM corr,Exp PM corr
Item_1,1,-1.9729999999999999,0.134,-2.223,-1.6989999999999998,0.998,-0.015,0.899,-0.81,1.03,0.175,0.169
Item_1,2,-1.262,0.135,-1.521,-1.021,0.876,-2.469,0.828,-2.375,1.373,0.122,0.097
Item_1,3,-0.879,0.128,-1.124,-0.632,0.9,-2.0,0.82,-2.197,1.257,0.132,0.107
Item_1,4,1.0099999999999998,0.125,0.7639999999999999,1.2570000000000001,0.974,-0.521,0.976,-0.321,1.053,0.166,0.161
Item_1,5,3.102,0.171,2.7609999999999997,3.433,0.881,-1.577,0.81,-1.251,1.182,0.175,0.159
Item_2,1,-4.4990000000000006,0.341,-5.375,-3.9280000000000004,0.788,-1.68,0.61,-1.318,1.276,0.107,0.073
Item_2,2,-2.3569999999999998,0.16,-2.691,-2.066,0.944,-0.783,0.817,-1.31,1.11,0.165,0.153
Item_2,3,-0.22799999999999998,0.104,-0.42100000000000004,-0.018999999999999906,0.898,-2.277,0.827,-1.989,1.201,0.278,0.249
Item_2,4,2.258,0.107,2.067,2.4610000000000003,0.95,-1.065,0.968,-0.332,1.079,0.284,0.272
Item_2,5,4.824,0.186,4.514,5.211,0.927,-0.874,1.049,0.304,1.074,0.185,0.184
Item_3,1,-1.464,0.137,-1.745,-1.195,1.003,0.064,0.897,-0.559,1.012,0.155,0.147
Item_3,2,-1.6560000000000001,0.153,-1.9449999999999998,-1.342,0.884,-2.107,0.86,-1.812,1.333,0.105,0.084
Item_3,3,-1.07,0.128,-1.334,-0.799,0.963,-0.741,0.882,-1.349,1.117,0.121,0.107
Item_3,4,1.068,0.118,0.86,1.302,0.913,-1.799,0.865,-1.741,1.203,0.204,0.18
Item_3,5,3.1239999999999997,0.172,2.814,3.4539999999999997,0.981,-0.208,0.858,-0.955,1.058,0.148,0.147
Item_4,1,-3.7439999999999998,0.14,-4.035,-3.479,0.9,-1.769,0.823,-1.731,1.196,0.239,0.217
Item_4,2,-2.6159999999999997,0.105,-2.8259999999999996,-2.405,1.003,0.083,0.914,-0.867,1.015,0.228,0.226
Item_4,3,0.29800000000000004,0.112,0.07800000000000007,0.5270000000000001,0.943,-1.152,0.884,-1.156,1.1,0.259,0.244
Item_4,4,2.401,0.178,2.0860000000000003,2.7429999999999994,0.854,-1.824,0.745,-1.387,1.21,0.149,0.126
Item_4,5,3.6630000000000003,0.276,3.194,4.257,0.771,-2.224,0.622,-1.813,1.486,0.08,0.057
Item_5,1,-1.958,0.161,-2.3019999999999996,-1.672,0.869,-1.771,0.827,-1.227,1.195,0.199,0.173
Item_5,2,-0.020000000000000018,0.111,-0.21899999999999986,0.21199999999999997,0.941,-1.243,0.869,-1.296,1.135,0.233,0.216
Item_5,3,1.979,0.11,1.7590000000000001,2.197,0.962,-0.843,0.872,-1.091,1.07,0.396,0.384
Item_6,1,-0.702,0.118,-0.9119999999999999,-0.446,0.955,-0.867,0.841,-0.99,1.09,0.252,0.234
Item_6,2,-0.33799999999999997,0.125,-0.597,-0.10399999999999998,0.899,-2.075,0.868,-1.664,1.242,0.169,0.146
Item_6,3,1.04,0.111,0.8139999999999998,1.251,0.934,-1.378,0.851,-1.478,1.151,0.243,0.224
Item_7,1,-2.114,0.14,-2.402,-1.859,0.835,-2.493,0.736,-2.099,1.227,0.246,0.21
Item_7,2,0.8960000000000001,0.119,0.6900000000000001,1.147,0.918,-1.647,0.842,-1.749,1.174,0.223,0.199
Item_7,3,1.218,0.113,0.9810000000000001,1.4300000000000002,1.008,0.178,0.902,-0.564,0.998,0.282,0.281
Item_8,1,-1.47,0.102,-1.658,-1.259,0.989,-0.226,0.906,-0.938,1.037,0.289,0.284
Item_8,2,0.475,0.121,0.263,0.721,0.917,-1.693,0.948,-0.501,1.138,0.194,0.176
Item_8,3,0.9970000000000001,0.123,0.766,1.225,0.893,-2.147,0.746,-2.226,1.24,0.244,0.213
Item_9,1,-1.705,0.135,-1.999,-1.447,0.94,-1.086,0.865,-1.335,1.138,0.217,0.202
Item_9,2,-0.584,0.106,-0.791,-0.3969999999999999,0.891,-2.293,0.813,-1.751,1.192,0.265,0.235
Item_9,3,2.289,0.103,2.106,2.487,0.928,-1.5,0.89,-1.144,1.114,0.368,0.349
Item_10,1,-1.45,0.12,-1.6740000000000002,-1.229,0.953,-0.907,0.864,-1.233,1.103,0.267,0.254
Item_10,2,-0.455,0.118,-0.6910000000000001,-0.241,1.087,1.833,1.148,1.498,0.817,0.199,0.224
Item_10,3,1.904,0.104,1.7029999999999998,2.092,0.909,-1.845,0.824,-1.804,1.161,0.344,0.319
