,,Estimate,SE,2.5%,97.5%,Infit MS,Infit Z,Outfit MS,Outfit Z,Discrim,PM corr,Exp PM corr
Item_1,1,-1.353,0.134,-1.603,-1.079,0.998,-0.015,0.899,-0.81,1.03,0.175,0.169
Item_1,2,-0.642,0.135,-0.901,-0.401,0.876,-2.469,0.828,-2.375,1.373,0.122,0.097
Item_1,3,-0.259,0.128,-0.504,-0.012,0.9,-2.0,0.82,-2.197,1.257,0.132,0.107
Item_1,4,1.63,0.125,1.384,1.877,0.974,-0.521,0.976,-0.321,1.053,0.166,0.161
Item_1,5,3.722,0.171,3.381,4.053,0.881,-1.577,0.81,-1.251,1.182,0.175,0.159
Item_2,1,-5.426,0.341,-6.302,-4.855,0.788,-1.68,0.61,-1.318,1.276,0.107,0.073
Item_2,2,-3.284,0.16,-3.618,-2.993,0.944,-0.783,0.817,-1.31,1.11,0.165,0.153
Item_2,3,-1.155,0.104,-1.348,-0.946,0.898,-2.277,0.827,-1.989,1.201,0.278,0.249
Item_2,4,1.331,0.107,1.14,1.534,0.95,-1.065,0.968,-0.332,1.079,0.284,0.272
Item_2,5,3.897,0.186,3.587,4.284,0.927,-0.874,1.049,0.304,1.074,0.185,0.184
Item_3,1,-0.78,0.137,-1.061,-0.511,1.003,0.064,0.897,-0.559,1.012,0.155,0.147
Item_3,2,-0.972,0.153,-1.261,-0.658,0.884,-2.107,0.86,-1.812,1.333,0.105,0.084
Item_3,3,-0.386,0.128,-0.65,-0.115,0.963,-0.741,0.882,-1.349,1.117,0.121,0.107
Item_3,4,1.752,0.118,1.544,1.986,0.913,-1.799,0.865,-1.741,1.203,0.204,0.18
Item_3,5,3.808,0.172,3.498,4.138,0.981,-0.208,0.858,-0.955,1.058,0.148,0.147
Item_4,1,-2.35,0.14,-2.641,-2.085,0.9,-1.769,0.823,-1.731,1.196,0.239,0.217
Item_4,2,-1.222,0.105,-1.432,-1.011,1.003,0.083,0.914,-0.867,1.015,0.228,0.226
Item_4,3,1.692,0.112,1.472,1.921,0.943,-1.152,0.884,-1.156,1.1,0.259,0.244
Item_4,4,3.795,0.178,3.48,4.137,0.854,-1.824,0.745,-1.387,1.21,0.149,0.126
Item_4,5,5.057,0.276,4.588,5.651,0.771,-2.224,0.622,-1.813,1.486,0.08,0.057
Item_5,1,-3.536,0.161,-3.88,-3.25,0.869,-1.771,0.827,-1.227,1.195,0.199,0.173
Item_5,2,-1.598,0.111,-1.797,-1.366,0.941,-1.243,0.869,-1.296,1.135,0.233,0.216
Item_5,3,0.401,0.11,0.181,0.619,0.962,-0.843,0.872,-1.091,1.07,0.396,0.384
Item_6,1,-0.263,0.118,-0.473,-0.007,0.955,-0.867,0.841,-0.99,1.09,0.252,0.234
Item_6,2,0.101,0.125,-0.158,0.335,0.899,-2.075,0.868,-1.664,1.242,0.169,0.146
Item_6,3,1.479,0.111,1.253,1.69,0.934,-1.378,0.851,-1.478,1.151,0.243,0.224
Item_7,1,-3.327,0.14,-3.615,-3.072,0.835,-2.493,0.736,-2.099,1.227,0.246,0.21
Item_7,2,-0.317,0.119,-0.523,-0.066,0.918,-1.647,0.842,-1.749,1.174,0.223,0.199
Item_7,3,0.005,0.113,-0.232,0.217,1.008,0.178,0.902,-0.564,0.998,0.282,0.281
Item_8,1,-1.224,0.102,-1.412,-1.013,0.989,-0.226,0.906,-0.938,1.037,0.289,0.284
Item_8,2,0.721,0.121,0.509,0.967,0.917,-1.693,0.948,-0.501,1.138,0.194,0.176
Item_8,3,1.243,0.123,1.012,1.471,0.893,-2.147,0.746,-2.226,1.24,0.244,0.213
Item_9,1,-2.371,0.135,-2.665,-2.113,0.94,-1.086,0.865,-1.335,1.138,0.217,0.202
Item_9,2,-1.25,0.106,-1.457,-1.063,0.891,-2.293,0.813,-1.751,1.192,0.265,0.235
Item_9,3,1.623,0.103,1.44,1.821,0.928,-1.5,0.89,-1.144,1.114,0.368,0.349
Item_10,1,-1.63,0.12,-1.854,-1.409,0.953,-0.907,0.864,-1.233,1.103,0.267,0.254
Item_10,2,-0.635,0.118,-0.871,-0.421,1.087,1.833,1.148,1.498,0.817,0.199,0.224
Item_10,3,1.724,0.104,1.523,1.912,0.909,-1.845,0.824,-1.804,1.161,0.344,0.319
