,Estimate,SE,2.5%,97.5%,Count,Facility,Infit MS,Infit Z,Outfit MS,Outfit Z,PM corr,Exp PM corr
Item_1,1.426,0.088,1.264,1.611,500,0.399,0.822,-3.002,0.825,-2.946,0.723,0.707
Item_2,0.697,0.08,0.553,0.843,500,0.453,0.914,-1.396,0.917,-1.33,0.718,0.709
Item_3,-0.683,0.081,-0.839,-0.531,500,0.556,0.954,-0.734,0.948,-0.835,0.703,0.699
Item_4,1.372,0.077,1.236,1.533,500,0.404,0.787,-3.636,0.786,-3.67,0.757,0.707
Item_5,0.474,0.08,0.311,0.627,500,0.464,0.94,-0.965,0.943,-0.9,0.718,0.708
Item_6,0.49,0.081,0.314,0.648,500,0.462,1.035,0.572,1.021,0.359,0.703,0.708
Item_7,-1.634,0.088,-1.809,-1.479,500,0.628,0.871,-2.163,0.86,-2.298,0.714,0.683
Item_8,-1.342,0.088,-1.516,-1.175,500,0.607,0.895,-1.745,0.879,-1.988,0.723,0.689
Item_9,0.222,0.077,0.069,0.37,500,0.488,0.926,-1.204,0.918,-1.32,0.74,0.708
Item_10,-1.553,0.086,-1.724,-1.395,500,0.62,0.846,-2.608,0.856,-2.376,0.729,0.685
Item_11,-0.121,0.072,-0.247,0.024,500,0.515,0.938,-1.008,0.925,-1.204,0.706,0.705
Item_12,0.653,0.075,0.496,0.806,500,0.453,0.812,-3.196,0.807,-3.257,0.744,0.709
