,Estimate,CSEM,RSEM,Score,Max score,p,Infit MS,Infit Z,Outfit MS,Outfit Z
Person_1,0.028,0.456,0.425,31,60,0.517,0.867,-0.219,0.862,-0.233
Person_2,0.44,0.455,0.377,33,60,0.55,0.685,-0.791,0.667,-0.852
Person_3,0.645,0.456,0.448,34,60,0.567,0.963,0.03,0.947,-0.015
Person_4,0.234,0.455,0.449,32,60,0.533,0.973,0.06,0.977,0.071
Person_5,3.895,0.581,0.707,47,60,0.783,1.479,1.051,1.271,0.679
Person_6,-1.67,0.467,0.338,23,60,0.383,0.523,-1.325,0.525,-1.321
Person_7,-1.024,0.462,0.388,26,60,0.433,0.705,-0.671,0.704,-0.672
Person_8,-1.888,0.47,0.483,22,60,0.367,1.057,0.273,1.068,0.3
Person_9,2.427,0.505,0.465,42,60,0.7,0.851,-0.244,1.062,0.284
Person_10,0.028,0.456,0.618,31,60,0.517,1.84,1.84,1.817,1.796
Person_11,-2.56,0.479,0.53,19,60,0.317,1.225,0.649,1.229,0.659
Person_12,-0.599,0.459,0.426,28,60,0.467,0.861,-0.221,0.869,-0.196
Person_13,1.062,0.461,0.48,36,60,0.6,1.081,0.334,1.062,0.285
Person_14,1.942,0.485,0.449,40,60,0.667,0.856,-0.242,0.785,-0.415
Person_15,0.645,0.456,0.469,34,60,0.567,1.057,0.274,1.084,0.34
Person_16,-3.267,0.49,0.473,16,60,0.267,0.933,-0.023,0.919,-0.058
Person_17,-0.811,0.461,0.215,27,60,0.45,0.217,-2.783,0.22,-2.752
Person_18,-0.18,0.457,0.225,30,60,0.5,0.243,-2.673,0.242,-2.675
Person_19,-0.811,0.461,0.516,27,60,0.45,1.254,0.711,1.292,0.788
Person_20,1.062,0.461,0.305,36,60,0.6,0.438,-1.745,0.461,-1.655
Person_21,-0.388,0.458,0.31,29,60,0.483,0.459,-1.554,0.449,-1.59
Person_22,2.427,0.505,0.388,42,60,0.7,0.592,-1.027,0.58,-0.972
Person_23,-1.238,0.464,0.454,25,60,0.417,0.96,0.034,0.992,0.116
Person_24,1.713,0.477,0.421,39,60,0.65,0.781,-0.465,0.799,-0.398
Person_25,0.234,0.455,0.341,32,60,0.533,0.562,-1.212,0.556,-1.233
Person_26,-1.024,0.462,0.278,26,60,0.433,0.362,-1.972,0.353,-2.013
Person_27,-2.109,0.472,0.542,21,60,0.35,1.314,0.849,1.298,0.815
Person_28,-2.333,0.476,0.379,20,60,0.333,0.637,-0.903,0.643,-0.882
Person_29,0.234,0.455,0.388,32,60,0.533,0.727,-0.644,0.737,-0.611
Person_30,1.274,0.465,0.39,37,60,0.617,0.704,-0.723,0.704,-0.724
Person_31,-0.599,0.459,0.541,28,60,0.467,1.385,0.977,1.392,0.989
Person_32,1.713,0.477,0.312,39,60,0.65,0.427,-1.728,0.409,-1.768
Person_33,0.234,0.455,0.388,32,60,0.533,0.727,-0.644,0.737,-0.611
Person_34,0.645,0.456,0.505,34,60,0.567,1.227,0.678,1.263,0.762
Person_35,-1.888,0.47,0.376,22,60,0.367,0.642,-0.9,0.635,-0.925
Person_36,-1.888,0.47,0.396,22,60,0.367,0.71,-0.678,0.72,-0.647
Person_37,0.028,0.456,0.552,31,60,0.517,1.469,1.168,1.446,1.121
Person_38,-1.024,0.462,0.363,26,60,0.433,0.616,-0.958,0.623,-0.933
Person_39,0.028,0.456,0.426,31,60,0.517,0.873,-0.204,0.865,-0.224
Person_40,1.942,0.485,0.29,40,60,0.667,0.358,-2.028,0.351,-1.972
Person_41,-1.67,0.467,0.318,23,60,0.383,0.462,-1.57,0.461,-1.576
Person_42,2.179,0.494,0.361,41,60,0.683,0.533,-1.256,0.51,-1.253
Person_43,-1.238,0.464,0.5,25,60,0.417,1.162,0.515,1.147,0.482
Person_44,4.62,0.606,0.357,49,60,0.817,0.348,-1.754,0.306,-1.816
Person_45,-2.109,0.472,0.357,21,60,0.35,0.572,-1.14,0.582,-1.108
Person_46,-0.388,0.458,0.582,29,60,0.483,1.612,1.409,1.652,1.477
Person_47,1.942,0.485,0.461,40,60,0.667,0.904,-0.113,0.934,-0.022
