,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12
Item_1,1.0,-0.10120778580032623,-0.0016677553247505456,-0.17318190374035133,-0.07904929526616429,-0.10089013871017614,-0.07263767350254005,-0.13158392796626406,-0.13704612210683786,-0.03600199302963904,-0.07406777463698624,-0.05071694039511764
Item_2,-0.10120778580032623,1.0,-0.16909598121048514,0.018221025550753445,-0.12833737227380837,-0.06752999269377628,-0.07381610599484754,-0.10208994485958635,-0.1012807811605735,-0.08867960755106749,-0.06439759517581738,-0.13349920226369136
Item_3,-0.0016677553247505456,-0.16909598121048514,1.0,-0.1495641128261053,-0.10839487501429111,-0.10465963355129852,-0.00514214359083238,-0.13908575503124168,-0.032059077554482,-0.108055997896423,-0.14449914878677472,-0.07562925743924598
Item_4,-0.17318190374035133,0.018221025550753445,-0.1495641128261053,1.0,-0.0516042859347069,-0.11517260995401084,-0.13911178308390656,-0.007054467656878587,-0.07189967503297506,-0.08692923695667844,-0.06796401806679842,-0.08773237325548244
Item_5,-0.07904929526616429,-0.12833737227380837,-0.10839487501429111,-0.0516042859347069,1.0,-0.08247815773091088,-0.12326771505352414,-0.09483078442072296,-0.0647077091690837,-0.12657847981628417,-0.10308959681798807,-0.07131324196381064
Item_6,-0.10089013871017614,-0.06752999269377628,-0.10465963355129852,-0.11517260995401084,-0.08247815773091088,1.0,-0.15273459452397964,-0.10554230333334406,-0.17076068215284387,-0.09455910821247258,-0.049002080209699095,-0.04947594437534815
Item_7,-0.07263767350254005,-0.07381610599484754,-0.00514214359083238,-0.13911178308390656,-0.12326771505352414,-0.15273459452397964,1.0,-0.04292402239176639,-0.02872796215962955,-0.04702574399582416,-0.18703921863466072,-0.08516919117852588
Item_8,-0.13158392796626406,-0.10208994485958635,-0.13908575503124168,-0.007054467656878587,-0.09483078442072296,-0.10554230333334406,-0.04292402239176639,1.0,-0.08226865613988131,-0.11450030689903286,-0.0828248489877275,-0.07817935560360846
Item_9,-0.13704612210683786,-0.1012807811605735,-0.032059077554482,-0.07189967503297506,-0.0647077091690837,-0.17076068215284387,-0.02872796215962955,-0.08226865613988131,1.0,-0.11951874569616103,-0.10207744386794415,-0.1138833468730123
Item_10,-0.03600199302963904,-0.08867960755106749,-0.108055997896423,-0.08692923695667844,-0.12657847981628417,-0.09455910821247258,-0.04702574399582416,-0.11450030689903286,-0.11951874569616103,1.0,-0.0411320712632158,-0.08161081951681594
Item_11,-0.07406777463698624,-0.06439759517581738,-0.14449914878677472,-0.06796401806679842,-0.10308959681798807,-0.049002080209699095,-0.18703921863466072,-0.0828248489877275,-0.10207744386794415,-0.0411320712632158,1.0,-0.12715431475664832
Item_12,-0.05071694039511764,-0.13349920226369136,-0.07562925743924598,-0.08773237325548244,-0.07131324196381064,-0.04947594437534815,-0.08516919117852588,-0.07817935560360846,-0.1138833468730123,-0.08161081951681594,-0.12715431475664832,1.0
