,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12
Person_1,2,2,3,2,3,2,4,4,3,2,2,2
Person_2,2,2,3,2,3,2,3,3,4,3,3,3
Person_3,2,2,3,3,2,4,3,3,2,4,3,3
Person_4,2,3,3,3,2,3,3,3,2,4,3,1
Person_5,5,3,4,3,4,4,4,4,4,5,4,3
Person_6,2,2,2,2,1,2,2,2,2,2,2,2
Person_7,2,2,3,1,2,1,2,3,2,3,3,2
Person_8,2,1,3,1,2,1,2,2,1,2,3,2
Person_9,3,3,4,3,3,4,4,3,4,3,4,4
Person_10,2,3,1,3,2,2,3,3,3,3,2,4
Person_11,2,1,2,1,1,2,2,2,0,3,1,2
Person_12,2,2,3,1,3,1,4,3,2,3,2,2
Person_13,3,4,4,2,2,3,4,3,2,3,3,3
Person_14,3,3,3,3,4,2,4,4,3,4,3,4
Person_15,3,3,4,2,2,2,4,2,3,3,3,3
Person_16,1,2,1,1,1,2,2,1,1,1,2,1
Person_17,2,2,3,1,2,2,3,3,2,3,2,2
Person_18,2,2,3,2,2,3,3,3,2,3,3,2
Person_19,3,3,3,2,1,2,3,2,2,3,2,1
Person_20,3,2,3,2,3,3,3,4,3,4,3,3
Person_21,2,2,3,2,2,3,3,2,2,3,3,2
Person_22,3,4,3,3,4,3,4,4,4,4,3,3
Person_23,1,2,2,3,1,1,3,3,2,3,2,2
Person_24,3,3,3,2,4,4,4,4,3,3,3,3
Person_25,2,3,3,2,2,3,4,3,2,3,2,3
Person_26,2,2,3,1,2,2,3,3,2,2,2,2
Person_27,1,1,3,2,1,1,3,1,2,3,1,2
Person_28,1,1,2,2,2,1,2,3,1,2,2,1
Person_29,1,2,3,2,3,3,3,4,2,3,3,3
Person_30,2,2,3,3,3,4,4,4,3,3,3,3
Person_31,1,2,3,2,2,4,2,2,2,3,3,2
Person_32,3,3,4,3,3,2,4,4,3,4,3,3
Person_33,1,2,3,2,3,3,3,4,2,3,3,3
Person_34,2,3,3,3,2,4,3,3,3,2,3,3
Person_35,1,2,2,1,1,2,3,3,1,3,2,1
Person_36,2,1,2,2,1,2,2,2,1,3,2,2
Person_37,2,1,2,2,3,2,4,4,4,3,2,2
Person_38,2,2,2,2,2,1,3,2,3,3,2,2
Person_39,2,2,3,2,3,1,3,3,3,4,2,3
Person_40,3,3,3,3,3,4,4,4,3,4,3,3
Person_41,1,2,2,2,2,1,2,2,2,3,2,2
Person_42,3,3,3,3,3,4,4,4,3,4,3,4
Person_43,1,2,2,2,2,1,4,3,3,2,2,1
Person_44,4,4,4,4,4,4,4,5,4,4,4,4
Person_45,1,2,2,2,2,2,2,2,2,2,1,1
Person_46,3,4,2,1,2,2,3,3,2,2,3,2
Person_47,2,3,3,3,4,4,4,4,4,3,3,3
Person_48,1,2,2,2,1,2,3,2,3,3,2,3
Person_49,2,2,4,2,2,3,4,3,2,4,2,2
Person_50,2,2,3,1,2,1,3,3,1,3,1,2
Person_51,2,3,4,3,2,2,3,3,3,4,3,2
Person_52,2,1,2,1,0,2,2,2,2,3,2,2
Person_53,3,2,4,2,2,2,4,3,3,4,2,2
Person_54,1,1,3,1,2,2,3,2,2,2,2,1
Person_55,1,2,3,2,2,2,3,2,3,3,3,3
Person_56,3,4,3,3,3,3,5,4,3,4,4,4
Person_57,2,0,2,1,2,2,2,2,2,2,2,2
Person_58,3,3,3,2,3,2,3,4,2,3,2,3
Person_59,2,4,2,3,2,3,4,3,4,4,2,2
Person_60,1,2,3,1,2,3,3,3,2,2,1,2
Person_61,2,3,2,1,3,2,2,3,3,2,2,1
Person_62,2,1,2,2,2,1,3,3,2,4,3,2
Person_63,0,2,2,2,2,2,4,3,3,3,1,1
Person_64,2,2,3,2,1,2,3,3,3,3,4,2
Person_65,1,2,1,2,2,3,3,3,2,3,3,1
Person_66,2,4,3,2,2,3,3,4,2,2,4,2
Person_67,2,3,3,2,1,2,4,3,3,4,3,1
Person_68,3,1,3,1,1,1,3,2,2,3,3,2
Person_69,2,2,3,3,2,1,3,3,3,3,3,2
Person_70,2,2,3,3,3,2,4,2,2,4,3,2
Person_71,2,3,2,2,3,2,2,1,3,3,3,1
Person_72,2,3,4,3,3,2,4,3,4,4,2,2
Person_73,1,2,2,1,2,1,2,3,3,2,2,2
Person_74,3,4,4,4,3,4,4,3,4,4,4,3
Person_75,1,2,1,1,1,1,2,2,2,2,2,1
Person_76,2,2,3,1,2,2,3,2,2,3,2,3
Person_77,2,2,2,0,2,2,2,2,1,1,2,2
Person_78,2,3,3,1,1,2,3,4,2,4,3,3
Person_79,2,2,3,2,2,3,3,4,3,3,3,2
Person_80,1,1,2,1,1,2,2,2,1,1,1,0
Person_81,3,4,3,4,3,3,3,4,4,4,3,3
Person_82,2,2,2,2,1,2,2,2,3,3,2,3
Person_83,2,2,3,1,1,3,4,3,3,3,2,1
Person_84,2,4,3,2,2,3,4,3,3,4,4,2
Person_85,1,3,3,2,2,2,3,4,2,3,2,1
Person_86,2,2,1,2,2,2,3,2,1,4,2,2
Person_87,2,2,3,2,2,1,4,2,3,3,2,3
Person_88,3,3,2,3,3,2,4,3,3,4,3,2
Person_89,3,3,3,2,3,2,4,4,4,4,3,3
Person_90,3,2,3,1,3,3,4,3,2,4,3,3
Person_91,3,2,4,3,4,2,3,4,2,3,4,3
Person_92,0,0,2,0,1,0,2,1,0,2,0,0
Person_93,2,2,3,2,2,2,4,3,2,3,3,2
Person_94,2,2,3,1,2,2,3,3,2,4,4,2
Person_95,1,2,3,2,2,1,4,2,2,3,3,2
Person_96,2,2,2,2,2,2,2,3,2,4,2,1
Person_97,1,2,2,1,1,2,2,2,0,2,1,1
Person_98,1,2,1,1,1,2,3,3,2,2,3,2
Person_99,2,2,3,3,4,2,3,4,3,3,2,3
Person_100,1,3,3,2,2,1,4,4,3,4,2,1
Person_101,1,3,3,2,3,2,2,3,3,4,3,3
Person_102,2,3,2,2,3,2,4,3,2,3,4,2
Person_103,2,2,4,2,3,2,4,3,2,3,3,1
Person_104,2,1,2,2,0,1,1,3,1,3,2,1
Person_105,1,1,2,1,1,1,2,1,1,1,1,1
Person_106,2,2,2,2,2,2,3,3,2,4,2,2
Person_107,3,1,4,1,2,2,4,4,3,4,4,2
Person_108,3,3,4,2,3,3,3,4,2,3,3,1
Person_109,3,2,3,2,2,2,3,4,2,4,3,2
Person_110,4,3,4,4,3,4,4,4,4,4,4,4
Person_111,2,2,3,2,3,3,3,3,2,3,3,2
Person_112,1,3,3,2,3,1,3,2,2,2,2,2
Person_113,2,2,2,1,3,2,4,3,2,4,3,2
Person_114,2,3,3,2,2,2,3,2,2,3,2,2
Person_115,3,3,3,3,2,3,4,4,3,4,3,3
Person_116,2,1,3,2,2,1,2,2,3,2,3,2
Person_117,3,3,2,2,3,3,4,4,2,4,3,3
Person_118,2,3,3,2,2,1,3,3,2,2,2,2
Person_119,2,3,3,2,2,3,4,4,4,3,2,2
Person_120,1,2,1,2,3,2,3,3,2,3,3,1
Person_121,3,2,3,2,2,2,3,3,1,2,2,2
Person_122,4,3,4,3,3,4,4,4,4,4,4,3
Person_123,2,1,3,2,3,3,2,4,2,3,3,3
Person_124,1,3,3,3,2,2,3,4,3,4,2,3
Person_125,2,3,4,2,3,3,3,2,3,4,3,3
Person_126,2,2,3,3,4,2,3,4,3,3,2,2
Person_127,2,2,3,2,3,3,3,4,4,3,3,1
Person_128,2,2,2,2,2,2,4,2,3,4,2,2
Person_129,3,3,4,2,4,4,4,4,4,4,4,3
Person_130,2,2,3,1,2,3,2,3,2,3,2,2
Person_131,3,2,2,2,2,4,4,4,2,3,3,2
Person_132,3,3,3,2,3,3,4,3,3,3,3,3
Person_133,3,2,3,1,2,2,4,3,2,2,2,1
Person_134,1,2,2,2,1,1,3,4,3,3,2,3
Person_135,3,4,4,4,4,3,4,5,4,4,4,4
Person_136,1,2,3,0,2,2,3,2,2,3,1,2
