,Estimate,SE,2.5%,97.5%,Count,Facility,Infit MS,Infit Z,Outfit MS,Outfit Z,Discrim,PM corr,Exp PM corr
Item_1,0.394,0.095,0.198,0.571,591,0.43,1.048,1.078,1.049,0.665,0.908,0.491,0.52
Item_2,-1.007,0.109,-1.221,-0.809,608,0.668,0.954,-0.955,0.993,-0.049,1.054,0.514,0.499
Item_3,0.839,0.105,0.623,1.049,587,0.358,0.957,-0.925,0.992,-0.065,1.065,0.519,0.498
Item_4,1.226,0.112,1.034,1.47,618,0.293,1.033,0.649,0.999,0.031,0.965,0.475,0.495
Item_5,-1.602,0.121,-1.857,-1.377,602,0.769,0.958,-0.702,1.089,0.685,1.022,0.454,0.467
Item_6,0.576,0.096,0.393,0.759,601,0.398,0.947,-1.195,0.939,-0.754,1.091,0.542,0.514
Item_7,-0.997,0.105,-1.204,-0.794,595,0.677,0.941,-1.212,0.895,-1.096,1.103,0.531,0.492
Item_8,0.242,0.1,0.035,0.442,606,0.457,1.042,0.984,1.113,1.547,0.895,0.493,0.525
Item_9,-0.621,0.1,-0.806,-0.419,598,0.617,0.983,-0.355,0.959,-0.479,1.035,0.523,0.515
Item_10,-0.195,0.098,-0.38,-0.017,599,0.546,0.983,-0.396,1.046,0.648,1.011,0.522,0.519
Item_11,-0.948,0.101,-1.155,-0.757,595,0.655,0.917,-1.744,0.871,-1.352,1.142,0.562,0.512
Item_12,-1.609,0.115,-1.837,-1.395,611,0.768,0.953,-0.799,0.829,-1.337,1.073,0.484,0.458
Item_13,0.269,0.098,0.066,0.462,571,0.464,0.932,-1.575,0.882,-1.698,1.148,0.563,0.518
Item_14,0.742,0.101,0.565,0.94,585,0.378,0.9,-2.223,0.824,-2.043,1.19,0.575,0.513
Item_15,0.944,0.095,0.762,1.131,604,0.356,0.931,-1.48,0.866,-1.492,1.128,0.556,0.508
Item_16,0.72,0.095,0.548,0.916,599,0.392,0.95,-1.152,0.93,-0.861,1.099,0.527,0.496
Item_17,1.215,0.113,1.011,1.442,609,0.299,0.977,-0.441,0.933,-0.606,1.043,0.506,0.494
Item_18,0.816,0.106,0.606,1.023,567,0.346,0.982,-0.37,0.927,-0.759,1.044,0.51,0.499
Item_19,-1.495,0.114,-1.722,-1.284,631,0.742,0.964,-0.651,0.836,-1.341,1.066,0.504,0.481
Item_20,-1.488,0.113,-1.702,-1.262,604,0.747,0.947,-0.937,0.924,-0.578,1.063,0.496,0.47
Item_21,0.518,0.098,0.315,0.712,608,0.411,1.015,0.36,1.082,1.06,0.949,0.502,0.519
Item_22,0.705,0.102,0.51,0.915,591,0.377,0.96,-0.846,0.895,-1.263,1.087,0.544,0.516
Item_23,-0.297,0.099,-0.494,-0.107,568,0.567,0.967,-0.756,0.933,-0.889,1.071,0.539,0.517
Item_24,1.558,0.113,1.351,1.794,589,0.248,0.991,-0.146,1.004,0.073,1.013,0.47,0.47
Item_25,0.47,0.099,0.276,0.659,623,0.432,0.971,-0.683,0.941,-0.801,1.062,0.531,0.512
Item_26,-0.199,0.104,-0.416,0.0,597,0.549,0.956,-1.027,0.984,-0.202,1.08,0.546,0.523
Item_27,0.567,0.1,0.373,0.767,618,0.408,0.987,-0.271,0.968,-0.386,1.024,0.531,0.527
Item_28,0.408,0.1,0.199,0.609,576,0.434,1.028,0.64,0.991,-0.086,0.957,0.508,0.522
Item_29,-0.742,0.098,-0.96,-0.574,614,0.64,0.911,-2.014,0.915,-0.954,1.151,0.556,0.508
Item_30,-0.357,0.101,-0.544,-0.16,590,0.558,0.948,-1.189,0.884,-1.572,1.118,0.561,0.524
Item_31,1.428,0.112,1.233,1.651,607,0.262,0.951,-0.907,1.094,0.802,1.044,0.488,0.474
Item_32,-1.366,0.113,-1.591,-1.151,621,0.729,0.894,-1.98,0.828,-1.469,1.144,0.55,0.485
Item_33,0.706,0.103,0.519,0.902,615,0.376,0.952,-1.054,0.923,-0.89,1.084,0.546,0.517
Item_34,-0.89,0.101,-1.096,-0.712,628,0.653,0.894,-2.372,0.849,-1.733,1.184,0.563,0.495
Item_35,-0.442,0.091,-0.618,-0.251,638,0.583,1.014,0.338,0.971,-0.378,0.986,0.509,0.514
Item_36,1.345,0.109,1.122,1.562,617,0.269,0.981,-0.336,0.972,-0.209,1.028,0.481,0.473
Item_37,-0.364,0.096,-0.547,-0.188,610,0.572,0.969,-0.705,0.874,-1.723,1.089,0.555,0.528
Item_38,0.642,0.102,0.455,0.843,578,0.408,0.924,-1.731,0.9,-1.29,1.145,0.556,0.506
Item_39,-0.232,0.1,-0.436,-0.035,623,0.554,1.017,0.434,0.992,-0.089,0.972,0.511,0.519
Item_40,-1.11,0.107,-1.32,-0.893,614,0.7,0.974,-0.497,0.896,-1.017,1.056,0.515,0.499
Item_41,-0.04,0.093,-0.229,0.144,626,0.521,0.98,-0.472,0.902,-1.449,1.068,0.54,0.52
Item_42,-0.114,0.1,-0.294,0.084,612,0.52,1.011,0.281,0.99,-0.129,0.99,0.515,0.518
Item_43,-0.543,0.1,-0.743,-0.35,591,0.607,0.962,-0.85,0.95,-0.594,1.069,0.54,0.518
Item_44,-1.085,0.11,-1.312,-0.887,617,0.686,1.001,0.033,1.063,0.657,0.986,0.477,0.489
Item_45,-1.251,0.112,-1.479,-1.048,604,0.709,0.948,-1.024,0.933,-0.587,1.075,0.508,0.481
Item_46,0.962,0.107,0.759,1.177,568,0.322,0.952,-0.952,0.861,-1.41,1.098,0.533,0.497
Item_47,0.556,0.108,0.344,0.77,599,0.401,1.05,1.14,1.096,1.18,0.885,0.473,0.513
Item_48,-0.521,0.096,-0.712,-0.342,622,0.606,1.016,0.389,1.01,0.159,0.971,0.5,0.512
Item_49,1.052,0.101,0.844,1.245,622,0.315,1.003,0.073,1.081,0.82,0.974,0.474,0.492
Item_50,0.615,0.095,0.419,0.791,605,0.4,0.953,-1.066,0.941,-0.713,1.095,0.544,0.514
