,Estimate,CSEM,RSEM,Score,Max score,p,Infit MS,Infit Z,Outfit MS,Outfit Z
Person_1,0.981,0.4,0.378,24,34,0.706,0.891,-0.617,0.766,-0.844
Person_2,-0.691,0.424,0.432,10,29,0.345,1.037,0.26,0.978,-0.012
Person_3,-3.101,0.855,0.651,1,27,0.037,0.58,-0.489,0.221,-0.773
Person_4,-0.553,0.424,0.383,11,28,0.393,0.814,-1.061,0.776,-1.07
Person_5,0.596,0.412,0.443,18,29,0.621,1.157,1.037,1.307,1.356
Person_6,-0.963,0.432,0.445,9,30,0.3,1.063,0.379,1.381,1.282
Person_7,-0.486,0.379,0.372,14,34,0.412,0.965,-0.195,0.912,-0.438
Person_8,-0.828,0.415,0.416,10,30,0.333,1.001,0.066,1.13,0.623
Person_9,0.294,0.421,0.494,16,28,0.571,1.378,2.071,1.467,1.997
Person_10,-2.183,0.538,0.493,4,34,0.118,0.839,-0.367,0.765,-0.242
Person_11,2.395,0.525,0.48,34,38,0.895,0.835,-0.358,0.548,-0.731
Person_12,0.652,0.386,0.34,22,34,0.647,0.779,-1.55,0.681,-1.588
Person_13,-0.229,0.398,0.443,13,30,0.433,1.241,1.583,1.329,1.764
Person_14,-0.264,0.438,0.415,11,25,0.44,0.901,-0.574,0.859,-0.687
Person_15,2.66,0.686,0.663,30,32,0.938,0.936,0.052,0.891,0.143
Person_16,0.549,0.387,0.452,20,33,0.606,1.36,2.297,1.446,1.955
Person_17,-0.675,0.418,0.477,10,30,0.333,1.3,1.59,1.543,2.003
Person_18,0.522,0.398,0.401,17,30,0.567,1.013,0.136,1.023,0.182
Person_19,1.15,0.442,0.444,20,28,0.714,1.009,0.109,1.041,0.235
Person_20,-1.119,0.45,0.482,8,29,0.276,1.15,0.734,1.238,0.811
Person_21,1.125,0.415,0.41,23,32,0.719,0.978,-0.071,1.023,0.176
Person_22,-0.292,0.393,0.338,13,31,0.419,0.739,-1.905,0.716,-1.722
Person_23,1.354,0.454,0.402,21,28,0.75,0.785,-1.033,0.666,-1.049
Person_24,0.11,0.436,0.463,13,25,0.52,1.127,0.829,1.22,1.126
Person_25,-3.117,0.845,0.715,1,27,0.037,0.715,-0.223,0.546,-0.148
Person_26,-0.734,0.397,0.424,11,33,0.333,1.145,0.876,1.146,0.704
Person_27,0.992,0.433,0.406,21,30,0.7,0.881,-0.62,0.718,-0.873
Person_28,-2.928,0.68,0.655,2,34,0.059,0.927,0.039,2.571,1.611
Person_29,-1.819,0.469,0.464,6,34,0.176,0.978,0.001,1.035,0.226
Person_30,1.012,0.395,0.45,26,36,0.722,1.298,1.598,1.398,1.384
Person_31,-0.327,0.379,0.397,14,34,0.412,1.097,0.67,1.118,0.715
Person_32,0.69,0.379,0.393,21,34,0.618,1.078,0.61,1.038,0.25
Person_33,-1.236,0.418,0.438,9,34,0.265,1.102,0.568,1.051,0.267
Person_34,-0.218,0.404,0.435,13,30,0.433,1.162,1.013,1.202,1.08
Person_35,0.51,0.381,0.379,19,33,0.576,0.989,-0.037,0.927,-0.332
Person_36,0.253,0.413,0.435,16,28,0.571,1.11,0.754,1.043,0.286
Person_37,-1.666,0.512,0.502,5,28,0.179,0.961,-0.037,1.092,0.349
Person_38,2.45,0.593,0.58,26,29,0.897,0.957,0.035,0.992,0.191
Person_39,-1.355,0.466,0.497,7,27,0.259,1.138,0.69,1.177,0.59
Person_40,-1.267,0.427,0.433,8,34,0.235,1.027,0.196,0.983,0.051
Person_41,1.891,0.494,0.45,27,32,0.844,0.83,-0.513,0.6,-0.763
Person_42,-2.766,0.689,0.639,2,30,0.067,0.861,-0.102,2.706,1.733
Person_43,0.98,0.409,0.439,21,31,0.677,1.15,0.95,1.205,0.834
