,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31,Item_32,Item_33,Item_34,Item_35,Item_36,Item_37,Item_38,Item_39,Item_40,Item_41,Item_42,Item_43,Item_44,Item_45,Item_46,Item_47,Item_48,Item_49,Item_50
Person_1,,1.0,0.0,,1.0,,,,1.0,,,1.0,1.0,0.0,,0.0,1.0,0.0,,1.0,1.0,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,,,0.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,,1.0
Person_2,0.0,1.0,0.0,,1.0,,,,1.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,,,1.0,1.0,,1.0,,1.0,,,,0.0,,0.0,,0.0,0.0,0.0,,1.0,,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,
Person_3,,0.0,0.0,,1.0,0.0,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0
Person_4,0.0,1.0,0.0,,1.0,,,,,,,0.0,1.0,,0.0,0.0,0.0,,1.0,1.0,,1.0,1.0,,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,,,1.0,,,,0.0,,,0.0,,,1.0,,0.0,0.0,0.0,0.0
Person_5,0.0,1.0,0.0,,0.0,0.0,,1.0,1.0,,,,,1.0,,,0.0,,,1.0,,0.0,,,1.0,0.0,0.0,,,1.0,1.0,,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,,,,1.0
Person_6,,1.0,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,,,0.0,1.0,,,0.0,,,,0.0,,,0.0,0.0,,1.0,1.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,
Person_7,,1.0,,,,0.0,0.0,1.0,1.0,,,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,,,1.0,,0.0,,,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,0.0,0.0,,1.0,,0.0
Person_8,0.0,0.0,0.0,1.0,,1.0,1.0,0.0,,0.0,0.0,1.0,,0.0,0.0,,,,1.0,,0.0,,,,1.0,0.0,0.0,,1.0,0.0,,1.0,1.0,0.0,0.0,,0.0,0.0,,,,0.0,,1.0,,,0.0,,0.0,0.0
Person_9,1.0,1.0,,0.0,1.0,,,,,,0.0,0.0,,,1.0,,1.0,0.0,,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,0.0,0.0,1.0,1.0,,,0.0,1.0,,1.0,0.0,0.0,
Person_10,0.0,1.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,,,,0.0,,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0
