,Estimate,CSEM,Score,Max score,p,Infit MS,Infit Z,Outfit MS,Outfit Z
Person_1,2.98,0.548,32,38,0.842,0.84,-0.164,0.923,0.143
Person_2,-0.414,0.437,17,38,0.447,0.992,0.121,1.088,0.345
Person_3,-0.038,0.438,19,38,0.5,1.242,0.671,1.264,0.72
Person_4,-0.99,0.447,14,38,0.368,1.627,1.381,1.686,1.483
Person_5,0.343,0.443,21,38,0.553,1.128,0.428,1.09,0.347
Person_6,0.538,0.447,22,38,0.579,2.193,2.199,2.343,2.44
Person_7,-0.795,0.443,15,38,0.395,0.534,-1.202,0.565,-1.092
Person_8,0.343,0.443,21,38,0.553,1.249,0.677,1.15,0.478
Person_9,1.621,0.493,27,38,0.711,0.783,-0.3,0.792,-0.293
Person_10,1.621,0.493,27,38,0.711,1.326,0.757,1.155,0.465
Person_11,-2.07,0.494,9,38,0.237,1.046,0.252,1.012,0.189
Person_12,-3.514,0.614,4,38,0.105,0.809,-0.239,0.643,-0.273
Person_13,1.158,0.47,25,38,0.658,0.551,-1.01,0.581,-0.941
Person_14,-1.396,0.461,12,38,0.316,1.166,0.503,1.123,0.415
Person_15,-1.19,0.454,13,38,0.342,0.865,-0.182,0.796,-0.365
Person_16,-2.07,0.494,9,38,0.237,1.168,0.498,1.139,0.435
Person_17,1.383,0.481,26,38,0.684,1.116,0.394,1.254,0.657
Person_18,-0.99,0.447,14,38,0.368,2.03,2.014,1.85,1.746
Person_19,0.538,0.447,22,38,0.579,1.055,0.27,0.865,-0.188
Person_20,1.873,0.505,28,38,0.737,1.08,0.324,1.425,0.897
Person_21,1.158,0.47,25,38,0.658,1.156,0.475,1.431,0.989
Person_22,-0.99,0.447,14,38,0.368,1.333,0.848,1.28,0.746
Person_23,-3.906,0.67,3,38,0.079,1.06,0.288,0.781,0.047
Person_24,-1.611,0.47,11,38,0.289,0.719,-0.545,0.732,-0.504
Person_25,2.138,0.516,29,38,0.763,0.952,0.086,0.743,-0.322
Person_26,-0.603,0.439,16,38,0.421,0.762,-0.477,0.773,-0.447
Person_27,-0.038,0.438,19,38,0.5,0.795,-0.378,0.726,-0.584
Person_28,1.621,0.493,27,38,0.711,0.735,-0.415,0.621,-0.731
Person_29,-1.396,0.461,12,38,0.316,1.296,0.76,1.347,0.858
Person_30,1.621,0.493,27,38,0.711,0.38,-1.481,0.498,-1.101
Person_31,-1.835,0.481,10,38,0.263,0.699,-0.585,0.614,-0.801
Person_32,0.343,0.443,21,38,0.553,1.089,0.345,1.215,0.615
Person_33,0.943,0.461,24,38,0.632,1.167,0.503,0.929,-0.017
Person_34,0.151,0.439,20,38,0.526,1.246,0.676,1.244,0.678
Person_35,-0.603,0.439,16,38,0.421,1.949,1.919,2.31,2.439
Person_36,0.538,0.447,22,38,0.579,0.936,-0.003,1.14,0.456
Person_37,-1.611,0.47,11,38,0.289,1.658,1.374,1.608,1.287
Person_38,1.621,0.493,27,38,0.711,0.658,-0.612,0.755,-0.382
Person_39,-1.611,0.47,11,38,0.289,1.157,0.482,1.068,0.298
Person_40,1.873,0.505,28,38,0.737,0.907,-0.012,1.026,0.222
Person_41,0.737,0.453,23,38,0.605,0.445,-1.457,0.454,-1.453
Person_42,-1.19,0.454,13,38,0.342,0.435,-1.531,0.455,-1.462
Person_43,0.343,0.443,21,38,0.553,0.957,0.043,1.09,0.347
Person_44,1.383,0.481,26,38,0.684,0.941,0.035,0.818,-0.257
Person_45,2.412,0.526,30,38,0.789,0.274,-1.805,0.236,-1.691
Person_46,1.873,0.505,28,38,0.737,0.602,-0.725,0.471,-1.107
