,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10
Item_1,1.0,-0.15986592315926904,-0.1520203089956029,-0.09568138601144723,-0.11350542689634173,-0.06677038424146088,-0.12405768918728488,-0.1685767544448052,-0.14230043850254476,-0.12026316226779009
Item_2,-0.15986592315926904,1.0,-0.1814100674204504,-0.1376549439084577,-0.1389025826528606,-0.1478396247891504,-0.08560778395767589,-0.13501682373692275,-0.13183975699076994,-0.11485329236952342
Item_3,-0.1520203089956029,-0.1814100674204504,1.0,-0.12906883440386122,-0.18002095601086418,-0.11983273806227619,-0.12329871363862241,-0.11561147535584293,-0.11723456891616944,-0.0975127885135229
Item_4,-0.09568138601144723,-0.1376549439084577,-0.12906883440386122,1.0,-0.1007834230607343,-0.14957704307206257,-0.14294841022886337,-0.09757022314806447,-0.14759503857686232,-0.09141268862171995
Item_5,-0.11350542689634173,-0.1389025826528606,-0.18002095601086418,-0.1007834230607343,1.0,-0.12780992448858586,-0.030308188165056878,-0.01818494078013957,-0.05413971177247365,-0.06906552060360839
Item_6,-0.06677038424146088,-0.1478396247891504,-0.11983273806227619,-0.14957704307206257,-0.12780992448858586,1.0,-0.0467082542675044,-0.06175475832185015,-0.01966925416546287,-0.09248477843464892
Item_7,-0.12405768918728488,-0.08560778395767589,-0.12329871363862241,-0.14294841022886337,-0.030308188165056878,-0.0467082542675044,1.0,-0.12094585533201792,-0.08384678229063755,-0.04500049707157366
Item_8,-0.1685767544448052,-0.13501682373692275,-0.11561147535584293,-0.09757022314806447,-0.01818494078013957,-0.06175475832185015,-0.12094585533201792,1.0,-0.11339060005741587,-0.06722003254821343
Item_9,-0.14230043850254476,-0.13183975699076994,-0.11723456891616944,-0.14759503857686232,-0.05413971177247365,-0.01966925416546287,-0.08384678229063755,-0.11339060005741587,1.0,-0.06221664108525338
Item_10,-0.12026316226779009,-0.11485329236952342,-0.0975127885135229,-0.09141268862171995,-0.06906552060360839,-0.09248477843464892,-0.04500049707157366,-0.06722003254821343,-0.06221664108525338,1.0
