,,Estimate,SE,Infit MS,Infit Z,Outfit MS,Outfit Z
Item_1,1,-3.448,0.221,0.984,-0.136,0.928,-0.362
Item_1,2,-1.07,0.12,0.966,-0.751,0.912,-1.264
Item_1,3,-0.436,0.092,0.965,-0.871,0.934,-1.089
Item_1,4,1.856,0.107,0.911,-1.903,0.936,-0.806
Item_1,5,3.972,0.292,0.866,-1.058,0.84,-0.554
Item_2,1,-2.934,0.157,0.933,-0.876,0.898,-0.685
Item_2,2,-0.914,0.104,0.955,-1.097,0.921,-1.27
Item_2,3,0.989,0.105,0.969,-0.816,0.959,-0.647
Item_2,4,2.757,0.177,0.949,-0.638,0.882,-0.848
Item_2,5,3.118,0.247,0.805,-2.232,0.765,-1.754
Item_3,1,-2.841,0.148,0.964,-0.47,0.958,-0.254
Item_3,2,-1.043,0.107,0.974,-0.59,0.939,-0.836
Item_3,3,0.849,0.082,1.003,0.107,0.997,-0.04
Item_3,4,3.584,0.194,0.973,-0.205,0.869,-0.555
Item_3,5,3.755,0.417,0.824,-1.306,0.791,-0.805
Item_4,1,-4.177,0.232,0.94,-0.389,0.766,-0.693
Item_4,2,-2.229,0.13,0.992,-0.12,1.035,0.332
Item_4,3,-0.266,0.083,0.974,-0.693,0.948,-0.835
Item_4,4,2.476,0.124,1.001,0.033,0.941,-0.463
Item_4,5,3.599,0.341,0.855,-1.176,0.965,-0.066
Item_5,1,-0.725,0.092,0.968,-0.836,0.924,-1.125
Item_5,2,0.856,0.107,0.947,-1.269,0.977,-0.29
Item_5,3,1.185,0.11,0.974,-0.604,0.932,-0.942
Item_6,1,-0.678,0.118,0.912,-2.165,0.974,-0.305
Item_6,2,0.047,0.095,0.998,-0.047,0.988,-0.168
Item_6,3,1.502,0.118,0.914,-2.093,0.887,-1.774
Item_7,1,-0.939,0.094,1.009,0.234,0.955,-0.613
Item_7,2,1.221,0.092,1.021,0.545,0.97,-0.386
Item_7,3,3.95,0.219,0.99,-0.035,0.854,-0.492
Item_8,1,-3.263,0.244,0.959,-0.445,1.106,0.608
Item_8,2,-1.568,0.101,0.965,-0.694,0.997,-0.0
Item_8,3,0.219,0.082,1.039,1.093,1.02,0.325
Item_9,1,-4.296,0.306,0.848,-1.048,0.83,-0.366
Item_9,2,-1.922,0.118,0.998,-0.022,1.028,0.294
Item_9,3,0.633,0.08,0.969,-0.875,0.937,-0.98
Item_10,1,-2.906,0.202,1.054,0.725,1.128,0.916
Item_10,2,-1.424,0.093,0.946,-1.142,0.897,-1.146
Item_10,3,0.512,0.085,0.977,-0.643,1.005,0.094
