,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10
Person_1,1,2,4,3,3,3,1,1,0,2
Person_2,0,0,0,0,1,1,0,0,0,2
Person_3,3,4,4,4,3,2,2,3,2,3
Person_4,2,5,3,4,3,1,2,3,2,3
Person_5,0,0,1,1,0,1,0,0,0,0
Person_6,1,1,0,1,1,1,0,0,0,3
Person_7,1,1,3,3,3,3,1,1,0,2
Person_8,0,2,3,2,1,2,0,1,0,3
Person_9,3,3,4,4,3,3,0,2,0,2
Person_10,1,2,0,1,1,1,1,0,0,3
Person_11,3,5,3,4,3,3,2,1,3,3
Person_12,4,5,3,4,1,3,1,2,2,3
Person_13,0,2,4,3,2,3,0,0,1,2
Person_14,3,5,5,4,3,3,2,1,1,3
Person_15,3,5,3,4,3,3,2,3,2,2
Person_16,0,2,0,2,2,0,1,0,0,3
Person_17,2,5,4,4,3,3,2,0,2,3
Person_18,2,2,2,1,2,0,0,1,1,3
Person_19,3,5,3,3,3,3,0,3,2,3
Person_20,0,2,2,3,1,3,1,0,1,3
Person_21,1,4,3,3,3,2,0,1,1,3
Person_22,0,0,0,2,2,2,0,0,0,2
Person_23,4,5,4,5,3,3,2,3,2,3
Person_24,2,2,1,2,2,3,0,1,0,3
Person_25,4,4,2,2,3,2,0,0,0,3
Person_26,0,3,1,3,2,3,1,0,0,2
Person_27,1,2,3,4,3,2,1,3,1,3
Person_28,2,1,3,3,3,3,2,0,0,3
Person_29,3,2,5,3,3,3,2,1,2,3
Person_30,4,4,3,4,3,3,1,2,0,3
Person_31,4,4,5,4,3,3,3,3,3,3
Person_32,0,0,4,2,3,1,2,0,0,3
Person_33,3,1,3,2,1,2,1,0,2,1
Person_34,1,2,2,0,3,1,0,0,0,1
Person_35,1,5,3,3,3,2,0,1,2,3
Person_36,4,5,4,5,3,3,2,1,2,3
Person_37,3,4,1,3,3,1,0,1,2,3
Person_38,2,2,1,0,1,1,1,0,0,1
Person_39,0,2,3,2,2,0,0,0,0,3
Person_40,3,4,3,4,3,3,2,0,2,3
Person_41,3,4,4,4,1,3,1,2,3,3
Person_42,3,4,5,2,3,2,1,3,1,3
Person_43,0,2,1,1,1,2,0,0,0,2
Person_44,2,2,3,2,3,3,1,2,2,3
Person_45,1,2,4,4,1,3,1,1,1,2
Person_46,1,3,4,3,3,3,1,1,2,3
Person_47,3,5,4,3,3,3,2,1,2,3
Person_48,3,4,3,4,2,3,1,2,1,3
Person_49,3,5,3,2,3,3,1,0,1,2
Person_50,0,2,3,4,3,3,1,1,1,3
Person_51,1,5,4,2,2,1,0,0,2,3
Person_52,3,4,2,4,3,3,2,2,3,2
Person_53,0,0,0,1,2,0,0,0,0,1
Person_54,0,3,3,0,3,3,1,1,0,2
Person_55,1,1,3,4,2,0,2,1,0,2
Person_56,2,2,1,2,3,3,0,0,0,2
Person_57,1,0,3,3,1,3,0,0,2,3
