,Person,Group,Item,Threshold,Response
0,Person_5,Group_1,Item_1,Threshold_1,0.0
1,Person_6,Group_1,Item_1,Threshold_1,0.0
2,Person_17,Group_2,Item_1,Threshold_1,1.0
3,Person_19,Group_2,Item_1,Threshold_1,1.0
4,Person_20,Group_2,Item_1,Threshold_1,0.0
5,Person_24,Group_1,Item_1,Threshold_1,1.0
6,Person_25,Group_1,Item_1,Threshold_1,1.0
7,Person_29,Group_1,Item_1,Threshold_1,0.0
8,Person_32,Group_2,Item_1,Threshold_1,1.0
9,Person_34,Group_2,Item_1,Threshold_1,1.0
10,Person_35,Group_1,Item_1,Threshold_1,1.0
11,Person_36,Group_2,Item_1,Threshold_1,0.0
12,Person_42,Group_2,Item_1,Threshold_1,1.0
13,Person_43,Group_1,Item_1,Threshold_1,0.0
14,Person_46,Group_2,Item_1,Threshold_1,1.0
15,Person_48,Group_1,Item_1,Threshold_1,1.0
16,Person_49,Group_2,Item_1,Threshold_1,1.0
17,Person_51,Group_2,Item_1,Threshold_1,0.0
18,Person_55,Group_2,Item_1,Threshold_1,1.0
19,Person_58,Group_2,Item_1,Threshold_1,1.0
20,Person_59,Group_2,Item_1,Threshold_1,1.0
21,Person_62,Group_1,Item_1,Threshold_1,1.0
22,Person_72,Group_2,Item_1,Threshold_1,1.0
23,Person_74,Group_2,Item_1,Threshold_1,0.0
24,Person_80,Group_2,Item_1,Threshold_1,0.0
25,Person_81,Group_1,Item_1,Threshold_1,0.0
26,Person_83,Group_1,Item_1,Threshold_1,0.0
27,Person_85,Group_1,Item_1,Threshold_1,1.0
28,Person_86,Group_2,Item_1,Threshold_1,1.0
29,Person_89,Group_1,Item_1,Threshold_1,0.0
30,Person_91,Group_2,Item_1,Threshold_1,1.0
31,Person_94,Group_2,Item_1,Threshold_1,1.0
32,Person_99,Group_1,Item_1,Threshold_1,0.0
33,Person_100,Group_1,Item_1,Threshold_1,0.0
34,Person_104,Group_2,Item_1,Threshold_1,0.0
35,Person_106,Group_1,Item_1,Threshold_1,1.0
36,Person_110,Group_1,Item_1,Threshold_1,0.0
37,Person_114,Group_2,Item_1,Threshold_1,1.0
38,Person_115,Group_1,Item_1,Threshold_1,1.0
39,Person_121,Group_2,Item_1,Threshold_1,1.0
40,Person_125,Group_1,Item_1,Threshold_1,0.0
41,Person_127,Group_1,Item_1,Threshold_1,0.0
42,Person_128,Group_2,Item_1,Threshold_1,0.0
43,Person_135,Group_2,Item_1,Threshold_1,1.0
44,Person_138,Group_2,Item_1,Threshold_1,1.0
45,Person_141,Group_1,Item_1,Threshold_1,0.0
46,Person_142,Group_2,Item_1,Threshold_1,1.0
47,Person_146,Group_2,Item_1,Threshold_1,0.0
48,Person_151,Group_2,Item_1,Threshold_1,1.0
49,Person_152,Group_2,Item_1,Threshold_1,0.0
50,Person_160,Group_1,Item_1,Threshold_1,1.0
51,Person_162,Group_1,Item_1,Threshold_1,0.0
52,Person_163,Group_1,Item_1,Threshold_1,0.0
53,Person_166,Group_2,Item_1,Threshold_1,1.0
54,Person_169,Group_2,Item_1,Threshold_1,1.0
55,Person_172,Group_2,Item_1,Threshold_1,1.0
56,Person_174,Group_1,Item_1,Threshold_1,0.0
57,Person_175,Group_1,Item_1,Threshold_1,1.0
58,Person_181,Group_1,Item_1,Threshold_1,0.0
59,Person_187,Group_1,Item_1,Threshold_1,0.0
60,Person_189,Group_2,Item_1,Threshold_1,0.0
61,Person_193,Group_1,Item_1,Threshold_1,0.0
62,Person_194,Group_1,Item_1,Threshold_1,1.0
63,Person_195,Group_2,Item_1,Threshold_1,1.0
64,Person_200,Group_1,Item_1,Threshold_1,0.0
65,Person_201,Group_1,Item_1,Threshold_1,0.0
66,Person_202,Group_2,Item_1,Threshold_1,0.0
67,Person_203,Group_1,Item_1,Threshold_1,0.0
68,Person_204,Group_2,Item_1,Threshold_1,1.0
69,Person_209,Group_2,Item_1,Threshold_1,0.0
70,Person_214,Group_2,Item_1,Threshold_1,0.0
71,Person_218,Group_1,Item_1,Threshold_1,1.0
72,Person_222,Group_2,Item_1,Threshold_1,0.0
73,Person_223,Group_2,Item_1,Threshold_1,1.0
74,Person_225,Group_2,Item_1,Threshold_1,0.0
75,Person_227,Group_2,Item_1,Threshold_1,0.0
76,Person_231,Group_1,Item_1,Threshold_1,0.0
77,Person_240,Group_1,Item_1,Threshold_1,0.0
78,Person_242,Group_2,Item_1,Threshold_1,1.0
79,Person_243,Group_2,Item_1,Threshold_1,0.0
80,Person_244,Group_1,Item_1,Threshold_1,1.0
81,Person_245,Group_1,Item_1,Threshold_1,0.0
82,Person_247,Group_1,Item_1,Threshold_1,0.0
83,Person_249,Group_1,Item_1,Threshold_1,1.0
84,Person_253,Group_2,Item_1,Threshold_1,0.0
85,Person_254,Group_1,Item_1,Threshold_1,0.0
86,Person_259,Group_2,Item_1,Threshold_1,1.0
87,Person_260,Group_2,Item_1,Threshold_1,1.0
88,Person_264,Group_2,Item_1,Threshold_1,1.0
89,Person_266,Group_1,Item_1,Threshold_1,0.0
90,Person_268,Group_2,Item_1,Threshold_1,0.0
91,Person_271,Group_1,Item_1,Threshold_1,0.0
92,Person_274,Group_2,Item_1,Threshold_1,1.0
93,Person_275,Group_1,Item_1,Threshold_1,1.0
94,Person_280,Group_1,Item_1,Threshold_1,0.0
95,Person_281,Group_2,Item_1,Threshold_1,1.0
96,Person_285,Group_1,Item_1,Threshold_1,0.0
97,Person_290,Group_1,Item_1,Threshold_1,1.0
98,Person_293,Group_1,Item_1,Threshold_1,1.0
99,Person_296,Group_2,Item_1,Threshold_1,1.0
100,Person_298,Group_2,Item_1,Threshold_1,1.0
101,Person_300,Group_1,Item_1,Threshold_1,1.0
102,Person_301,Group_2,Item_1,Threshold_1,0.0
103,Person_302,Group_1,Item_1,Threshold_1,1.0
104,Person_303,Group_1,Item_1,Threshold_1,0.0
105,Person_306,Group_2,Item_1,Threshold_1,1.0
106,Person_307,Group_2,Item_1,Threshold_1,0.0
107,Person_308,Group_1,Item_1,Threshold_1,1.0
108,Person_311,Group_2,Item_1,Threshold_1,1.0
109,Person_312,Group_1,Item_1,Threshold_1,0.0
110,Person_316,Group_1,Item_1,Threshold_1,0.0
111,Person_322,Group_2,Item_1,Threshold_1,0.0
112,Person_323,Group_1,Item_1,Threshold_1,0.0
113,Person_327,Group_2,Item_1,Threshold_1,0.0
114,Person_329,Group_1,Item_1,Threshold_1,1.0
115,Person_331,Group_2,Item_1,Threshold_1,1.0
116,Person_334,Group_1,Item_1,Threshold_1,0.0
117,Person_337,Group_1,Item_1,Threshold_1,0.0
118,Person_339,Group_2,Item_1,Threshold_1,0.0
119,Person_340,Group_1,Item_1,Threshold_1,0.0
120,Person_341,Group_2,Item_1,Threshold_1,0.0
121,Person_344,Group_1,Item_1,Threshold_1,0.0
122,Person_348,Group_1,Item_1,Threshold_1,0.0
123,Person_349,Group_2,Item_1,Threshold_1,1.0
124,Person_350,Group_2,Item_1,Threshold_1,0.0
