,Person,Group,Item,Threshold,Response
0,Person_3,Group_2,Item_1,Threshold_1,0.0
1,Person_30,Group_2,Item_1,Threshold_1,1.0
2,Person_39,Group_1,Item_1,Threshold_1,1.0
3,Person_40,Group_1,Item_1,Threshold_1,1.0
4,Person_51,Group_2,Item_1,Threshold_1,0.0
5,Person_67,Group_1,Item_1,Threshold_1,1.0
6,Person_71,Group_1,Item_1,Threshold_1,1.0
7,Person_76,Group_2,Item_1,Threshold_1,1.0
8,Person_77,Group_1,Item_1,Threshold_1,1.0
9,Person_92,Group_2,Item_1,Threshold_1,1.0
10,Person_95,Group_2,Item_1,Threshold_1,1.0
11,Person_99,Group_2,Item_1,Threshold_1,0.0
12,Person_105,Group_2,Item_1,Threshold_1,1.0
13,Person_112,Group_1,Item_1,Threshold_1,0.0
14,Person_116,Group_2,Item_1,Threshold_1,1.0
15,Person_134,Group_2,Item_1,Threshold_1,1.0
16,Person_146,Group_2,Item_1,Threshold_1,0.0
17,Person_159,Group_1,Item_1,Threshold_1,1.0
18,Person_166,Group_2,Item_1,Threshold_1,0.0
19,Person_182,Group_1,Item_1,Threshold_1,0.0
20,Person_195,Group_2,Item_1,Threshold_1,1.0
21,Person_197,Group_1,Item_1,Threshold_1,1.0
22,Person_206,Group_2,Item_1,Threshold_1,0.0
23,Person_216,Group_1,Item_1,Threshold_1,1.0
24,Person_219,Group_1,Item_1,Threshold_1,0.0
25,Person_224,Group_2,Item_1,Threshold_1,1.0
26,Person_228,Group_1,Item_1,Threshold_1,0.0
27,Person_229,Group_2,Item_1,Threshold_1,0.0
28,Person_258,Group_1,Item_1,Threshold_1,1.0
29,Person_265,Group_1,Item_1,Threshold_1,0.0
30,Person_266,Group_1,Item_1,Threshold_1,0.0
31,Person_273,Group_2,Item_1,Threshold_1,0.0
32,Person_274,Group_1,Item_1,Threshold_1,1.0
33,Person_287,Group_1,Item_1,Threshold_1,1.0
34,Person_297,Group_2,Item_1,Threshold_1,1.0
35,Person_348,Group_1,Item_1,Threshold_1,1.0
36,Person_383,Group_1,Item_1,Threshold_1,1.0
37,Person_387,Group_2,Item_1,Threshold_1,1.0
38,Person_392,Group_2,Item_1,Threshold_1,1.0
39,Person_395,Group_2,Item_1,Threshold_1,0.0
40,Person_405,Group_1,Item_1,Threshold_1,0.0
41,Person_10,Group_1,Item_1,Threshold_2,1.0
42,Person_30,Group_1,Item_1,Threshold_2,0.0
43,Person_31,Group_2,Item_1,Threshold_2,1.0
44,Person_34,Group_1,Item_1,Threshold_2,1.0
45,Person_38,Group_2,Item_1,Threshold_2,1.0
46,Person_39,Group_1,Item_1,Threshold_2,0.0
47,Person_40,Group_2,Item_1,Threshold_2,0.0
48,Person_67,Group_1,Item_1,Threshold_2,0.0
49,Person_71,Group_1,Item_1,Threshold_2,0.0
50,Person_76,Group_2,Item_1,Threshold_2,0.0
51,Person_77,Group_2,Item_1,Threshold_2,0.0
52,Person_79,Group_2,Item_1,Threshold_2,1.0
53,Person_84,Group_1,Item_1,Threshold_2,1.0
54,Person_92,Group_1,Item_1,Threshold_2,0.0
55,Person_94,Group_2,Item_1,Threshold_2,1.0
56,Person_95,Group_1,Item_1,Threshold_2,0.0
57,Person_105,Group_1,Item_1,Threshold_2,0.0
58,Person_116,Group_1,Item_1,Threshold_2,0.0
59,Person_129,Group_1,Item_1,Threshold_2,1.0
60,Person_134,Group_2,Item_1,Threshold_2,0.0
61,Person_148,Group_2,Item_1,Threshold_2,1.0
62,Person_153,Group_1,Item_1,Threshold_2,1.0
63,Person_154,Group_1,Item_1,Threshold_2,1.0
64,Person_158,Group_2,Item_1,Threshold_2,1.0
65,Person_159,Group_2,Item_1,Threshold_2,0.0
