,Person,Group,Item,Threshold,Response
0,Person_1,Group_1,Item_1,Threshold_1,0.0
1,Person_2,Group_1,Item_1,Threshold_1,1.0
2,Person_4,Group_1,Item_1,Threshold_1,1.0
3,Person_8,Group_2,Item_1,Threshold_1,0.0
4,Person_9,Group_1,Item_1,Threshold_1,0.0
5,Person_10,Group_2,Item_1,Threshold_1,1.0
6,Person_15,Group_2,Item_1,Threshold_1,1.0
7,Person_19,Group_2,Item_1,Threshold_1,1.0
8,Person_20,Group_1,Item_1,Threshold_1,1.0
9,Person_25,Group_1,Item_1,Threshold_1,1.0
10,Person_28,Group_2,Item_1,Threshold_1,1.0
11,Person_32,Group_2,Item_1,Threshold_1,1.0
12,Person_36,Group_2,Item_1,Threshold_1,1.0
13,Person_37,Group_2,Item_1,Threshold_1,1.0
14,Person_38,Group_2,Item_1,Threshold_1,1.0
15,Person_50,Group_2,Item_1,Threshold_1,1.0
16,Person_51,Group_2,Item_1,Threshold_1,1.0
17,Person_55,Group_2,Item_1,Threshold_1,0.0
18,Person_56,Group_2,Item_1,Threshold_1,1.0
19,Person_58,Group_1,Item_1,Threshold_1,0.0
20,Person_70,Group_2,Item_1,Threshold_1,1.0
21,Person_71,Group_2,Item_1,Threshold_1,1.0
22,Person_74,Group_2,Item_1,Threshold_1,0.0
23,Person_79,Group_2,Item_1,Threshold_1,1.0
24,Person_86,Group_1,Item_1,Threshold_1,0.0
25,Person_89,Group_1,Item_1,Threshold_1,0.0
26,Person_93,Group_2,Item_1,Threshold_1,0.0
27,Person_94,Group_1,Item_1,Threshold_1,0.0
28,Person_95,Group_1,Item_1,Threshold_1,1.0
29,Person_103,Group_1,Item_1,Threshold_1,1.0
30,Person_105,Group_1,Item_1,Threshold_1,1.0
31,Person_109,Group_1,Item_1,Threshold_1,1.0
32,Person_110,Group_1,Item_1,Threshold_1,1.0
33,Person_118,Group_2,Item_1,Threshold_1,1.0
34,Person_119,Group_1,Item_1,Threshold_1,0.0
35,Person_122,Group_1,Item_1,Threshold_1,0.0
36,Person_124,Group_1,Item_1,Threshold_1,1.0
37,Person_131,Group_1,Item_1,Threshold_1,1.0
38,Person_133,Group_1,Item_1,Threshold_1,1.0
39,Person_134,Group_2,Item_1,Threshold_1,0.0
40,Person_135,Group_1,Item_1,Threshold_1,0.0
41,Person_141,Group_2,Item_1,Threshold_1,0.0
42,Person_145,Group_1,Item_1,Threshold_1,1.0
43,Person_148,Group_2,Item_1,Threshold_1,0.0
44,Person_156,Group_1,Item_1,Threshold_1,1.0
45,Person_157,Group_2,Item_1,Threshold_1,0.0
46,Person_160,Group_2,Item_1,Threshold_1,0.0
47,Person_165,Group_2,Item_1,Threshold_1,1.0
48,Person_166,Group_2,Item_1,Threshold_1,1.0
49,Person_169,Group_1,Item_1,Threshold_1,0.0
50,Person_171,Group_2,Item_1,Threshold_1,1.0
51,Person_178,Group_1,Item_1,Threshold_1,0.0
52,Person_179,Group_1,Item_1,Threshold_1,1.0
53,Person_189,Group_1,Item_1,Threshold_1,0.0
54,Person_191,Group_1,Item_1,Threshold_1,1.0
55,Person_192,Group_2,Item_1,Threshold_1,0.0
56,Person_193,Group_2,Item_1,Threshold_1,1.0
57,Person_195,Group_1,Item_1,Threshold_1,0.0
58,Person_197,Group_2,Item_1,Threshold_1,1.0
59,Person_199,Group_1,Item_1,Threshold_1,1.0
60,Person_207,Group_1,Item_1,Threshold_1,1.0
61,Person_211,Group_1,Item_1,Threshold_1,0.0
62,Person_214,Group_1,Item_1,Threshold_1,0.0
63,Person_217,Group_1,Item_1,Threshold_1,1.0
64,Person_219,Group_2,Item_1,Threshold_1,1.0
65,Person_226,Group_1,Item_1,Threshold_1,1.0
66,Person_227,Group_1,Item_1,Threshold_1,0.0
67,Person_229,Group_1,Item_1,Threshold_1,1.0
68,Person_230,Group_1,Item_1,Threshold_1,1.0
69,Person_232,Group_1,Item_1,Threshold_1,0.0
70,Person_234,Group_2,Item_1,Threshold_1,0.0
71,Person_236,Group_2,Item_1,Threshold_1,1.0
72,Person_238,Group_1,Item_1,Threshold_1,0.0
73,Person_244,Group_1,Item_1,Threshold_1,0.0
74,Person_2,Group_1,Item_1,Threshold_2,0.0
75,Person_4,Group_1,Item_1,Threshold_2,0.0
76,Person_6,Group_2,Item_1,Threshold_2,1.0
77,Person_10,Group_1,Item_1,Threshold_2,0.0
78,Person_15,Group_2,Item_1,Threshold_2,0.0
79,Person_17,Group_1,Item_1,Threshold_2,1.0
80,Person_19,Group_2,Item_1,Threshold_2,0.0
81,Person_20,Group_1,Item_1,Threshold_2,0.0
82,Person_21,Group_1,Item_1,Threshold_2,1.0
83,Person_23,Group_1,Item_1,Threshold_2,1.0
84,Person_25,Group_1,Item_1,Threshold_2,0.0
85,Person_28,Group_1,Item_1,Threshold_2,0.0
86,Person_31,Group_2,Item_1,Threshold_2,1.0
87,Person_32,Group_1,Item_1,Threshold_2,0.0
88,Person_35,Group_2,Item_1,Threshold_2,1.0
89,Person_36,Group_2,Item_1,Threshold_2,0.0
90,Person_37,Group_1,Item_1,Threshold_2,0.0
91,Person_38,Group_2,Item_1,Threshold_2,0.0
92,Person_47,Group_1,Item_1,Threshold_2,1.0
93,Person_50,Group_2,Item_1,Threshold_2,0.0
94,Person_51,Group_1,Item_1,Threshold_2,0.0
95,Person_53,Group_2,Item_1,Threshold_2,1.0
96,Person_56,Group_1,Item_1,Threshold_2,0.0
97,Person_60,Group_2,Item_1,Threshold_2,1.0
98,Person_62,Group_2,Item_1,Threshold_2,1.0
99,Person_63,Group_2,Item_1,Threshold_2,1.0
100,Person_64,Group_1,Item_1,Threshold_2,1.0
101,Person_69,Group_2,Item_1,Threshold_2,1.0
102,Person_70,Group_2,Item_1,Threshold_2,0.0
103,Person_71,Group_1,Item_1,Threshold_2,0.0
104,Person_77,Group_2,Item_1,Threshold_2,1.0
105,Person_79,Group_2,Item_1,Threshold_2,0.0
106,Person_85,Group_2,Item_1,Threshold_2,1.0
107,Person_92,Group_1,Item_1,Threshold_2,1.0
108,Person_95,Group_1,Item_1,Threshold_2,0.0
109,Person_98,Group_2,Item_1,Threshold_2,1.0
110,Person_101,Group_2,Item_1,Threshold_2,1.0
111,Person_103,Group_2,Item_1,Threshold_2,0.0
112,Person_104,Group_2,Item_1,Threshold_2,1.0
113,Person_105,Group_1,Item_1,Threshold_2,0.0
114,Person_107,Group_1,Item_1,Threshold_2,1.0
115,Person_109,Group_1,Item_1,Threshold_2,0.0
116,Person_110,Group_2,Item_1,Threshold_2,0.0
117,Person_117,Group_2,Item_1,Threshold_2,1.0
118,Person_118,Group_2,Item_1,Threshold_2,0.0
119,Person_121,Group_2,Item_1,Threshold_2,1.0
120,Person_124,Group_1,Item_1,Threshold_2,0.0
121,Person_129,Group_2,Item_1,Threshold_2,1.0
122,Person_131,Group_2,Item_1,Threshold_2,0.0
123,Person_132,Group_2,Item_1,Threshold_2,1.0
124,Person_133,Group_2,Item_1,Threshold_2,0.0
125,Person_139,Group_2,Item_1,Threshold_2,1.0
126,Person_145,Group_1,Item_1,Threshold_2,0.0
127,Person_156,Group_1,Item_1,Threshold_2,0.0
128,Person_158,Group_2,Item_1,Threshold_2,1.0
129,Person_165,Group_1,Item_1,Threshold_2,0.0
130,Person_166,Group_1,Item_1,Threshold_2,0.0
131,Person_171,Group_1,Item_1,Threshold_2,0.0
132,Person_179,Group_2,Item_1,Threshold_2,0.0
133,Person_183,Group_2,Item_1,Threshold_2,1.0
134,Person_185,Group_1,Item_1,Threshold_2,1.0
135,Person_191,Group_2,Item_1,Threshold_2,0.0
136,Person_193,Group_2,Item_1,Threshold_2,0.0
137,Person_197,Group_1,Item_1,Threshold_2,0.0
138,Person_199,Group_1,Item_1,Threshold_2,0.0
139,Person_207,Group_1,Item_1,Threshold_2,0.0
140,Person_208,Group_2,Item_1,Threshold_2,1.0
141,Person_216,Group_1,Item_1,Threshold_2,1.0
142,Person_217,Group_1,Item_1,Threshold_2,0.0
143,Person_219,Group_1,Item_1,Threshold_2,0.0
144,Person_220,Group_2,Item_1,Threshold_2,1.0
145,Person_221,Group_1,Item_1,Threshold_2,1.0
146,Person_223,Group_2,Item_1,Threshold_2,1.0
147,Person_224,Group_1,Item_1,Threshold_2,1.0
