,Estimate,CSEM,Score,Max score,p,Infit MS,Infit Z,Outfit MS,Outfit Z
Person_1,0.751,0.343,26,40,0.65,1.005,0.183,0.822,-0.118
Person_2,-1.986,0.47,5,40,0.125,1.047,0.293,0.801,-0.045
Person_3,0.867,0.345,27,40,0.675,0.938,0.053,1.076,0.326
Person_4,1.104,0.353,29,40,0.725,0.626,-0.652,0.754,-0.188
Person_5,-3.667,,0,40,0.0,,,,
Person_6,-1.616,0.418,7,40,0.175,0.193,-1.925,0.239,-1.502
Person_7,-0.044,0.34,19,40,0.475,1.167,0.482,1.071,0.309
Person_8,-0.636,0.355,14,40,0.35,2.426,2.121,1.943,1.525
Person_9,-0.392,0.347,16,40,0.4,1.607,1.164,1.287,0.664
Person_10,-1.164,0.38,10,40,0.25,0.566,-0.754,0.566,-0.668
Person_11,0.295,0.338,22,40,0.55,1.506,1.031,1.332,0.729
Person_12,1.104,0.353,29,40,0.725,0.558,-0.835,0.473,-0.785
Person_13,-0.044,0.34,19,40,0.475,0.62,-0.705,0.712,-0.412
Person_14,1.936,0.433,35,40,0.875,0.911,0.07,0.581,-0.244
Person_15,0.867,0.345,27,40,0.675,0.987,0.148,0.972,0.159
Person_16,-1.164,0.38,10,40,0.25,0.875,-0.052,0.726,-0.308
Person_17,0.985,0.348,28,40,0.7,0.553,-0.854,0.63,-0.46
Person_18,-1.456,0.402,8,40,0.2,0.86,-0.064,0.797,-0.131
Person_19,0.867,0.345,27,40,0.675,0.874,-0.08,0.805,-0.135
Person_20,-0.158,0.342,18,40,0.45,0.445,-1.225,0.401,-1.273
Person_21,-0.274,0.344,17,40,0.425,0.321,-1.672,0.293,-1.678
Person_22,-0.392,0.347,16,40,0.4,0.947,0.069,0.851,-0.107
Person_23,1.936,0.433,35,40,0.875,0.773,-0.171,1.753,0.982
Person_24,0.408,0.338,23,40,0.575,0.609,-0.721,0.57,-0.728
Person_25,-0.158,0.342,18,40,0.45,0.353,-1.559,0.419,-1.213
Person_26,-0.274,0.344,17,40,0.425,0.91,-0.009,0.804,-0.206
Person_27,0.07,0.339,20,40,0.5,1.218,0.572,1.088,0.339
Person_28,0.295,0.338,22,40,0.55,1.089,0.34,0.902,0.001
Person_29,0.751,0.343,26,40,0.65,0.619,-0.679,0.556,-0.693
Person_30,0.636,0.341,25,40,0.625,0.204,-2.209,0.403,-1.15
Person_31,3.157,,40,40,1.0,,,,
Person_32,-0.274,0.344,17,40,0.425,0.309,-1.725,0.32,-1.567
Person_33,-1.164,0.38,10,40,0.25,1.227,0.568,0.995,0.19
Person_34,-0.392,0.347,16,40,0.4,1.586,1.136,1.319,0.713
Person_35,0.985,0.348,28,40,0.7,0.362,-1.474,0.65,-0.419
Person_36,1.226,0.358,30,40,0.75,0.696,-0.468,0.972,0.187
Person_37,-0.158,0.342,18,40,0.45,0.282,-1.86,0.251,-1.863
Person_38,-1.026,0.372,11,40,0.275,0.527,-0.872,0.443,-1.027
Person_39,-0.763,0.36,13,40,0.325,0.83,-0.157,0.843,-0.107
Person_40,1.352,0.366,31,40,0.775,0.696,-0.455,0.515,-0.586
Person_41,1.226,0.358,30,40,0.75,1.741,1.326,1.345,0.682
Person_42,0.408,0.338,23,40,0.575,0.574,-0.819,0.535,-0.821
Person_43,-0.763,0.36,13,40,0.325,1.187,0.508,0.946,0.09
Person_44,0.636,0.341,25,40,0.625,0.751,-0.355,0.773,-0.229
Person_45,0.295,0.338,22,40,0.55,0.929,0.028,0.826,-0.151
Person_46,-0.636,0.355,14,40,0.35,0.83,-0.165,1.258,0.615
Person_47,1.104,0.353,29,40,0.725,0.839,-0.149,0.781,-0.139
Person_48,0.636,0.341,25,40,0.625,1.012,0.195,0.918,0.049
Person_49,0.751,0.343,26,40,0.65,2.768,2.506,2.139,1.647
Person_50,0.751,0.343,26,40,0.65,0.51,-0.987,0.497,-0.845
Person_51,0.408,0.338,23,40,0.575,0.738,-0.395,0.757,-0.288
