,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20
Item_1,1.0,-0.11159292405992262,-0.16916773929568127,-0.042410799399654954,-0.07439271416704048,-0.06402411795047867,-0.042946855571228466,-0.016721590577753267,-0.11029992286689977,-0.09036714514256033,-0.07137284095977935,-0.13535382035231155,-0.10868575770146968,-0.04411609138114902,-0.13958722224016318,-0.12213597351579616,-0.02223092229302361,-0.08464843154325047,-0.03837465263590086,-0.09103748018934703
Item_2,-0.11159292405992262,1.0,-0.05865562579846703,-0.0708038847734314,-0.18911034988896683,-0.036218881554605835,-0.13676664334976146,-0.046445216526353646,-0.027379159494308115,-0.11653529441673455,-0.01867532691257673,-0.10007408204840092,-0.08602114375880354,-0.10419348856012506,-0.2019096180380263,-0.09858122721375882,0.031058434475164372,-0.07328996872323187,-0.007422812548726131,-0.039083682830551573
Item_3,-0.16916773929568127,-0.05865562579846703,1.0,-0.019604730613769432,-0.09702600245240456,-0.06920780912222109,-0.08756883788151198,-0.09942462541087614,-0.11263185692660767,-0.14192317145063546,-0.11206266084371294,-0.13029003532727834,-0.09796078369988252,-0.08437510392423761,-0.02172002015483338,-0.07000909056342589,-0.12138044269497614,-0.13370014709728098,-0.07062762737692617,-0.09808764657657401
Item_4,-0.042410799399654954,-0.0708038847734314,-0.019604730613769432,1.0,-0.023713827998776017,-0.04626190240606356,-0.15326702078971188,-0.06836756298065196,-0.04517681220174437,-0.0758932888449938,-0.08694576985533997,-0.17639373009157971,-0.15436146973396372,-0.22935409985741922,0.008317859155591958,-0.1288296247997677,-0.01117213495974643,-0.08427455571817957,-0.0409877166709956,-0.13065843278021233
Item_5,-0.07439271416704048,-0.18911034988896683,-0.09702600245240456,-0.023713827998776017,1.0,-0.14229933188545812,-0.1164677421796315,-0.06556259550208622,-0.0808794875830297,-0.05671746778790723,-0.1270342164029931,-0.04794665365787174,-0.06078822316558935,-0.16850790777781888,-0.08176394963993498,-0.16224060028794754,-0.03132332500569983,-0.06567416065195016,-0.027499482498021012,-0.0798653558861196
Item_6,-0.06402411795047867,-0.036218881554605835,-0.06920780912222109,-0.04626190240606356,-0.14229933188545812,1.0,-0.13292812532752965,-0.14051615822759736,-0.01489277827645964,-0.13556416555861045,0.07072994469262085,-0.014154676876177155,0.006733944826892397,-0.05256816193523928,-0.11008195063664462,-0.1468627170587417,-0.030989678796762735,-0.036350745009502396,0.03724725892549047,-0.1451984077053754
Item_7,-0.042946855571228466,-0.13676664334976146,-0.08756883788151198,-0.15326702078971188,-0.1164677421796315,-0.13292812532752965,1.0,-0.05333184488141738,-0.05480310111998028,-0.012383086279823628,-0.046541136390483254,-0.10300178433913156,-0.03131944981734307,-0.04802209833631391,0.0010277080119391016,-0.11350400727601641,-0.11902879427147692,-0.10177925993104915,-0.10804390624452302,-0.04295304822864792
Item_8,-0.016721590577753267,-0.046445216526353646,-0.09942462541087614,-0.06836756298065196,-0.06556259550208622,-0.14051615822759736,-0.05333184488141738,1.0,-0.09230790856151355,-0.039908049313192764,-0.19091402582033085,-0.17303340084228563,0.05263840317036069,-0.028472896151846835,-0.04572137700022393,-0.051728200580108984,-0.11026647117668079,-0.09103802312940314,-0.12186188406036579,-0.09558495345363763
Item_9,-0.11029992286689977,-0.027379159494308115,-0.11263185692660767,-0.04517681220174437,-0.0808794875830297,-0.01489277827645964,-0.05480310111998028,-0.09230790856151355,1.0,-0.03720646834932294,-0.13433371441636127,-0.03346434788038284,-0.1461788241367895,-0.13097347608254692,-0.1405383669037286,-0.02169252449931142,-0.061838628714545686,-0.052649913877091184,-0.10513487908749243,-0.1278609888479072
Item_10,-0.09036714514256033,-0.11653529441673455,-0.14192317145063546,-0.0758932888449938,-0.05671746778790723,-0.13556416555861045,-0.012383086279823628,-0.039908049313192764,-0.03720646834932294,1.0,-0.14917261851965286,-0.08157496568262881,0.00599958543424901,-0.055298974742890174,-0.0996817247777252,0.018341077414341177,-0.05544289356090879,-0.08450353292921671,-0.07795137427902978,-0.14922038426735462
