,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20
Person_1,1.0,,,0.0,1.0,1.0,,,1.0,0.0,0.0,1.0,0.0,1.0,,1.0,1.0,0.0,1.0,
Person_2,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,0.0
Person_3,0.0,1.0,,,,1.0,,1.0,0.0,1.0,0.0,1.0,0.0,,0.0,1.0,1.0,,,1.0
Person_4,1.0,1.0,,1.0,1.0,0.0,,1.0,1.0,,,1.0,1.0,,,1.0,,,,1.0
Person_5,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,,0.0,1.0,0.0
Person_6,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0
Person_7,0.0,,0.0,,0.0,,,,,1.0,,0.0,1.0,,,,,,1.0,1.0
Person_8,,,0.0,1.0,,,1.0,,0.0,,,,0.0,0.0,0.0,1.0,1.0,,1.0,1.0
Person_9,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
Person_10,,,1.0,0.0,0.0,0.0,,,0.0,,0.0,1.0,0.0,,,,1.0,,0.0,
Person_11,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,1.0,0.0,,,1.0,,0.0,0.0,
Person_12,1.0,,1.0,,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,,,1.0,,,,,1.0
Person_13,,1.0,,,1.0,1.0,1.0,,1.0,1.0,0.0,,,,0.0,1.0,,0.0,,1.0
Person_14,,0.0,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,1.0
Person_15,0.0,,0.0,0.0,0.0,,,0.0,0.0,,1.0,1.0,,,0.0,1.0,1.0,,1.0,0.0
Person_16,,1.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,
Person_17,,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,1.0,
Person_18,1.0,1.0,,,,,0.0,0.0,,0.0,,1.0,,0.0,0.0,1.0,,0.0,1.0,
Person_19,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,1.0,,,0.0,,,,1.0,0.0
Person_20,1.0,1.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,1.0,,,
Person_21,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,,0.0,0.0
Person_22,0.0,,1.0,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,0.0,,0.0,0.0
Person_23,0.0,0.0,,0.0,,1.0,0.0,,,0.0,0.0,,,0.0,,1.0,1.0,,0.0,
Person_24,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,,1.0,0.0,,,
Person_25,,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,
Person_26,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,0.0,,1.0
Person_27,0.0,,0.0,,0.0,1.0,,1.0,1.0,,0.0,,1.0,0.0,1.0,,0.0,0.0,,
Person_28,,,1.0,,,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,
Person_29,0.0,,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,,0.0,0.0
Person_30,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,,0.0,0.0,,,,0.0
Person_31,1.0,1.0,,,,1.0,0.0,,,1.0,,1.0,1.0,1.0,0.0,,,,,
Person_32,,,1.0,,0.0,,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,,,1.0,0.0,,
Person_33,1.0,1.0,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,1.0,1.0,,0.0,0.0
Person_34,0.0,,,0.0,1.0,0.0,0.0,,,,0.0,1.0,1.0,0.0,0.0,,,,0.0,
Person_35,,,0.0,0.0,1.0,1.0,0.0,0.0,,,1.0,,0.0,0.0,0.0,,1.0,0.0,0.0,
Person_36,,1.0,,1.0,0.0,1.0,,,0.0,,1.0,1.0,1.0,1.0,0.0,,,,1.0,1.0
Person_37,,,0.0,,0.0,1.0,1.0,,1.0,,,,,,0.0,,1.0,,1.0,1.0
Person_38,,,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,
Person_39,,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0
Person_40,,,0.0,0.0,0.0,,,1.0,,0.0,0.0,1.0,,,0.0,,1.0,,,0.0
Person_41,,,0.0,,,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,
Person_42,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,1.0,,1.0,,0.0,,0.0,,1.0,1.0,,
Person_43,,1.0,0.0,0.0,1.0,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0
Person_44,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,,,,,,,0.0,,,0.0,,0.0
Person_45,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0
Person_46,0.0,1.0,0.0,,0.0,1.0,,0.0,,0.0,,1.0,,,0.0,,,0.0,0.0,
Person_47,,,1.0,1.0,,0.0,0.0,,,,0.0,,0.0,,,,1.0,0.0,1.0,1.0
Person_48,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,
Person_49,1.0,1.0,0.0,,1.0,,0.0,,,,,0.0,0.0,,0.0,,,,,
Person_50,,1.0,,,1.0,0.0,0.0,1.0,,,,1.0,1.0,1.0,0.0,,,0.0,0.0,1.0
Person_51,0.0,1.0,0.0,1.0,,0.0,,,0.0,,0.0,,,,0.0,,0.0,0.0,1.0,1.0
Person_52,0.0,,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,0.0,
