,,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8
Rater_1,Person_1,3,4,2,3,4,1,2,2
Rater_1,Person_2,3,2,2,1,2,0,1,2
Rater_1,Person_3,4,5,3,4,3,3,1,2
Rater_1,Person_4,3,5,3,5,5,2,2,2
Rater_1,Person_5,1,2,0,2,2,0,0,0
Rater_1,Person_6,2,1,1,2,1,0,0,1
Rater_1,Person_7,3,4,3,5,3,2,1,2
Rater_1,Person_8,3,3,3,4,2,1,1,1
Rater_1,Person_9,3,3,2,4,4,2,2,2
Rater_1,Person_10,1,3,3,3,2,0,1,1
Rater_1,Person_11,4,4,3,5,5,3,2,3
Rater_1,Person_12,4,4,4,4,4,3,3,3
Rater_1,Person_13,3,4,3,2,2,1,2,1
Rater_1,Person_14,4,4,4,5,5,2,3,4
Rater_1,Person_15,4,4,4,3,3,2,2,2
Rater_1,Person_16,2,2,2,3,3,1,1,2
Rater_1,Person_17,4,4,3,3,3,2,2,4
Rater_1,Person_18,1,2,1,3,2,1,0,1
Rater_1,Person_19,4,5,4,4,4,4,2,2
Rater_1,Person_20,4,3,3,3,3,1,1,2
Rater_1,Person_21,3,2,3,4,3,2,1,1
Rater_1,Person_22,2,2,2,3,3,0,2,3
Rater_1,Person_23,4,3,3,4,3,2,3,4
Rater_1,Person_24,2,3,2,4,2,2,0,2
Rater_1,Person_25,3,2,3,4,2,0,2,2
Rater_1,Person_26,2,2,2,4,4,2,2,1
Rater_1,Person_27,4,4,3,4,4,2,2,2
Rater_1,Person_28,4,5,2,4,4,2,2,1
Rater_1,Person_29,4,3,4,4,3,3,3,3
Rater_1,Person_30,2,4,2,3,3,2,3,3
Rater_1,Person_31,4,5,5,5,5,3,4,4
Rater_1,Person_32,3,3,2,2,3,2,2,1
Rater_1,Person_33,2,4,3,3,3,0,1,2
Rater_1,Person_34,1,3,2,3,3,2,2,2
Rater_1,Person_35,5,4,3,4,4,2,2,2
Rater_1,Person_36,5,5,4,5,4,3,4,3
Rater_1,Person_37,3,4,2,4,2,2,1,1
Rater_1,Person_38,1,2,1,2,2,2,1,1
Rater_1,Person_39,1,3,2,2,2,2,1,1
Rater_1,Person_40,4,4,3,4,4,2,3,2
Rater_1,Person_41,3,4,3,4,3,2,2,3
Rater_1,Person_42,3,4,3,5,3,2,3,2
Rater_1,Person_43,3,2,3,2,3,0,0,1
Rater_1,Person_44,3,3,2,4,3,3,2,3
Rater_1,Person_45,3,3,3,3,3,1,2,2
Rater_1,Person_46,2,4,3,5,3,2,1,2
Rater_1,Person_47,4,3,3,5,4,3,3,4
Rater_1,Person_48,2,4,3,3,3,1,1,2
Rater_1,Person_49,4,3,3,3,4,2,2,4
