,,Item_1,Item_2,Item_3,Item_4
Rater_1,Person_1,3.0,3.0,1.0,
Rater_1,Person_2,5.0,2.0,3.0,2.0
Rater_1,Person_3,4.0,2.0,1.0,0.0
Rater_1,Person_4,,3.0,3.0,3.0
Rater_1,Person_5,4.0,5.0,1.0,1.0
Rater_1,Person_6,4.0,4.0,1.0,0.0
Rater_1,Person_7,3.0,4.0,2.0,3.0
Rater_1,Person_8,4.0,2.0,1.0,0.0
Rater_1,Person_9,3.0,2.0,1.0,1.0
Rater_1,Person_10,4.0,2.0,2.0,0.0
Rater_1,Person_11,,3.0,3.0,3.0
Rater_1,Person_12,3.0,2.0,3.0,2.0
Rater_1,Person_13,3.0,4.0,,
Rater_1,Person_14,3.0,3.0,2.0,1.0
Rater_1,Person_15,,3.0,3.0,2.0
Rater_1,Person_16,5.0,4.0,3.0,
Rater_1,Person_17,3.0,3.0,2.0,1.0
Rater_1,Person_18,4.0,2.0,1.0,0.0
Rater_1,Person_19,3.0,3.0,3.0,1.0
Rater_1,Person_20,5.0,4.0,3.0,2.0
Rater_1,Person_21,3.0,2.0,0.0,1.0
Rater_1,Person_22,5.0,5.0,3.0,2.0
Rater_1,Person_23,4.0,2.0,2.0,0.0
Rater_1,Person_24,5.0,5.0,4.0,2.0
Rater_1,Person_25,,5.0,3.0,0.0
Rater_1,Person_26,4.0,4.0,4.0,1.0
Rater_1,Person_27,2.0,1.0,1.0,0.0
Rater_1,Person_28,4.0,0.0,1.0,1.0
Rater_1,Person_29,3.0,2.0,,0.0
Rater_1,Person_30,4.0,4.0,4.0,2.0
Rater_1,Person_31,,2.0,,1.0
Rater_1,Person_32,5.0,2.0,,2.0
Rater_1,Person_33,4.0,2.0,2.0,0.0
Rater_1,Person_34,4.0,4.0,2.0,3.0
Rater_1,Person_35,3.0,4.0,2.0,
Rater_1,Person_36,,1.0,0.0,0.0
Rater_1,Person_37,3.0,3.0,,
Rater_1,Person_38,4.0,4.0,1.0,0.0
Rater_1,Person_39,,4.0,4.0,2.0
Rater_1,Person_40,5.0,4.0,2.0,1.0
Rater_1,Person_41,4.0,1.0,2.0,2.0
Rater_1,Person_42,5.0,5.0,2.0,2.0
Rater_1,Person_43,5.0,2.0,3.0,2.0
Rater_1,Person_44,3.0,0.0,2.0,2.0
Rater_1,Person_45,,0.0,0.0,0.0
Rater_1,Person_46,3.0,2.0,2.0,
Rater_1,Person_47,,,2.0,2.0
Rater_1,Person_48,4.0,4.0,1.0,2.0
Rater_1,Person_49,3.0,0.0,,1.0
Rater_1,Person_50,,1.0,2.0,1.0
