,Estimate,CSEM,Score,Max score,p,Infit MS,Outfit MS
Person_1,0.461,0.274,42,72,0.583,0.777,0.781
Person_2,0.239,0.272,39,72,0.542,0.929,0.885
Person_3,1.519,0.307,55,72,0.764,0.94,0.948
Person_4,2.276,0.363,62,72,0.861,0.565,0.588
Person_5,-0.202,0.273,33,72,0.458,1.238,1.203
Person_6,0.092,0.272,37,72,0.514,0.835,0.833
Person_7,2.151,0.351,61,72,0.847,1.096,1.16
Person_8,0.843,0.281,47,72,0.653,1.148,1.172
Person_9,-0.276,0.274,32,72,0.444,0.576,0.596
Person_10,1.083,0.288,50,72,0.694,1.108,1.305
Person_11,-0.202,0.273,33,72,0.458,0.753,0.752
Person_12,-0.276,0.274,32,72,0.444,0.98,0.979
Person_13,0.536,0.275,43,72,0.597,1.007,0.984
Person_14,-2.587,0.401,8,72,0.111,1.167,1.084
Person_15,-2.296,0.37,10,72,0.139,1.013,1.188
Person_16,-0.276,0.274,32,72,0.444,0.923,0.953
Person_17,-0.894,0.286,24,72,0.333,0.8,0.789
Person_18,0.239,0.272,39,72,0.542,0.872,0.887
Person_19,-1.709,0.324,15,72,0.208,0.945,0.959
Person_20,-1.926,0.339,13,72,0.181,0.56,0.541
Person_21,1.712,0.318,57,72,0.792,0.856,1.022
Person_22,-0.276,0.274,32,72,0.444,0.871,0.854
Person_23,0.313,0.273,40,72,0.556,0.922,0.929
Person_24,-2.436,0.384,9,72,0.125,1.169,1.112
Person_25,-0.655,0.28,27,72,0.375,0.918,0.943
Person_26,0.688,0.278,45,72,0.625,0.759,0.756
Person_27,-1.815,0.331,14,72,0.194,1.039,1.125
Person_28,0.461,0.274,42,72,0.583,0.758,0.8
Person_29,-0.976,0.289,23,72,0.319,1.089,1.034
Person_30,-0.276,0.274,32,72,0.444,1.15,1.135
Person_31,-0.578,0.278,28,72,0.389,0.99,1.04
Person_32,2.276,0.363,62,72,0.861,1.345,1.398
Person_33,-0.351,0.275,31,72,0.431,0.813,0.883
Person_34,-1.059,0.292,22,72,0.306,0.454,0.477
Person_35,1.251,0.295,52,72,0.722,0.906,0.964
Person_36,-2.165,0.358,11,72,0.153,0.495,0.492
Person_37,0.765,0.279,46,72,0.639,1.136,1.234
Person_38,-2.042,0.348,12,72,0.167,1.187,1.242
Person_39,-1.815,0.331,14,72,0.194,0.597,0.604
Person_40,0.313,0.273,40,72,0.556,1.517,1.488
Person_41,0.922,0.283,48,72,0.667,1.16,1.143
Person_42,-0.202,0.273,33,72,0.458,1.243,1.225
Person_43,-0.202,0.273,33,72,0.458,0.974,1.025
Person_44,-0.426,0.276,30,72,0.417,1.113,1.116
Person_45,-1.509,0.312,17,72,0.236,1.028,0.96
Person_46,-1.322,0.303,19,72,0.264,1.182,1.075
Person_47,-0.813,0.284,25,72,0.347,1.158,1.102
Person_48,1.921,0.333,59,72,0.819,0.851,0.984
Person_49,0.612,0.276,44,72,0.611,0.588,0.596
Person_50,-2.935,0.445,6,72,0.083,0.977,0.767
Person_51,0.536,0.275,43,72,0.597,0.77,0.756
Person_52,-0.351,0.275,31,72,0.431,0.884,0.883
Person_53,-0.894,0.286,24,72,0.333,0.922,0.906
Person_54,1.519,0.307,55,72,0.764,0.803,0.904
Person_55,2.151,0.351,61,72,0.847,1.082,1.411
Person_56,2.151,0.351,61,72,0.847,0.891,0.944
Person_57,-0.976,0.289,23,72,0.319,1.086,1.111
Person_58,-0.501,0.277,29,72,0.403,0.525,0.52
Person_59,0.536,0.275,43,72,0.597,0.873,0.933
Person_60,1.814,0.325,58,72,0.806,0.602,0.547
Person_61,-0.426,0.276,30,72,0.417,0.899,0.905
Person_62,-0.202,0.273,33,72,0.458,0.896,0.892
Person_63,-1.607,0.318,16,72,0.222,0.742,0.707
Person_64,-1.509,0.312,17,72,0.236,1.0,1.02
Person_65,1.251,0.295,52,72,0.722,0.876,0.842
Person_66,2.033,0.341,60,72,0.833,1.344,1.131
