,Estimate,CSEM,Score,Max score,p,Infit MS,Outfit MS
Person_1,0.799,0.285,46,72,0.639,1.143,1.163
Person_2,-0.21,0.279,33,72,0.458,0.757,0.761
Person_3,1.046,0.291,49,72,0.681,1.403,1.514
Person_4,2.237,0.357,61,72,0.847,1.056,1.156
Person_5,-0.287,0.28,32,72,0.444,0.75,0.752
Person_6,-0.056,0.278,35,72,0.486,0.686,0.676
Person_7,2.653,0.398,64,72,0.889,1.629,1.741
Person_8,1.584,0.313,55,72,0.764,1.106,1.292
Person_9,-0.444,0.282,30,72,0.417,0.894,0.89
Person_10,0.719,0.284,45,72,0.625,1.255,1.224
Person_11,-0.365,0.281,31,72,0.431,1.016,0.994
Person_12,-0.684,0.286,27,72,0.375,0.968,0.958
Person_13,0.963,0.289,48,72,0.667,1.011,0.962
Person_14,-2.006,0.345,13,72,0.181,0.573,0.629
Person_15,-3.048,0.451,6,72,0.083,1.022,0.685
Person_16,-1.105,0.298,22,72,0.306,1.093,1.099
Person_17,-1.285,0.305,20,72,0.278,0.985,1.025
Person_18,0.483,0.28,42,72,0.583,0.873,0.891
Person_19,-1.018,0.295,23,72,0.319,1.054,0.996
Person_20,-2.534,0.39,9,72,0.125,0.681,0.687
Person_21,2.366,0.368,62,72,0.861,0.537,0.564
Person_22,-0.056,0.278,35,72,0.486,0.919,0.912
Person_23,0.561,0.281,43,72,0.597,1.332,1.454
Person_24,-2.254,0.364,11,72,0.153,0.952,0.811
Person_25,-1.194,0.301,21,72,0.292,0.925,0.872
Person_26,0.328,0.279,40,72,0.556,0.748,0.76
Person_27,-1.194,0.301,21,72,0.292,1.184,1.184
Person_28,0.328,0.279,40,72,0.556,0.987,1.023
Person_29,-0.932,0.292,24,72,0.333,1.118,1.071
Person_30,-0.684,0.286,27,72,0.375,0.836,0.798
Person_31,-1.018,0.295,23,72,0.319,0.714,0.679
Person_32,2.653,0.398,64,72,0.889,0.681,0.767
Person_33,0.251,0.278,39,72,0.542,0.659,0.681
Person_34,-1.285,0.305,20,72,0.278,1.217,1.322
