,Estimate,CSEM,Score,Max score,p,Infit MS,Outfit MS
Person_1,0.965,0.288,48,72,0.667,1.219,1.235
Person_2,-0.279,0.279,32,72,0.444,0.92,0.903
Person_3,1.304,0.298,52,72,0.722,0.857,0.809
Person_4,2.099,0.344,60,72,0.833,0.98,0.902
Person_5,0.104,0.277,37,72,0.514,1.054,1.017
Person_6,0.18,0.277,38,72,0.528,0.945,0.929
Person_7,1.674,0.315,56,72,0.778,0.782,0.785
Person_8,0.644,0.281,44,72,0.611,1.444,1.514
Person_9,-0.513,0.282,29,72,0.403,1.096,1.091
Person_10,0.803,0.284,46,72,0.639,0.854,0.951
Person_11,-0.202,0.278,33,72,0.458,1.194,1.198
Person_12,-0.92,0.292,24,72,0.333,0.869,0.86
Person_13,0.723,0.283,45,72,0.625,0.971,0.936
Person_14,-2.683,0.409,8,72,0.111,0.682,0.71
Person_15,-2.243,0.366,11,72,0.153,0.936,1.032
Person_16,-1.005,0.294,23,72,0.319,1.137,1.133
Person_17,-1.878,0.338,14,72,0.194,0.816,0.852
Person_18,0.644,0.281,44,72,0.611,0.918,0.857
Person_19,-0.593,0.284,28,72,0.389,1.005,0.939
Person_20,-2.243,0.366,11,72,0.153,0.937,1.095
Person_21,1.877,0.328,58,72,0.806,1.162,1.184
Person_22,-0.754,0.287,26,72,0.361,0.878,0.9
Person_23,0.104,0.277,37,72,0.514,0.786,0.768
Person_24,-2.115,0.355,12,72,0.167,0.918,0.985
Person_25,-0.754,0.287,26,72,0.361,0.723,0.767
Person_26,0.488,0.279,42,72,0.583,1.573,1.549
Person_27,-1.661,0.324,16,72,0.222,1.731,1.757
Person_28,0.644,0.281,44,72,0.611,1.045,1.027
Person_29,-1.005,0.294,23,72,0.319,1.436,1.434
Person_30,-0.435,0.281,30,72,0.417,0.715,0.681
Person_31,-1.092,0.297,22,72,0.306,1.122,1.215
Person_32,2.219,0.354,61,72,0.847,1.523,1.398
Person_33,0.257,0.278,39,72,0.542,0.768,0.752
Person_34,-1.271,0.305,20,72,0.278,0.809,0.915
Person_35,1.131,0.292,50,72,0.694,0.976,1.083
Person_36,-1.767,0.331,15,72,0.208,1.106,1.46
Person_37,0.566,0.28,43,72,0.597,0.831,0.788
Person_38,-3.507,0.526,4,72,0.056,0.749,0.57
Person_39,-1.878,0.338,14,72,0.194,1.389,1.251
Person_40,0.334,0.278,40,72,0.556,0.84,0.81
Person_41,1.484,0.306,54,72,0.75,1.145,1.139
Person_42,0.334,0.278,40,72,0.556,0.802,0.817
Person_43,0.334,0.278,40,72,0.556,1.507,1.457
Person_44,0.028,0.277,36,72,0.5,0.746,0.733
Person_45,-1.559,0.319,17,72,0.236,0.842,0.864
Person_46,-0.754,0.287,26,72,0.361,0.788,0.822
Person_47,-0.593,0.284,28,72,0.389,0.587,0.628
Person_48,1.877,0.328,58,72,0.806,0.689,0.617
Person_49,0.803,0.284,46,72,0.639,1.062,1.226
Person_50,-2.526,0.392,9,72,0.125,0.756,0.808
Person_51,0.566,0.28,43,72,0.597,0.953,0.948
Person_52,-0.92,0.292,24,72,0.333,1.182,1.164
Person_53,-1.092,0.297,22,72,0.306,0.922,0.982
Person_54,1.131,0.292,50,72,0.694,1.307,1.475
Person_55,1.484,0.306,54,72,0.75,0.925,0.861
Person_56,1.217,0.295,51,72,0.708,0.904,0.96
Person_57,-1.46,0.313,18,72,0.25,0.877,0.902
Person_58,-0.357,0.28,31,72,0.431,1.146,1.103
Person_59,0.723,0.283,45,72,0.625,0.842,0.828
Person_60,1.577,0.31,55,72,0.764,0.85,0.84
Person_61,-0.673,0.285,27,72,0.375,0.922,0.892
Person_62,-0.754,0.287,26,72,0.361,0.959,0.959
Person_63,-1.005,0.294,23,72,0.319,1.107,1.134
Person_64,-1.994,0.346,13,72,0.181,1.209,1.118
Person_65,1.217,0.295,51,72,0.708,0.959,0.887
Person_66,1.986,0.335,59,72,0.819,0.684,0.578
Person_67,-0.435,0.281,30,72,0.417,0.626,0.641
Person_68,1.577,0.31,55,72,0.764,0.77,0.698
Person_69,0.104,0.277,37,72,0.514,0.542,0.542
Person_70,-0.435,0.281,30,72,0.417,0.862,0.832
Person_71,0.965,0.288,48,72,0.667,0.646,0.636
Person_72,3.412,0.516,68,72,0.944,0.768,0.877
Person_73,-0.049,0.278,35,72,0.486,0.659,0.649
Person_74,2.482,0.38,63,72,0.875,1.006,0.925
Person_75,-3.802,0.585,3,72,0.042,0.774,0.492
Person_76,1.393,0.302,53,72,0.736,1.0,0.923
Person_77,-0.125,0.278,34,72,0.472,0.989,0.967
Person_78,-0.125,0.278,34,72,0.472,1.113,1.13
Person_79,0.488,0.279,42,72,0.583,0.687,0.723
Person_80,-2.115,0.355,12,72,0.167,1.194,1.195
Person_81,-0.125,0.278,34,72,0.472,0.599,0.616
Person_82,0.883,0.286,47,72,0.653,0.976,1.069
Person_83,2.219,0.354,61,72,0.847,1.217,1.082
Person_84,-0.673,0.285,27,72,0.375,1.061,1.067
Person_85,-1.092,0.297,22,72,0.306,0.679,0.651
Person_86,-0.279,0.279,32,72,0.444,0.827,0.831
Person_87,1.577,0.31,55,72,0.764,0.875,0.833
Person_88,0.334,0.278,40,72,0.556,1.037,1.012
Person_89,-1.005,0.294,23,72,0.319,1.235,1.236
Person_90,1.217,0.295,51,72,0.708,1.012,1.047
Person_91,0.644,0.281,44,72,0.611,0.701,0.681
Person_92,1.304,0.298,52,72,0.722,0.663,0.626
Person_93,-0.836,0.289,25,72,0.347,1.101,1.059
Person_94,-0.435,0.281,30,72,0.417,1.038,1.081
Person_95,-0.202,0.278,33,72,0.458,0.525,0.54
Person_96,-2.38,0.378,10,72,0.139,1.648,1.586
Person_97,-0.049,0.278,35,72,0.486,0.638,0.644
Person_98,0.488,0.279,42,72,0.583,0.767,0.8
Person_99,0.18,0.277,38,72,0.528,0.919,0.91
Person_100,-0.125,0.278,34,72,0.472,0.643,0.661
Person_101,-2.115,0.355,12,72,0.167,1.109,1.349
Person_102,-0.279,0.279,32,72,0.444,1.101,1.147
Person_103,-0.435,0.281,30,72,0.417,0.63,0.632
Person_104,-1.005,0.294,23,72,0.319,0.574,0.601
Person_105,-0.279,0.279,32,72,0.444,0.933,0.968
Person_106,0.644,0.281,44,72,0.611,1.137,1.118
Person_107,2.971,0.441,66,72,0.917,0.892,1.148
Person_108,0.18,0.277,38,72,0.528,0.86,0.901
Person_109,0.411,0.279,41,72,0.569,1.15,1.148
Person_110,-0.279,0.279,32,72,0.444,0.955,0.942
Person_111,-2.855,0.429,7,72,0.097,0.734,0.5
Person_112,0.257,0.278,39,72,0.542,1.708,1.733
Person_113,0.18,0.277,38,72,0.528,1.063,1.005
Person_114,3.175,0.473,67,72,0.931,0.724,0.615
Person_115,-0.049,0.278,35,72,0.486,0.94,0.905
Person_116,0.334,0.278,40,72,0.556,1.159,1.189
Person_117,-0.357,0.28,31,72,0.431,1.031,1.073
Person_118,-1.661,0.324,16,72,0.222,0.895,1.007
Person_119,1.393,0.302,53,72,0.736,1.114,0.996
Person_120,0.803,0.284,46,72,0.639,0.767,0.736
Person_121,1.217,0.295,51,72,0.708,0.614,0.579
Person_122,-1.46,0.313,18,72,0.25,1.379,1.393
Person_123,1.986,0.335,59,72,0.819,0.754,0.778
Person_124,-1.767,0.331,15,72,0.208,0.761,0.732
Person_125,0.965,0.288,48,72,0.667,0.719,0.724
Person_126,3.175,0.473,67,72,0.931,0.825,0.946
Person_127,-1.767,0.331,15,72,0.208,0.988,1.026
Person_128,-0.673,0.285,27,72,0.375,1.099,1.081
Person_129,-0.202,0.278,33,72,0.458,0.993,0.969
Person_130,-0.754,0.287,26,72,0.361,0.654,0.638
Person_131,-1.767,0.331,15,72,0.208,1.286,1.621
Person_132,0.488,0.279,42,72,0.583,0.959,0.989
Person_133,-1.271,0.305,20,72,0.278,1.135,1.035
Person_134,0.883,0.286,47,72,0.653,0.97,0.944
Person_135,-1.994,0.346,13,72,0.181,0.838,1.026
Person_136,2.63,0.396,64,72,0.889,0.646,0.686
Person_137,-1.005,0.294,23,72,0.319,0.887,0.868
Person_138,-0.357,0.28,31,72,0.431,1.2,1.163
Person_139,1.217,0.295,51,72,0.708,0.903,0.879
Person_140,-1.994,0.346,13,72,0.181,0.789,0.859
Person_141,0.334,0.278,40,72,0.556,0.793,0.807
Person_142,2.219,0.354,61,72,0.847,0.84,0.965
Person_143,-1.767,0.331,15,72,0.208,1.11,0.997
Person_144,0.411,0.279,41,72,0.569,1.025,1.087
Person_145,0.411,0.279,41,72,0.569,0.774,0.742
Person_146,1.217,0.295,51,72,0.708,1.313,1.209
Person_147,-1.46,0.313,18,72,0.25,0.914,0.884
Person_148,-2.38,0.378,10,72,0.139,0.831,0.931
Person_149,1.217,0.295,51,72,0.708,1.136,1.32
Person_150,0.257,0.278,39,72,0.542,0.909,0.895
Person_151,0.334,0.278,40,72,0.556,1.5,1.534
Person_152,0.803,0.284,46,72,0.639,0.892,0.84
Person_153,-1.18,0.301,21,72,0.292,1.016,0.966
Person_154,0.965,0.288,48,72,0.667,0.794,0.757
Person_155,0.644,0.281,44,72,0.611,0.789,0.786
Person_156,-1.092,0.297,22,72,0.306,0.794,0.847
Person_157,2.482,0.38,63,72,0.875,0.823,1.13
Person_158,1.393,0.302,53,72,0.736,0.963,1.047
Person_159,-1.661,0.324,16,72,0.222,1.272,1.245
Person_160,0.883,0.286,47,72,0.653,0.999,1.037
Person_161,-1.661,0.324,16,72,0.222,1.275,1.129
Person_162,0.965,0.288,48,72,0.667,0.746,0.698
Person_163,1.877,0.328,58,72,0.806,0.961,1.323
Person_164,-0.754,0.287,26,72,0.361,0.951,0.919
Person_165,1.047,0.29,49,72,0.681,1.155,1.171
Person_166,0.488,0.279,42,72,0.583,0.793,0.776
Person_167,1.304,0.298,52,72,0.722,0.801,0.752
Person_168,2.63,0.396,64,72,0.889,1.149,1.042
Person_169,-0.435,0.281,30,72,0.417,0.806,0.86
Person_170,-1.092,0.297,22,72,0.306,0.587,0.601
Person_171,-1.364,0.309,19,72,0.264,0.939,0.924
Person_172,-1.661,0.324,16,72,0.222,0.834,0.833
Person_173,0.028,0.277,36,72,0.5,1.206,1.132
Person_174,0.488,0.279,42,72,0.583,0.89,0.914
Person_175,0.488,0.279,42,72,0.583,0.935,0.882
Person_176,1.304,0.298,52,72,0.722,0.746,0.702
Person_177,0.18,0.277,38,72,0.528,1.474,1.418
Person_178,2.792,0.416,65,72,0.903,0.706,0.608
Person_179,-0.202,0.278,33,72,0.458,1.003,1.033
Person_180,3.412,0.516,68,72,0.944,0.806,1.758
Person_181,1.131,0.292,50,72,0.694,1.312,1.177
Person_182,-1.46,0.313,18,72,0.25,1.383,1.326
Person_183,-1.767,0.331,15,72,0.208,0.771,0.745
Person_184,0.566,0.28,43,72,0.597,1.129,1.129
Person_185,0.104,0.277,37,72,0.514,0.798,0.771
Person_186,0.965,0.288,48,72,0.667,0.529,0.561
Person_187,0.803,0.284,46,72,0.639,1.238,1.27
Person_188,-0.202,0.278,33,72,0.458,0.884,0.856
Person_189,-1.271,0.305,20,72,0.278,0.876,0.885
Person_190,-1.878,0.338,14,72,0.194,0.887,0.918
Person_191,-0.279,0.279,32,72,0.444,0.637,0.698
Person_192,1.577,0.31,55,72,0.764,1.035,1.115
Person_193,0.257,0.278,39,72,0.542,0.868,0.909
Person_194,-1.559,0.319,17,72,0.236,0.778,0.782
Person_195,0.104,0.277,37,72,0.514,1.396,1.457
Person_196,0.334,0.278,40,72,0.556,1.095,1.139
Person_197,-1.005,0.294,23,72,0.319,0.835,0.817
Person_198,0.411,0.279,41,72,0.569,0.687,0.691
Person_199,0.334,0.278,40,72,0.556,1.493,1.488
Person_200,-1.661,0.324,16,72,0.222,0.665,0.642
